Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,49071,spotify_germany
1,Ponyhof,1XzQ9wT3s3VtsPMgwL3xZ3,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,Ponyhof,7eixeqOjLpUqJ7tZ6FOhBl,43,https://p.scdn.co/mp3-preview/9722c29be48f5d8216eda0713f9d8bf9f096a661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Kiss Operator,63mwqwgBR3EbFJrql2G2mt,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,Kiss Operator,4azdjCBpCQXIz1EbFvYhO2,34,https://p.scdn.co/mp3-preview/6c08a83081b087a3dfeca23591e4590ebc1c54f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Flesh & Blood,5iAypnbVd7h2It7jy3oS0A,MAX RAD,2Igm79AVp3dCbQhfF6I60Z,Flesh & Blood,1LvvrI94tOqD1yCECOeaFW,40,https://p.scdn.co/mp3-preview/fda12ce4fe6d138bce222364decd16aec8c831a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,No Man's Land,7tg6i9Xoi2EQpfG8nGDb8W,Sultans Court,1Oq0fBU6CVhqp4JicuSWuZ,No Man's Land,5NPaHr1TrPBh76OGF3Caqw,35,https://p.scdn.co/mp3-preview/b7382446a1de3588c3b52501277b8b1adb2e7066?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Avicii,4ziTMcQQWz5T1F7DXsY6QB,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Avicii,1nqcTYpwGCJ4LZmbQBsTtx,50,https://p.scdn.co/mp3-preview/ebd93a3075aa96cada25e4c4e6ce75cfa80c05c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Phantom Studies,5V5g4ZlQyjiswa8sC2CarN,VARLEY,72bbAAM5Iz6gsbihCr1Gvc,Phantom Studies,4ZjpyPIWQH9AknTKhi1e3p,31,https://p.scdn.co/mp3-preview/cdcf1afc37c2c803c78115a7e284c8bfd6c1e302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Recall,5cIMUqApExTzdJjwkHg8Y4,MOM,6JY3lc6zjI88MykdVZjBfq,Kawasaki,4xomsSJdpzsu6GPrG6mp8Y,35,https://p.scdn.co/mp3-preview/f248d9a1fa6aa2343afeded2cd41d5d22f0cfdd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,What If,1XNUvML4BnFQ5tLB9JANQK,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,What If,0PoqSOk87uOSy4pUUN2vIZ,40,https://p.scdn.co/mp3-preview/6bb3d0b51901c21ff306e178581c280cb7964438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Forgotten Ghosts,2e1oNEAXGwSUUk8POfaw02,Jadu Heart,7vjRpVXoecwKTEsrb9iscj,Forgotten Ghosts,4QI9eafpsgg6eCUK0m06Z0,42,https://p.scdn.co/mp3-preview/ed3a397696226caadb4f30ca31f3bfe1943bfd5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,YaYaYa,2f7AYSEsmlHJHpkUQk97po,RY X,2KjAo6wVc9d2WcxdxSArpV,YaYaYa,6NSX0vUXoW3DZyHGGHaRSX,33,not available
12,2nd World (Edit),3Ck89dTR7b76FMiVs8l7Br,HVOB,6RAx8RRxoHeJIqD2d0EjOa,2nd World,7abnLAJGMdl7uNXkR047dY,37,https://p.scdn.co/mp3-preview/6a8020ba0211b46af1428446965f39f8425674a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Winter II,42Rw1XGQXm1oOxnB3NlgvP,LEX AUDREY,5cGgrVxs4xKhhpEjuAxf73,No Intention of Changing the World,2pVf3D3hnkSgZYItJSMq9M,33,https://p.scdn.co/mp3-preview/eed39287799d83de882df90f6a6e439d3d49ce0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Visitor,6KuM30lJQ4cji1C0OFb6HE,Monumental Men,1g086QeJJCdi3HfyfpU22A,Visitor,459lPMGLgDa4gZ5UC7fdw1,37,https://p.scdn.co/mp3-preview/65658f5745cbf18af7ce58473725d299ae82767a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Swarm,2Ex1RVTmvIZaYKWjibYU8Q,Wooden Peak,2Rj13fCuT598oDDz1wqvow,Swarm,3fimat96oRvB80G34CMccK,29,https://p.scdn.co/mp3-preview/46bb6a90ee39d0262dac241e919c368f31ac55dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Patience,0PAvhAZlsPkg3BKphYhSxL,Mogli,1E05B8q4mGKUB0n8Ag0Q7c,Patience,0JxxmJFCNLIIhyqgTqHZmy,38,https://p.scdn.co/mp3-preview/d6605c013fd9e3e109d02451332377734d892b62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Al Pacino - Single Mix,7c4VoqmbYhKnZE6pyagG9V,Die Kerzen,23taB3vAKvN6eOECKJyyNi,Al Pacino,7bchPkA0YXZLjje1pFx0gl,50,https://p.scdn.co/mp3-preview/d4d8e773b9c03bbaa44e777c888157c98ace55d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
