Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98708,spotify_germany
1,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,45,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,38,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
5,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Nova,0hNjpXoBes0taQu4rMT8mE,Edgar Mondragón,5I0dT5ftsahh9CXCvwWS0D,Nova,54aylhasfzfYSvLX9mQHFD,39,https://p.scdn.co/mp3-preview/9b9556862adebe1c8c18c89b306be08cdd39c1ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,NOCTURNAL,6tNlmaeHPzsfebO01HwDkS,Cavalier,2CFpRtRipRXDATD6UPmCOw,NOCTURNAL,7J81bjF90DdUdWj8Yv4kuA,28,https://p.scdn.co/mp3-preview/9df16ff95ad2c6b14e9564e2ddd1a79be4c1bab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,So Long,41sDpPLnM1N59ZStkgd9gL,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,So Long,4TpJYntKPUQZ4WpwzE3qKV,34,https://p.scdn.co/mp3-preview/cee4014f4a4e319c5d1918d135ad88061915d443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,38,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Monarch,150xPwjpGttVzfE7Ya9xBH,Marley Carroll,4mjVQFIgNetwBWatbQROKq,Migration / Monarch,3CTKnlZcPGIbN3jxsTcdkL,27,https://p.scdn.co/mp3-preview/82862aa2163eb0a98a3ae70f58bab2e2654a8ec4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Spark - Ex Mykah Remix,5Nv3vWRodGPJLkIYF1XgRX,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Spark (Ex Mykah Remix),6WvrVn2haAVWiigJrIlItM,1,not available
14,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,40,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Voices,5qLZZNrAIMCQ4Rb5rXRDeX,Kamandi,4pSowxoZVdsKUyTkhU9ebC,Voices,5SBqtlokt8AtkV3X4cR0Pv,10,not available
16,Andromalius IV.,52egC9eDJzwNm6AGmlFlna,Dogu Civicik,10sxqiasXeDIMeRwSdvCFV,Andromalius IV.,7sM98HNzgmGlPcrnrNfvAX,35,https://p.scdn.co/mp3-preview/0c4405bb948cadfa2daacaa164fe506c680b7a90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,And All Went Dark (feat. Polly Scattergood) - Goldfrapp & Ralf Hildenbeutel Remix,1ve7lwoXCsrrWYAKmgppC9,Chris Liebing,21444lX8gpmOX36icLmbFI,And All Went Dark (feat. Polly Scattergood) [Goldfrapp & Ralf Hildenbeutel Remix],3KUt0bL9WBMdwn36o4UtnW,20,https://p.scdn.co/mp3-preview/b1d5a17e0501a43fd86cfb6cbcf4d86d6cae3777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Glacier,19J0d3QDUwy1QPoVptqQex,Threedust,6340hzyqmfpcSbPZLFC1Gf,Glacier,4zbuRZtDwklRMFpURg4YpO,51,https://p.scdn.co/mp3-preview/95e590e026b0a667469b476dd039aea673b1f7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Broken Lines,7xj9aehqTM2dF2hqJyHwIW,T.M.A,2byiSAqYCxVFaUmm0KxiIe,Broken Lines,5N9gI9A2FIdsZ2bybnrXZt,33,https://p.scdn.co/mp3-preview/b1ab76cefe0f71ee83c41664411676e00f52f5ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dreamer's Wake,3Y4sSXeyK1flHPhN8P0aDY,Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,Persona,4ciNhQuziH6TtbRbDaHicN,9,not available
21,Self Portrait,3t6PDOiewR1fQyqGii1vok,Arutani,7g48EWSZL2Zb40hnBcFd1K,Self Portrait,3qPTxGPuRv24K1w7JGClno,30,https://p.scdn.co/mp3-preview/8b201e1ca3e0572451614e66451bd394029ff470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Saint Sunday,4CINaI10FhMxwpKpKxejDS,Caroline Lethô,6gdgoq3XvP0fkqXC85BdsS,Extended V.A. 2016,57CLMkdzmVds55C1hJ8OPj,33,https://p.scdn.co/mp3-preview/e276fb03dae64e72ea8b02ea8f338a221f074df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A1,4elP4pxqgxtQc98VbDmGEs,ADAM TK,7hauEwIlR9Ca94YCGOCmP1,A1,1sIpDI1Tck8VYkLxGxtcv2,32,https://p.scdn.co/mp3-preview/a94096760cd9c1dc10d18e974db762a27de1a213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Squares,4bmVE7WRba4td0JDP6j1HR,Robot Koch,47V6nyjOrUR98qv6gkYssI,Squares,2OBFkeXD1uCm6a8XaddCfm,33,https://p.scdn.co/mp3-preview/2c4b6686222bc8cfb0b7535c168df07c1cf7707e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,1,not available
26,Karl,6XmHQPPaoZIAy2N9ENvjRL,M83,63MQldklfxkjYDoUE4Tppz,Knife + Heart (Official Soundtrack),0RUjgQppW67OIBTkRv8fdt,6,not available
27,ELYSIAN FIELDS - RON TRENT RECONSTRUCTION,2drLI5z2iQPrBB7D2selRH,DAVID AUGUST,1cS5EoXVqz7aON00AkVBBA,DAVID AUGUST X RON TRENT X RAFAEL ANTON IRISARRI,1GExqOsZ5I3bmgNxuYIobf,32,https://p.scdn.co/mp3-preview/412189aecf0abeaa71083b33156e83263eb271f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Versailles,1KxIaLgAipzRMYYhAGds8S,Thylacine,5If5Tdg66Q5X3L57G7A6Pn,Versailles,3pJmjFew5LOyvyGZh1HKNL,42,https://p.scdn.co/mp3-preview/e29068bf0961a00d8ab9455dff88cac678e047f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,When the World Ended,3t4Nj5o9DdGAlu8TFN3Pvj,Tim Legend,3pfQKkyELe3zxBQDgQP6Py,When the World Ended,7GgW98ZsgeDUyLUzRSJ2Qt,42,https://p.scdn.co/mp3-preview/e4c5ab148746ccfb701e53109a57dbc30420a5c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Strafen,4AcvEnzDS0EoRDfnlBDwod,Yris Den,18MopJfVIIWfHc0WKqfjgR,Strafen,5PyffMSmNbXTfQsbePSlzN,31,https://p.scdn.co/mp3-preview/6894f353a75b0312a5df1746675a41598de13c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Connected,4LurkHkhygeaev1y8HXMd9,Andre Lodemann,1Em6QNi57qzKBsy0r4ZPXN,The Deeper You Go,4dKU0lg8GRfXExBwgS2FOq,33,https://p.scdn.co/mp3-preview/17425d4fdd654a082735a6fb48e83b68722e4e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
