Zuhause,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,Anchor,3gAC3OQ1sfaNA1JXfhpt83,Nick Saxon,1lQwtWsVydcggnhGr2sq3T,Anchor,4WnvNvRJAKO9GZF8qZc53R,44,https://p.scdn.co/mp3-preview/ea58bb7f9c25f46e1beab0be921178391bc27082?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sweetest Thing,696vpg0aBvBxpZAuasmg15,Allman Brown,239Y6QdFqVFfdsw6moqSEN,Sweetest Thing,4YtmwrjMoeVCcVPMSadTsy,65,https://p.scdn.co/mp3-preview/9ab1840672a0925d2714bc4d11542be5308e23e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Almost Home,4AsUAGWIMsZ7Xl5Hc1Fk4p,Keston Cobblers Club,38DmNaPnPBoXtbpFgXZNL8,Almost Home,3wa5A9GyJM4jd3vCvfIby5,50,https://p.scdn.co/mp3-preview/f39b8b1b8922c6f53b11287c0525766888b70436?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Someday,1y0Nh1EeT5k0o2UCHziizT,Rob Drabkin,5WBdJUw6xVIet6nnHLtQZy,Someday - Single,5iFom8tHMFxBoXLWxwNPgK,11,not available
31,A closeness,5ClDPw47BORurTM0yTwuS7,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,A closeness,2uq5e6GHPMlMiEhZ6Y3zQS,14,not available
32,Kind Words,2tcg15FIlGMLU2DyRMYR1N,Adam's Wedding,1scYhm6PrjbjIpaSb64rL9,Kind Words,3jIQlRoMligu24IzDBWo5k,36,https://p.scdn.co/mp3-preview/a56649c695a9caead30e82095718354d0656a95f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Home,3iK2TtvEnhBXHqm0e98dCA,Hollow Coves,7IAFAOtc9kTYNTizhLSWM6,Home,3NHzZL6vpbP5EQr3XuXVxf,19,not available
34,What A Day,2cnuiYBSniFCbnVBw2vVXH,Crying Day Care Choir,2wA059Agr6FoUUJTD23KLl,What A Day,66qrZ13E9AatdoK9DIVO5v,52,https://p.scdn.co/mp3-preview/f2be1f2254be68c1aa167ba4b7bbff4715f333c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Melancholy Julia,5Jf82FN42tYgBjhktxhrHx,King Charles,6QKDcdjtwqu4E7rztEUQu5,Melancholy Julia,15Hs4AQQSvlfhLJRtOpfNQ,41,https://p.scdn.co/mp3-preview/10ae8ac14b8c9c045283537445c0307e0ed3b7dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Poison,3Jqqwdvtlr9LpVCET81oPm,Ruston Kelly,5zuqnTZOeJzI0N0yQ7XA7I,Halloween,4uJalpj1pWkk5IFUAeO79B,7,not available
37,Waves,64xJ1MMFxxK6osZxJH857T,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Waves,0dcIrW5U3oco3GDCKiJ33I,18,not available
38,A Dance at the Crossroads,5cTruWslDR15vlusOhJB5U,Oscar Blue,1LSKJziUwTOlquPaHzHt4Z,A Dance at the Crossroads,0qgoQVdTrDF2KOSdybOwk0,33,https://p.scdn.co/mp3-preview/4e49280331d6e0f31c93e7c504ef46e9ddee41fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,We're All Going Home,5cXq69EbEhTaWE7lUTOwsK,The Wanderer ,12j1w2RmtWd81xSKRpxhXK,We're All Going Home,5zZjrDAnqhbeslF6OCGqE7,36,https://p.scdn.co/mp3-preview/f6693505c0ef59fd8254a38c98d53a8010a586a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,We Don't Stay,2owqU08obNI54EqmDix6iT,Betsy Phillips,3m3VhgcmqGV93tHZiOFrId,We Don't Stay,4sk8uDdftdd62nGyg5wWce,38,https://p.scdn.co/mp3-preview/fdc0fcbae6414bc60b061aab981fbb2e990a7faf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Weather,1WwAqeweh8B5WVO041pRFf,Molly Parden,5dUUxJQg27XaHdKyLYwNg5,With Me in the Summer,1d6S1Z19Ia7xJkVd6ZoOlk,55,https://p.scdn.co/mp3-preview/5525a273d9c676ccf5868df8fb208783438fdae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Beautiful Life,3K9t2UnntjBWXYjV97mzBU,The Collection,3sva1UjOJOx6cGISZOpItl,Entropy,5QbUnPJWsMIVf2HDJIkoEb,49,https://p.scdn.co/mp3-preview/7764dc4f172b964450ff87eac01137863afb83ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Road to Heaven,0kmJsk0yNfxB1ICbKRpUzZ,The Dead Tongues,5nM5pj6cEIkzCkwBJZibHK,Road to Heaven,5RCUWKlWpbFjt5TgRns9aA,50,https://p.scdn.co/mp3-preview/61d3af25a370e620e078253966826dcd8d239891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Seize the Night,2AAXRVHraV9Ivj1E9ylrA3,Will Varley,6sKGpXFS8bI6lKbRfhl52T,Seize the Night,1y6CiNgJDe4uhcZepCPho4,7,not available
45,Moonlight,3duIBQ8TQOd5Sfpj2ep60g,Meadows,5jN2q5MCOQJaBAYIF7Os4J,Moonlight,41HZyE1Q7IbKRkREA6T1HN,37,https://p.scdn.co/mp3-preview/3b4cc36a63e4a91a6bd18bdc194a7ed6cc74287c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Friends,4XlSTowke4Ul0J9xPGvzuY,David Benjamin,5eTeHyszhixBkqm4L9xrjW,Friends,2kaJUzdxuVr6AQnOjqiw5W,61,https://p.scdn.co/mp3-preview/3ccb906cef45178b849cc77c4052bdff9cafa997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Within Your Valleys,2NmL1xEDemovu7mJtDY92k,Arvid Lizell,5BrkSxSIkQdP6di1Ffz2io,Within Your Valleys,192swOJopdG0jaYRj7EE9V,41,https://p.scdn.co/mp3-preview/80b8110ec98971376b96ef2a565dad7521c80143?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Waiting Here,17v2VWT9tQIkF3sFqRvtNL,Jake Isaac,6q94KewnCnut4Ta36dCoaB,Waiting Here (Remixes),4BKtxIqUu4hOe1qHkxbwL7,52,https://p.scdn.co/mp3-preview/37008f977491ff1015ebb6eeecbc89ab3fc0f0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
