Gold School,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,What a Job,1QpMNpzkMxchOeYOn9RbNJ,Devin The Dude,0OMJR0LjjKv21qNvICTgbi,Waitin' to Inhale,5txiu4iRX3AeHxuKqXyFna,56,https://p.scdn.co/mp3-preview/5b042c7ba22b417ae49a0d47fee611168594f8b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Street Talkin',4TGHOWSNAwUXn5onDQr0P1,Slick Rick,1W9qOBYRTfP7HcizWN43G1,The Art Of Storytelling,4cZL0gsOEIOPLXdhc18vex,58,not available
25,Body Rock,7qxMoa63PAfPZSYafDeHij,Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,Lyricist Lounge Vol. 1,21tkKiB2eq0Q3Nl49OxKbr,50,not available
26,Do You See,2e3YoddL43UkaSqhYGqfKz,Warren G,2B4ZHz4QDWJTXPFPgO5peE,Regulate… G Funk Era,2VMGv3inRLPM4GOMXf37qu,51,not available
27,Afro Puffs,287tdUcso07UAu5jxXB2BQ,The Lady Of Rage,5CxwOBCoGSvWxfDgNoa1Nv,Above The Rim,4sVcB2ZFsFla2ltgFfjNBn,49,https://p.scdn.co/mp3-preview/bf1a1f158357a222f61489af8dfc81d74948145b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Liquid Swords,4dmh3OPtAhbEybhGoOG9TE,GZA,6ns6XAOsw4B0nDUIovAOUO,Liquid Swords,3k8xoyOXkGgZxUKgpmxz4P,60,not available
29,Off the Books (feat. Big Pun & Cuban Linx),5qqBsCBwzv0g0xb1kB1TGJ,The Beatnuts,5ynvmGwc83ZoRx2EIWHXLX,Endangered Species,4Dj07YyIWIvo3dUYinvqvR,50,https://p.scdn.co/mp3-preview/5a01e1d89a0b05f40a360d2366bef5b902784ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Bitch Please,5Sm1X46tna50RstHZvw072,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,No Limit Top Dogg,2evskaXutnTkQAaZeT4PQb,60,not available
31,Bad Intentions,1T3VPhjkgPm2TZsprzf78z,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,The Wash,7i8x5IaCIzMAUNjSjLKsCV,50,not available
32,Time's Up,3iQHtjDo1jgcbjUPsh3Dkb,Jadakiss,5pnbUBPifNnlusY8kTBivi,Kiss Of Death,3P7zOlM3IYKqW7f4Px6WKv,45,not available
33,Be Easy,00qpe8j0FiQhMzPP8asBwP,T.I.,4OBJLual30L7gRl5UkeRcT,Trap Muzik,1SloKtrz48mjFA3QIDg7Vl,43,https://p.scdn.co/mp3-preview/5272130fc60ed7997e7d623594e8ecd64cb504e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Kick, Push",6nz35DNIzbtj5ztpDEcW1j,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco's Food & Liquor,0TDJRkEr2SrhWTetdkEzED,61,https://p.scdn.co/mp3-preview/1b89a31c32a23275902865f7c9877a5657690943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Black Mags,0e0zaVxDmUPK0JyRSzgWOE,The Cool Kids,1AWNf5CLnHH4oM1hcHiVeV,The Bake Sale,2R6uUxChvZsfRfRcLJT8qz,46,https://p.scdn.co/mp3-preview/81f2ba3fbf4a0bd785b8d25700d3821ff8707f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
