Soft Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3847514,spotify
1,I'm Not The Only One,0fioLzGM8ngbD1w6fMmm45,Sam Smith,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2Jg7JZ0ZXOGje1bkq7CVgK,25,not available
2,Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,Hozier,2FXC3k01G6Gw61bmprjgqS,Hozier,04E0aLUdCHnhnnYrDDvcHq,26,not available
3,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack (Without Dialogue),3edjzMAVB9RYRd4UcZBchx,80,not available
4,FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,FourFiveSeconds,7yBl4uFyJzH48Vy6tPieXL,80,not available
5,Apologize,1NrJYpdAi7uosDRPmSYrsG,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Dreaming Out Loud,2KSpGeDoNjqCKg6HL8LAyI,73,not available
6,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,83,https://p.scdn.co/mp3-preview/cb1ae1f9e2f874dd2d19e4c29edb552777eb1e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Breach,0NVQ9k3wKmuK6T02lLMl6y,88,not available
8,Out Of Love,4WzhjxvLP95y7AMDy0Atwb,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,The Pains Of Growing,0LzVdypBGpn6dGuHqVGwwt,81,not available
9,Dancing On My Own,2BOqDYLOJBiMOXShCV1neZ,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Only Human (Deluxe),6Vip5A5NmEazvKuxj6GLYf,84,not available
10,Light On,6UnCGAEmrbGIOSmGRZQ1M2,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,77,not available
11,Always Remember Us This Way,1koJk8rrMBlhDZ8MNiLzH9,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack,3a3AKiS0o5qVn25cloDYII,61,not available
12,Love Someone,2JqnpexlO9dmvjUMCaLCLJ,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Love Someone,0JcMyAnJRTisEjYf9xEwkf,79,https://p.scdn.co/mp3-preview/04cf58ec4116750b72117e8b2331f3b0e3ce884f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,84,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Girls Like You (feat. Cardi B),04GKRudrMjdPdX10873SAM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Red Pill Blues (Deluxe),2EHdZj0rUnWRPuHARw69m7,56,not available
15,I'm Like A Bird - Recorded at Spotify Studios NYC,2JtSnwYNKOphDrshYL8n4p,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Spotify Singles,4e1KPKRbxwbrHnysHvve8j,70,not available
16,Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,John Mayer,0hEurMDQu99nJRq8pTxO14,Room For Squares,3yHOaiXecTJVUdn7mApZ48,79,https://p.scdn.co/mp3-preview/7d1019b439ef1aae6d7f51d7e1d6d7a0ed94f1a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Crazy,1vxw6aYJls2oq3gW0DujAo,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,St. Elsewhere,5I0Wf7lRLZArM1K2uQ1AEA,76,https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,77,https://p.scdn.co/mp3-preview/68b70525da23fd56860cf53bd7c4d8429e56f4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,P!nk,1KCSPY1glIKqW2TotWuXOR,The Truth About Love,2Q9oTK48eb85waX1fFJsvj,81,https://p.scdn.co/mp3-preview/ef4de7cafc3510bd0664b6173c79dc6dee229039?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Rolling in the Deep,1CkvWZme3pRgbzaxZnTl5X,Adele,4dpARuHxo51G3z768sgnrY,21,1azUkThwd2HfUDdeNeT147,75,https://p.scdn.co/mp3-preview/8c174ce25d94b502dfe31f0da8a070a32fb263db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mercy,7evPpWWu01Klxi0KlPxR17,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),2AJaA0is5qbaqFy77tPl7B,20,not available
23,How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,How To Save A Life,1IM3GwptCGYjRkzCBolyFK,81,https://p.scdn.co/mp3-preview/c808e35b385571cbda7ccf893c9c568b83a0390d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,86,not available
25,We Don't Talk Anymore,37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,72,https://p.scdn.co/mp3-preview/9c497e095198c3f26f98c244de8219935a908b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,X&Y,4E7bV0pzG0LciBSWTszra6,82,https://p.scdn.co/mp3-preview/b1640815319b2df5ddfac27a28f016319a281468?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Rainbow,79qxwHypONUt3AFq0WPpT9,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,73,not available
28,i love you,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
29,Sign of the Times,5ELRkzdzz0HvGpMDlfZHkV,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Sign of the Times,6YDkzHVTEzMXZOVd1r5NqR,72,https://p.scdn.co/mp3-preview/9801b9239ad1b833f1317574ee55b9d7b8426ff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,John Mayer,0hEurMDQu99nJRq8pTxO14,I Guess I Just Feel Like,35Kv9CZURVdrejZ5jsL8Xn,76,https://p.scdn.co/mp3-preview/62e7f2981c16230915de46596ff08a27a9bc8e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,broken,6XcfKZvJio9Z0fQy11GnNX,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,finding it hard to smile,2AbPwLvpR0FwpqGt4ZY1q4,75,https://p.scdn.co/mp3-preview/11a8d7908786342801a29a88753e24ab88ba0813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,6DEjYFkNZh67HP7R9PSZvv,76,not available
33,The Middle,09IStsImFySgyp0pIQdqAc,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,7nEiwcUSwycvC77kZ9ub7c,85,not available
34,No One,6IwKcFdiRQZOWeYNhUiWIv,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,As I Am (Expanded Edition),6KlxyxhXEDo1LdheFulN7h,81,https://p.scdn.co/mp3-preview/319836ba32dfc550e7818c95885382c3bf1da61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Preach,2AaF78iCWISMWYog5RnSi5,John Legend,5y2Xq6xcjJb2jVM54GHK3t,Preach,32r4o1R9a1lK5DoVXGEC7E,70,https://p.scdn.co/mp3-preview/047ba249f6c8f53ae724761a3a18578c5df8a967?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,75,not available
37,Beyond,1Omt5bfz1tZUCqd26HxbS0,Leon Bridges,3qnGvpP8Yth1AqSBMqON5x,Good Thing,7J9fifadXb0PPSBWXctbi8,73,https://p.scdn.co/mp3-preview/c2ec433b724bbd36f0761809d78ec46fc272da55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,She Will Be Loved - Radio Mix,4llK75pXNWZz6KAho2Gp16,Maroon 5,04gDigrS5kc9YWfZHwBETP,Songs About Jane: 10th Anniversary Edition,5zClcGCSWj926AMjvBNSLc,81,not available
39,Someone Like You,4kflIGfjdZJW4ot2ioixTB,Adele,4dpARuHxo51G3z768sgnrY,21,1azUkThwd2HfUDdeNeT147,79,https://p.scdn.co/mp3-preview/d808ccb1a59c5f21a14cf8da9974558f84366933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Know-It-All (Deluxe),3rDbA12I5duZnlwakqDdZa,74,not available
41,Hold Me While You Wait,6700Z4Izi8EbB6JNthU6Ma,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Hold Me While You Wait,1yDDPX98edTDjG5hFqY2xL,77,not available
42,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,84,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Too Good At Goodbyes,7oAraczbemGSNWqnbkU87R,Sam Smith,2wY79sveU1sp5g7SokKOiI,Too Good At Goodbyes,6D5ic12r3twNk7EjwEYFIP,22,not available
44,The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,85,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Tequila,42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,0g1F5eGVwX4Sxi1n8ojPkE,77,https://p.scdn.co/mp3-preview/fb12ad0f0757edb94b3cbf4911039e526ab1e54c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,James Arthur,4IWBUUAFIplrNtaOHcJPRM,The Greatest Showman: Reimagined,4dPosP4Io4sDCmeiCxVHW0,76,https://p.scdn.co/mp3-preview/d3b9071d04ca78ce322c3f8e2304dd13c9cae5f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Just The Way You Are,24lMtPOCzP5g4hrg3NklLa,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Just The Way You Are,4axhLmtq8nhvF5zJ21FoH8,24,not available
48,You Say,6Up545NUflOiXo8cEraH49,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,Look Up Child,6pmoTLfsPpn0wisT3YFJSN,83,https://p.scdn.co/mp3-preview/3af292e58be8ef42836922174a85571a24ab7937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Be Alright,0mykm0224toIdK7M0qHAYU,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright (Acoustic),1dXWBVa75pEc6AtbKVkXNV,60,not available
50,Take A Bow,3goSVuTt3fDYDP6kRnFwuL,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,79,not available
51,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,Passenger,0gadJ2b9A4SKsB1RFkBb66,All The Little Lights,2mylGx7w2Q3yhUyN8iEWOF,77,https://p.scdn.co/mp3-preview/63f413aabb9ba8c4a4114de4f313413a514a47e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Love Yourself,4qug3gWrzeTNm0GhOkugJV,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Love Yourself,0UrC6yz9of1vd3HHD6h2W2,17,not available
53,Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,John Mayer,0hEurMDQu99nJRq8pTxO14,Continuum,1Xsprdt1q9rOzTic7b9zYM,76,https://p.scdn.co/mp3-preview/50fc46ef0800aef6c599266eb18592c784e93209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Head Above Water,1N7YeVU0ZwAFbOhwM61ef6,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,Head Above Water,6uQufJrxAdQNH2QlnJMEgi,21,not available
