Hot Country,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,The Bones,7g9YrTuImvIkpS9uveKdCO,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL...The Bones,3wRyo249Hi01jeaxnkJ49m,25,not available
42,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,homecoming queen?,1s71G3V7XQaVo5IOR6gLbp,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,homecoming queen?,2lFDv7V3owbyWPJ2Ln5h2J,74,https://p.scdn.co/mp3-preview/b48e810e0950f16e1e8352de28f5f746caf8b0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,What Happens In A Small Town,3g9OCNXY2aSbGRQGY17qVE,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,What Happens In A Small Town,6LF5fXCN9UPwvHHtzF22Ln,72,not available
45,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,If I Know Me,1IR2nlwX6YVTXXeu2qzoWO,76,https://p.scdn.co/mp3-preview/315a23892d7b637a14a15b45d411f8d28f604059?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Drop,6p6WrBXONAaXj7y2N5xg91,Dallas Smith,2HgKf6VcQtGmAKpNXidtiC,The Fall,0fO6mAEG7FpJoCLwEZju0u,69,https://p.scdn.co/mp3-preview/b02666d2c660ec5aedea7795e210cdb36f80375b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Love You Too Late,1cxSTaUfweIG0dw3a9BGi3,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,Love You Too Late (Live at Joe's),5O2o5h4GdpGrQlxyaVmk6p,68,https://p.scdn.co/mp3-preview/f5779ffb49f5b91cce92740ff920a806b09838b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Heartless (feat. Morgan Wallen),4YEes0AZtUChqtLBwaQLzh,85,https://p.scdn.co/mp3-preview/dd33e7e1b6bd9cf1b76ef21fff991cc7c6c49266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,We Were,6JOeNbZ3X6dtXusG3hkHn8,Keith Urban,0u2FHSq3ln94y5Q57xazwf,We Were,2yXYlRyEDDjZwKJ9nZbSib,72,not available
50,Heartache Medication,6ZvAXIWw3rw8WR0Xlmifri,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,Heartache Medication,0JzXywsekILWEm0mBPKKhC,72,not available
51,GIRL,0u3zalSKQIUJ0foEGILmxe,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,2gTENOPxvxQmQswzVQ8v1u,17,not available
52,Buy My Own Drinks,7IVTmZGRp264dILwTNXzjG,Runaway June,7yPbJOX7olhT3ynAyuj3Zl,Buy My Own Drinks,7nReEz8YlDZEyH5Gi9UNDZ,33,not available
