RapCaviar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,88,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
17,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,77,not available
18,Baby,2nKYHpmwjLaEOXS3o7QMiz,Quality Control,6i392l38cR3uBPF0DbNs7S,Baby,0ssH9wMngti9j73Rb9kcfO,86,not available
19,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,84,not available
20,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,82,https://p.scdn.co/mp3-preview/4ed68006ecd1fb0bb834b15fc289b2d55fcd43b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,81,not available
22,Big Stepper,5MVdzbNmCVf9cWbkqFakkr,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,Big Stepper,3Q1Y3muVtMfZXRE9hZlumR,70,https://p.scdn.co/mp3-preview/9be74a8a7585af4f72257979a54b279cbf02650c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Make No Sense,6klLvorLoo1sxvZcjJIY8I,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,AI YoungBoy 2,1nzUj7VkiaytMmf2KrhK2L,72,https://p.scdn.co/mp3-preview/08d9caca72ff509890aaba00e419428c4cd0cb81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,86,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
