The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328768,spotify
1,Out of Reach,5MiiIqEDmr9EpZ4GV5vq8U,"If Only, If Only",3C9LYR59IuuR7lgiVPsnDs,"If Only, If Only",6JhzlIFfONkUnhc3UjPM65,17,https://p.scdn.co/mp3-preview/f9ed47cfc5ea74d4a3f4c78c5f64609f9a91a33f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Give Me a Sign,0RrrXUc7MHNHlVs84LslX3,"Gold, Frankincense, & Myrrh",2NzvxoOoIshAvoQ2wYbZhj,Give Me a Sign,3Curf9iBiPzDMTBdVDieAm,36,https://p.scdn.co/mp3-preview/1b9d32dee6c7d55bef3fb314ae09d5ee21d5a83b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Darkside,39n1y2JqVOPIdfUeLqzgfl,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,73,https://p.scdn.co/mp3-preview/1e5f5e74dbf0595887a3258ff58bf3dcc98e171f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Numb Without You,22aSl53GhZ1y0R4neQ11pd,The Maine,4o0pNHbyj36LPvukNqEug0,You Are OK,0DRUOQBsax8QLUVctbEIAT,28,not available
5,She's A God,2RSWXsgLoiGfuHHJk5ykxr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,She's A God,4xxdLKcI0SaURrkrqt5LAu,62,https://p.scdn.co/mp3-preview/fdce2e2f0c2712de729a25fa22acc34337e2ee01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,True Love,0MPPs3KR5AQvCXwD4bVFtj,Figure Eight,3Zf8i8fwLUtrut3atcrHHZ,True Love,5mkwGnG236kRZYCU1VDXxt,14,https://p.scdn.co/mp3-preview/beda0a8fdd4ef33f12182b4ec220922131815637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Strange Love,1y9AS8gXPuF8sn3K6Awbyb,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/9d92c67124e76594dea39e77d2b1740fe4f0463c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,WOW!,3B7PiImMLehZ18ZhZ6KAc3,promiser,4OTKGQdkkR6iOn3BOzxps5,Clarity,6ECqLPoPb2sBwaJXLL1hRU,13,https://p.scdn.co/mp3-preview/95cd1f9393c95855a67fcca85afc0f8494bbbb24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Deena,126QEuwhW6zp4eNj42YkkG,Sleep in.,7k5pDjVawZrHGmRPPR29vO,The Stars on Your Ceiling,24V2srT3OXLxcFLasN3Fgm,21,https://p.scdn.co/mp3-preview/7259c9d50bcb9c0d93a2e41fd8e61667a8420719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"Just Tonight, Not Forever",6yxB2LuKUXPSZj3ZiIUyb7,The Waiting Game,6UZjGnKsY3Of10gus4tvyl,Underneath The Surface,7mVkpau97RLrPq2CrMCAlL,14,https://p.scdn.co/mp3-preview/7e2b71d9cd5f6056859b10c9326fa2e6260bb323?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Hope You're Okay,4skbVo76V7H7w02A8Ivtxx,Sunsleeper,3KHHh4WVfyUa9ZwE63jdir,You Can Miss Something & Not Want It Back,51OZRo1WABZiBBVXgOEdns,29,https://p.scdn.co/mp3-preview/237477185de91b8d25a6fa277cd9447458926c23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Adrenaline,5vxX2POnp7NBbaCAIVQix7,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/0f803f1f2499ae464c6f20d2e2c3e8d6e7dff1be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pavement,2NKcrFubVH32cUuAw1svj8,SayWeCanFly,6nKQmcReKxJx1vUt9g25j6,Pavement,6xPWCzp1YHUu5pzYsJ4bv2,45,https://p.scdn.co/mp3-preview/0feccf5b1673bb7d74b387b7727836257217cf4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sleepwalker,1lC5rRa2ivaqAbK2i1tUHG,Locket,6h0cRpTv4GFq0zYbCbsDXy,Disappear,3CH5aysv7LcybjuywWJNv1,19,not available
15,King of Nothing,6sPXo5wTA3IKBK2mOJbUbY,Broadside,7EGdqeEDe7WMqOVyDFUYyo,King of Nothing / Empty,4jJzaQ6ovtPPqnMErF6xfR,41,https://p.scdn.co/mp3-preview/99adce9508287a6ada418b053ddf079d0b9945ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Today is Especially Delicious,1OYyQkR5c0bmiw07YHXoFl,Free Throw,49b68DLRK5eCbtJf7Xx4Cc,What's Past is Prologue,2zex7QIGoAu2htViMPl8r2,37,https://p.scdn.co/mp3-preview/82825a1661acb3dca7e03621c0abb44027165be5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Lavender Bones,27wvnSTpsyS9k06aDtXvt8,Stand Atlantic,1W2Fv4YUnjC8hx2qQd6fGh,Lavender Bones,6CvGI6E8zQzbHLXPEsWnnt,49,https://p.scdn.co/mp3-preview/5bd9a9b4938f00c0505ce167c9004d0a594a32e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Degenerates,77Ht6FFAeyHgKl6X87mnTk,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Degenerates,3G3EHIjrfZAcy6w5zIOggZ,69,https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
