You & Me,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,422051,spotify
1,I Won't Fight It,1wnFpv1gSsFZeuNlHOX1ch,Andrew Belle,3UAk61T8PItbpgEi9u7ofY,Black Bear,2lctdjQcxDUo9Q93GScAKC,4,not available
2,Particles,1W2TYUenzUdOOuATtQIWS2,Nothing But Thieves,1kDGbuxWknIKx4FlgWxiSp,Broken Machine (Deluxe),0r7wrRVD77lNrD9t2QgZrq,60,https://p.scdn.co/mp3-preview/1db88427bd53516006eebc7726956eda6c55e921?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Bloom - Bonus Track,41yIvlFgvGwxq8qTqAR7eG,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,Woodland - EP,5l8axHOB8sCsWqfK5XVtbF,74,https://p.scdn.co/mp3-preview/4eff0d595f64fc2f8afa7cfe7b891c35f5f979b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Indigo Puff,3pJQY7UuX0DcE8pgLZhCjf,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Indigo Puff,3U87oNqyChE7Akx3b52x2w,55,https://p.scdn.co/mp3-preview/9a42df14ad868e050e24fff3e0a94cccac64a1a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Falling for the Evening,1hsYIJgjp93IOkZZJe00aU,Golden Ears,5CfL7yszOW1OOqN9Q8CH6I,Falling for the Evening,1g48OrVTOAk3gD6kNhAsnI,47,https://p.scdn.co/mp3-preview/4c9b7d594164827dac07cea911acd0be4c76c7dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Way We Say Goodbye,7J4inwHlV4Bf0qhe9xGGpS,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s It Like Over There?,75HYUZI2d0FDMlsIEfp6Kj,58,https://p.scdn.co/mp3-preview/dcac40bd7329a94d9f508e1504987e069e8cc815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Dead Century,0qhWKhiRbhPGxtTQKr21F1,Wildlife,4ulonkGlELgtzTjNxsMIaQ,Dead Century,185WkhWJn5rAEtpR9GrOUc,4,not available
8,Bloodstream,6xUhre6N6NhELpQaTBo3rP,Stateless,6msJKphD3VXZPItnztefdH,Stateless,72MlSA2nv8w9b25ybqpm0m,4,not available
9,"Love Like a Sunset, Pt. 2",7DB9MrZ4jthCItE95ycD3g,Phoenix,1xU878Z1QtBldR7ru9owdU,Wolfgang Amadeus Phoenix,0IQbQC6V4UuHLcgO9Yt3uu,45,https://p.scdn.co/mp3-preview/f1c71fcf6e8ea36fbdb5378606611d95074b9be4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Astronaut - Something About Your Love,4sG6J4S2FCuMr3oooYAwFS,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,Astronaut (Something About Your Love),7gXdTAAzBuXqTV2kxSIPAk,11,not available
11,Mess Is Mine,7BVwi9cIzSc6tpyxsp47vJ,Vance Joy,10exVja0key0uqUkk6LJRT,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,67,https://p.scdn.co/mp3-preview/0bb48304530e1d8b5ad0f7e96c3c0064a7ba10dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Found,4lRuRtvftdSSUA7hLP7zAr,Amber Run,0MmnmsAuQKRFpo6vJElcaU,Pilot EP,6gYzypEY4tTiESfptdoOrB,58,https://p.scdn.co/mp3-preview/ec72f808699ef92e96ca6913eacd242f07546eca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Cherry,2HQY0sXTrBJCuxqJxbeMWB,Moose Blood,5fEKZRCUa0JApec5Xy095q,"I'll Keep You In Mind, From Time to Time",7aMvv0lYIhPyudfM1TmItV,3,not available
14,Honest,1xJ8RjDucztPOKB0ek95tf,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack),11c2pVVBENFMufPqJMIC3R,55,https://p.scdn.co/mp3-preview/160545c352270ba1b794f296f521d653fb5d8ed7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
