MistaJam's Jam Hot (BBC 1Xtra),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,'Til It's Over,0zYkf4pCiGAhEp5Z3iUkml,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,'Til It's Over,7z4UqvGprXWpQ0wo8ldLDA,57,https://p.scdn.co/mp3-preview/76bcd963e18011a040c344629e323669f0d498df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Affi Me,3G6P59Hi7ap8gRgcRX7Rm1,Wretch 32,0T2sGLJKge2eaFmZJxX7sq,Affi Me,2lQo8TMMCZ0LfkPowngBQe,35,not available
15,"Flower of the Universe (No I.D. Remix) [From Disney's ""A Wrinkle in Time""]",4v2PFclEaY0LrTT3tf1oco,Sade,47zz7sob9NUcODy0BTDvKx,"Flower of the Universe (From Disney's ""A Wrinkle in Time"")",4vdEa3KgM0G1paD9aMhLh2,43,https://p.scdn.co/mp3-preview/b1d2b5ae46ee57d1e5f5d3ed4f73aaf26caa75f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,"Top Off (feat. JAY Z, Future & Beyoncé)",1W6wxOOYyJyyok8fqYSZ3m,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"Top Off (feat. JAY Z, Future & Beyoncé)",1Decr2jtK2wL1Cov28uKhW,62,https://p.scdn.co/mp3-preview/6a323067f2c990daacf689cb50149521a3721892?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Heard,6zxHWziAkg9JMa0TnDShuE,Sneakbo,3EUM35RpJZkmptksMgQyj6,Brixton,1ETrwwNXRqYGe4CUlvGVVF,38,https://p.scdn.co/mp3-preview/adb1b268a91c3606d1e116707e1f229fa8694789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,You Don't Know,41JYBS3jKAhGHQ2d8nms4v,Moss Kena,2u6jNcpusijFS6ZzuWRwMv,Found You In 06,0lTiW5rXF2x57vNXULMpYz,23,https://p.scdn.co/mp3-preview/498244f101086deda4298a45c666119a8a774494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,What I Wanna,7BzBPBF2SDWFCBS5SdIN2e,MoStack,14H15rElxdGClICOZXEYHP,What I Wanna,4ikxatjzRfwmaoUHV52jch,3,not available
20,Make Me Feel,79GsUxLyzxgnN4I1E11dtO,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,59BJKBIqMxOYMTzV3sAmQY,55,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fine Line - Snakehips Remix,2PMMcEXYdF2tnvAeMFEzqE,Mabel,1MIVXf74SZHmTIp4V4paH4,Fine Line (Snakehips Remix),45u4CnYG5adpb1TN4Dkxr7,0,not available
22,The Answer - Sevaqk Remix,19xXUxGIeDjlSCIVextaQl,Example,6Vh6UDWfu9PUSXSzAaB3CW,The Answer (Sevaqk Remix),2DMlkA16Y46LpydvkKs3Dw,23,https://p.scdn.co/mp3-preview/5bd3dca4d52da6962e0b678fcd12c9785ad23b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Check (with RAYE),4i8ObH2xPP4DSNniUJlgar,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,Check (with RAYE),0CoVa5cPLOwxR8Z3XeflhR,62,https://p.scdn.co/mp3-preview/3e0cd6e95fc5d44a49ef50f68ed8392ff722c46e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Help the Weak,1cdtlslUDp3k2MwKDRqUHu,Chronixx,2oZcMYiKpjaA2Et5mU3RPP,Help the Weak,2oh7uArdFLGRMroLwqyxMA,48,https://p.scdn.co/mp3-preview/ce08c0dd4417b9e01e2cb20f8ef193d3eec0c49b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Stir Fry,75OIHhnQKXSaz1vpgFeo8g,Migos,6oMuImdp5ZcFhWP0ESe6mG,Stir Fry,6SanGp9SqXMNqyT852Jb2N,2,not available
