TOTP: The Story Of 1983,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,611,bbc_playlister
1,Bad Boys,4ubrU47OYnqRauUoCzckcg,Wham!,5lpH0xAS4fVfLkACg9DAuM,Fantastic,6vihnceXTNegYbpurc6qkR,44,https://p.scdn.co/mp3-preview/38ac43e99169df1fcc39a8144a262e6ce8be83a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Karma Chameleon - Remastered,2wSAWEYUHkt92X4SBAPqZE,Culture Club,6kz53iCdBSqhQCZ21CoLcc,Colour By Numbers,51NPMfa9QfxsYtqzcB2VfY,75,not available
3,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Sweet Dreams (Are Made Of This),5jNDWA19BJbE24x1UUJGRY,82,https://p.scdn.co/mp3-preview/90dbf17146e76483a9fe296d7f03001e2f07199f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"I.O.U. (7"" Version)",35aAY4EJTCzqcluZYuIpCM,Freeez,5titkTztShEPJSoCL9TXF2,Freeez Frame! - The Best of Freeez,3WgSvz4FgWDbPvoecchXXQ,43,https://p.scdn.co/mp3-preview/7275d9779a396ee424a71352d9fc149af9d10fea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Red Red Wine,1tOE1dIyIjsfLJWiQ4ZRJW,UB40,69MEO1AADKg1IZrq2XLzo5,Labour Of Love,5kxx0oDspXVyGCOjdDjSFi,57,not available
6,Give It Up,7sm3orGGwNFqmWFSPRl8eT,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,The Best Of KC And The Sunshine Band,7BWaaErn7vx53MFcpW8KRC,55,https://p.scdn.co/mp3-preview/4fe84ab9b073f87882001a543abb8822f10d55df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,New Song,7wheS8M6m7JRTxaRI9amY5,Howard Jones,6loBF9iQdE11WSX29fNKqY,Classic Pop: Synth Pop,7lkD4QK0pIfxwNVa6iI5YO,0,not available
8,I Guess That's Why They Call It The Blues,39vhxfS20BvWseZh9ldlJO,Elton John,3PhoLpVuITZKcymswpck5b,Too Low For Zero (Remastered With Bonus Tracks),4Y7sv4Ji2wQOknwXZ0x2WI,13,not available
9,Double Dutch,73wIT3gQqOe4HyWRAMt3x4,Malcolm McLaren,4ihCM8I0fpWodgjo0mTlhZ,Duck Rock,6S4f7yDtJlS0iQMEuCtIF0,41,not available
10,Every Breath You Take,16fzReMJmcLlBccnZCTZNS,The Police,5NGO30tJxFlKixkPSgXcFE,The Very Best Of Sting And The Police,5vLIfhDpTmdyQ0YrlnXzSr,16,not available
11,Can't Get Used to Losing You,4mpU9Ha78fm9o33wIEscAT,The Beat,4R90PNicCsCsEoRm8XwiMS,I Just Can't Stop It [Deluxe Edition],4loqJOnMNURLM7LEpZ57cu,0,not available
12,Is There Something I Should Know?,3X4T0KunohTtDaecqBZ8vC,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Greatest,7xbWtTByfdMWFfxXmeFFl0,46,https://p.scdn.co/mp3-preview/762dbe1f130cf18d30948badaa59d93fb401f51e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love of the Common People,34AJbTeFxDD5nXBzczPIte,Paul Young,6rqU9HQ57NYGBnBzbrY3a4,80s 100 Hits,0pvhletDH7CphbKErUtPCF,47,https://p.scdn.co/mp3-preview/b122ff7be237c7db4134b6216fe56e43e5ab9e8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Moonlight Shadow,5Jc21xaya2MrHp2KOetrBq,Mike Oldfield,562Od3CffWedyz2BbeYWVn,The Mike Oldfield Collection,0RidJhvnhzzPkxNTPgBM7N,17,not available
15,Dear Prudence,05uI1w9BFqXXljwFBeDf6w,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,The Best Of...,3GBZ1Hv0R2Pgj8nBuZz29w,1,not available
16,Too Shy,6WEBIVqiEsevfgJefTyuQQ,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,White Feathers,52koatNHePHRWEmmkP0z2Z,58,https://p.scdn.co/mp3-preview/ce39331d582c3190c632307c2348d1537dc650df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cruel Summer,50f3B6HpT3gvl78lU3CF5D,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,Rhino Hi-Five: Bananarama,6mwXbeY9mpFssZERIyYsVs,0,not available
18,Total Eclipse of the Heart,3W8KQQD2FZPLVqflvYYyjT,Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,Heaven & Hell,5cXPuSJTCxftUGheHpv4bC,51,https://p.scdn.co/mp3-preview/2db9a6e2fc7055987b4047e086a44bebda55e8b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
