The Sound of 1994 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4220,bbc_playlister
1,Sabotage,0Puj4YlTm6xNzDDADXHMI9,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Ill Communication,6lfjbwFGzQ6aSNP1N3JlT8,72,not available
2,Spin the Black Circle - Remastered,7Al0ADUt8SCPiQIBbTcNdR,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Vitalogy,5pd9B3KQWKshHw4lnsSLNy,50,https://p.scdn.co/mp3-preview/123a7eefd0d5f2d5b40c8de2700dd986d76487ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"What's The Frequency, Kenneth?",30EN9Tgoc1nZfoUD6pNapa,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Monster,6Kz3n3bib9jVdPVQPfCFDN,2,not available
4,Slide Away - Remastered,2cFXybEXggFTpPeIzWWHpk,Oasis,2DaxqgrOhkeH0fpeiQq2f4,Definitely Maybe (Remastered) [Deluxe Edition Remastered],3F7qb5AiQdWxuMgSyQ9zyg,55,https://p.scdn.co/mp3-preview/ca6db9dd5857d92bf0be1625f96b0635c17095f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,My Iron Lung,4dPKQxaraW6CG1rTBzV6DW,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,The Bends,500FEaUzn8lN9zWFyZG5C2,56,https://p.scdn.co/mp3-preview/98b1a1597eac599094c65a90b5a8306e7230e5d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Do You Remember The First Time?,4Ud873W6eS0zJvCHEcGJDs,Pulp,36E7oYfz3LLRto6l2WmDcD,Hits (International version),6ZQrocyTNkEzbQrkjjDbls,0,not available
7,Girls and Boys,5CeL9C3bsoe4yzYS1Qz8cw,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,69,https://p.scdn.co/mp3-preview/e6fe3a8d487412f67de6e731c1cea650cde07055?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cowgirl - Remastered,3V50rKwWpOO4liXEOuMhDY,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Dubnobasswithmyheadman (20th Anniversary Remaster),57xC6rOhK0Fr6uYeuyNGqn,0,not available
9,No Good (Start the Dance),4kcBLVepesflQP345wKVeq,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,Music for the Jilted Generation,04moHShgS3I0ErPt2mTAtd,6,not available
10,Inner City Life - Baby Boy's Edit,6mJb8G16Y65z3Xsl4IXxYt,Goldie,2SYqJ3uDLLXZNyZdLKBy4M,Timeless (US DMD),0MbeekWXeO9BFjImhNH5gf,0,not available
11,Music Box,4zcucrgbYlbbq2m8ghed7M,Roni Size,5UjqeSp9dX6Nrge7WdDukr,"Full Cycle Retrospect, Vol.1",0AV0z0JfconKG5TfHrj7I6,0,not available
12,Lost And Found - S.F.L.,7phq7URtvZ2Mla9KQhcTv9,DJ Shadow,5CE2IfdYZEQGIDsfiRm8SI,Reconstructed : The Best Of DJ Shadow (Deluxe Edition),5XrVKHz3mbghaTBzSK2EgA,0,not available
13,Lifeforms,3Hwil54mTI3K83ghQACiWs,The Future Sound Of London,2qhmNI4ZHPpeDutdg473Z3,Lifeforms,0UcHfoo7KMso767JwePBMh,26,not available
14,Southernplayalisticadillacmuzik,2pMAmZdHfQHyqJCXJbfhK3,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Southernplayalisticadillacmuzik,3l5AwLKqQ42VJbc5lTuP8G,54,https://p.scdn.co/mp3-preview/977201dc61b6ec00a9fda00b0a18ad10a71d37e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,9th Wonder (Blackitolism),2YM9qQklVODlkC3T9YD0e0,Digable Planets,0gqIrDRL7CEPBWMmkuZPdQ,Blowout Comb,5gvlpKnnINq8Z1YICdtiBt,36,not available
16,Give It Up,2uWoy80sBB8a59nh0cDSe1,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,Muse Sick-N-Hour Mess Age,7imTXPaihwlhOGVqa158ub,40,not available
17,Beercan,4U7sXsrNV30wnev984jEzt,Beck,3vbKDsSS70ZX9D2OcvbZmS,Mellow Gold,7MKi8PuCX5QJtaG9wLbOI2,0,not available
18,Gold Soundz,6QYbBf3cozEG60sz5glkxv,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Quarantine The Past: The Best Of Pavement,2siKA5eg88sNvLm1kXjtse,26,https://p.scdn.co/mp3-preview/5404edbc20354f6bb45d63fc961a44038efd8227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
