Kermode & Mayo's Wittertainment Playlist (BBC Radio 5 Live),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7125,bbc_playlister
1,Top Of The World,6VIPvEll5WnA2FD4ptCER8,Shonen Knife,4ukJlDdlvuQOHZdD2NVsFD,If I Were A Carpenter,15fLsphBe849t19CFN9rx6,0,not available
2,"Living in America - From ""Rocky IV"" Soundtrack",4Y5yjzs9FFw5qIgfZBd43I,James Brown,7GaxyUddsPok8BuhxN6OUW,Rocky IV,3t3BbpFJiGcXl4jI5CRLLA,56,https://p.scdn.co/mp3-preview/7af75ae9545de7a9b88ed91597204969b3ac0bbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Denis,2r9wqqaPMXq6goFO396cfq,Blondie,4tpUmLEVLCGFr93o8hFFIB,Greatest Hits: Blondie,25eZFwT2UvVK1kxC3wMoSW,43,not available
4,Reelin' In The Years,4oup3KfsjiTNmx5LiJSZQf,Steely Dan,6P7H3ai06vU1sGvdpBwDmE,Can't Buy A Thrill,0J13gY691Jb1LEgAnLtJGD,20,not available
5,Love Is All,4xVvKpua7eX68Ic1TDqaUw,Roger Glover,5NuneeBDaWZspG13LcsYuV,The Butterfly Ball and the Grasshopper's Feast,0qyBo8KTEcKMyXVgahZ1Ps,48,https://p.scdn.co/mp3-preview/bc1334d607d51c7b4664edddb26b32d342422a75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Ugly Bug Ball,52duRC85Q40bunC4JmzbQT,Burl Ives,0MHgLfmQdutffmvWe5XBTN,"Forever Burl Ives, Vol. 2",3Jj3iUdoUkeGBhsaickFIB,3,https://p.scdn.co/mp3-preview/5710a656d80003eb1b7849112f295a075d0d9ae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Heaven Knows,3hMWL74tNpo9Lri79lix27,Squeeze,6Jrj26oAY96EEC2lqC6fua,Ridiculous - Expanded Reissue,1UyTK9LyMIkfuxh2yEW1iL,0,not available
8,Rise - Remastered 2011,2C752l9kMmEXOpLsgLlQc7,Public Image Ltd.,70MMkLXtue3Edj3RJhJkYp,The Greatest Hits... So Far,07qAsfLKZEKWtUsxhjHYe8,32,not available
9,Midnight Dynamos,2DokfJx2T3GAchaEoap6Se,Matchbox,1TZLeOYelnAiEkOJnofWrj,The Platinum Collection,2UG7OjoH8G3MILkrOYXyCN,32,https://p.scdn.co/mp3-preview/93c59b38072d3078f60b71a87f8a4df61e46d031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
