Blues America,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
49,All Night Long,2ML8z59mmFu0cAfRzXjaqt,"Jimmy ""Duck"" Holmes",366oWbbebUqu4ovO0F0V5D,Ain't It Lonesome,0nEYMtuJ8wfCzuYLIpUzKX,28,https://p.scdn.co/mp3-preview/7f65a49b3ef9859c93fe5105135aae21352267c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sweet Home Chicago,7Jus3vvgRhhZR5P5VZSbdM,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,Milkcow's Calf Blues,0N0rr9P1mRL5DJR5aRJFKZ,0,not available
51,Juke,6cr60lPjxdahlZsveDoljg,Little Walter,22JuR9OeENcP54XN5TlNWS,Amazing Performance,4Hj0ObbiRYyYdH9KeFYaXQ,0,not available
52,Rollin' and Tumblin,5ZE70G6ZUBciN0znz5XldY,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"The Very Best of Muddy Waters, Got My Mojo Working",2oS6YLqX4b2DT8xlOZtF88,0,not available
53,"Boom Boom, Out Go the LIghts",7F36uBtLA97fjLctKvTgCW,Little Walter,22JuR9OeENcP54XN5TlNWS,Essential Blues Legends - Little Walter,0qgC2Je7IVk0JKVL9jLWXZ,0,not available
54,If I Should Have Bad Luck,08bsswiP3bPS1eV2NT443o,Charlie Musselwhite,4NikxGoDm5LGVYAHj0Euoc,In My Time…,2lYNIKZfq0lyus2M8xlNmK,0,not available
55,Boogie Chillun,6CZjeDKy6ACpPVhT6rhleU,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,I'm John Lee Hooker,3zQgUuKFCU1YnEsfhcflRE,0,not available
56,Boom Boom,7LTNW59wqD4skF5Q3smPSe,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,Boom Boom - The Very Best Of John Lee Hooker,5oWWOcGGgTaS7RSuYPfLdp,0,not available
57,Make Me A Pallet On Your Floor,7cXlnUY8z5SHVBMK29Mp1J,Mississippi John Hurt,1FdwVX3yL8ITuRnTZxetsA,Complete Studio Recordings,5cwghugVHA8qva7hYvMPVJ,20,not available
58,How Many More Years,0k7PJxE3uhpDie5zO9K2cD,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,All the Complete Recordings,36UGuGV0qmd70VCaWIVGwT,0,not available
59,Smokestack Lightning,73u7wHU7EnmhFiRqi3Ze3H,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,Blues All Blues,4yurXUjjTc5wUZjqDIsFdc,0,not available
60,That's All Right Mama,4oo8xZMf52AWEcpLXz0yLt,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley The Sun Recordings,15EIDy59KY8d0qVPrWSwoX,0,not available
61,Ida Red,6YREkjUwBYbl37doKVyAy4,Bob Wills & His Texas Playboys,0VyOgubdcDnrJ0AWL2TRDN,"Tiffany Transcriptions, Vol. 2",4SVZceGCpRrMbkcur5PpbL,9,https://p.scdn.co/mp3-preview/b039f76469210ff520798298d6b9232f0c74b30a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Maybellene - Single Version,1nEtNd8yJj0VplKoUW1SIR,Chuck Berry,293zczrfYafIItmnmM3coR,Berry Is On Top (Reissue),5WLabhDfa2v1Lkv8iuEJHJ,1,not available
63,Come To Find Out,0rLIwDUdFv0mkAxng3tFH4,John Hammond,471Ycbmda1lAuLMscQvxMR,In Your Arms Again,2SMoVwyApuo1BiErKhKN8r,2,not available
64,Whoa Buck,2jpYQoJIXzusrGM0HNrS1e,C.B.,6UfqY9JT3eA6fAJgx9TE3D,Blues From The Big House,5mcnO9DhMD4HSAsypBpW2M,1,https://p.scdn.co/mp3-preview/433b0209accaedf80580b92e0e9fe357d9051ec9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Candyman Blues,6YnGW9MwaIvpa0vawMp2NA,Mississippi John Hurt,1FdwVX3yL8ITuRnTZxetsA,Memorial Anthology Vol. 1,0K6iixWZrjW3Raa7TS2gBB,0,not available
66,Levee Camp Moan,15UFmUNfyu7LBiXCzdZEiM,Son House,15oeqKO5k5uZ5773tWvpda,Son House Revisited Vol. 1,0B1wPjeha3UdcgiYquEprz,6,https://p.scdn.co/mp3-preview/0a07516b49133369e22ab6fc378459edf909b9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Kindhearted Woman Blues,15ppx6BcfcO2r5iA2IYYdR,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,King of the Delta Blues Singers,4DETxTFjVJMDjhUvEJIm4B,0,not available
68,Hell Hound On My Trail,53JRbj8BQj7e2CTh0W204l,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson At His Best,1DUf079Z1DW5ivKtC1TVwz,0,not available
69,Come On in My Kitchen,7ezDuxrUG1Bq3Th65edg7O,Robert Johnson,0f8MDDzIc6M4uH1xH0o0gy,"Restoration Lab, Vol. 1 (Best Masterpieces)",4Lbn9U4iqjbhD0wVwA3rQ4,0,not available
70,I Just Want To Make Love To You,2OC7yfx2qVeRqU8YBYmnqz,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,7Kln3VdaLUYVIFpqe7AuNA,0,not available
71,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,57J2znxukXsXzS3XPuZ1TG,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones Singles Collection: The London Years (Remastered),1YYEC5hLwDbQPtErSBD223,9,not available
72,Shake Your Moneymaker,7aZbJafwtBO5brG049rcWR,Paul Butterfield,1iQbAecYvKMXhpaFg7oSRq,Blues - Gold,7zqWVh46vDwfktmRx1g24e,0,not available
73,I'm So Glad,5UCSVXqaP7yv38ZtS6Iu4X,Cream,74oJ4qxwOZvX6oSsu1DGnw,Fresh Cream,6iyKqDoL9pRSHUsDBYemlB,38,not available
74,Smoking Gun,47ikPMvLjJijujTG2HU0nT,Robert Cray,6eMlKSBFAoXVJLoeHmwKEj,Strong Persuader,3MkUlN2CtUihUBn4MFNhOl,0,not available
75,I'm In The Mood - Single Version,6hURmYjfqmr5CfK1wSHxtv,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,Classic John Lee Hooker - The Universal Masters Collection,1HY1tHggnUZhUvkOE24h7Y,3,not available
76,Let Me Love You Baby - Single Version,7uAuYNRA5Po5l86FgsFUIR,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,Blues Greats: Buddy Guy,24qPlBedjmZlqnfIZmjLNS,12,not available
77,Mannish Boy,5mTFQUnS4PNyZ8FAKZe6wD,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Muddy Waters Long Distant Call,2ZhjJzWT2OxATjv7p5kMXv,0,not available
78,Fell In Love With A Girl,33ytgjBqchYHhhRfKWMCvH,The White Stripes,4F84IBURUo98rz4r61KF70,White Blood Cells,6ivqUxtSPTljd9Frfdyxbg,8,not available
79,Got My Mojo Working,0dMCoNMfxlUjs5JPzicjIv,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,Muddy,4yKlzlHKe5uKgkNUzSeiyZ,0,not available
80,Voodoo Child (Slight Return),6d3I7THB2bONUkxOo1DvmZ,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Experience Hendrix: The Best Of Jimi Hendrix,2vfiwvlxOBNBohRXfvlMtY,54,https://p.scdn.co/mp3-preview/99ff9aeb7277fae58d72af32fc3e1982ab4c1907?cid=fa83a2fec7c440b7a2795d600d6b2c7e
