BBC Music Jazz: 50 Greatest Jazz Albums (BBC Music Exclusives),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3188,bbc_playlister
1,Elijah,5Kfn5waksBVFhELQHSCJzN,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,A New Perspective (Remastered / Rudy Van Gelder Edition),3LG1c3DYgaEtCxea2z7ZSa,28,not available
2,Down Here Below,0RwYZuW7IyD9uiPtIegAFd,Abbey Lincoln,0A9p7WNA1VwxVyrjx92Z9F,Abbey Sings Abbey,7adPjhJuyYJfvbWgi4YdhJ,16,not available
3,Better Git It in Your Soul,16nJl8NnriCJxraco5Zssm,Charles Mingus,1W8TbFzNS15VwsempfY12H,Ah Um,7pojWP7x9uEFSJgw765khA,52,https://p.scdn.co/mp3-preview/7646a845c61449a29747440dcea48e54a2633158?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Miles Runs the Voodoo Down - 45-rpm Single Edit,0Nqd9f20zZ2J2k5Xc7B8zK,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,Bitches Brew (Legacy Edition),1wVO8nHzgcim0IBzbXnYX0,27,https://p.scdn.co/mp3-preview/bbb8788344f844af5aa8f50c34ecd286119d88a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Black Codes,5YgifWgpWSqm451l7Y7c6L,Wynton Marsalis,375zxMmh2cSgUzFFnva0O7,Black Codes (From The Underground),3yjPy557Rtupp0nxIJ7uZt,19,https://p.scdn.co/mp3-preview/d0381084ae5070f1965413fc952c6241bf3f928a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Black Market,5dJS5oBmC6wvJ2nNzl5hNo,Weather Report,162DCkd8aDKwvjBb74Gu8b,Black Market,4COZn5okauxP5luXkwEPLd,46,https://p.scdn.co/mp3-preview/91030780d4a20f4c8897a58c7a3fc433d91cdbbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Main Stem,64J3t05rMHJrRV4mHcquSq,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,By Popular Demand Duke Ellington,1dx0e5f4EgUotYAIFdQFeJ,12,not available
8,Blue Train,73m0Y0jRkLmCIRTVznaOQS,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Blue Train,28aGifKErlfBHvO7K5yhaI,0,not available
9,Loch Lomond - Live,08czNLLMCcrgPoNQVbAjPW,Benny Goodman,1pBuKaLHJlIlqYxQQaflve,Live At Carnegie Hall-1938 Complete,09lzqRgkIAJfr1KZ3qREYD,10,https://p.scdn.co/mp3-preview/4169cdbed3525d0764203ca56a8d54cb85c888c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Crescent,2NPkViduOC3H0UV9OJeWph,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,Crescent,0O6WxKmmQsjIrSkXh8qH0d,2,not available
11,They Can't Take That Away From Me,1rCamQVsAQRA23Eoax7Ywm,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Ella & Louis (Classics International Version),2gL5uUab5439mDFvHnBtVb,8,not available
12,Dodge the Dodo,1FprhJiKi3zqQCkIcNGHLe,Esbjörn Svensson Trio,3HJzLaMbS0jMabxS3wttGk,Retrospective - The Very Best of E.S.T.,0EhziYBmHpzuo7tkQ4T3bI,0,not available
13,Watermelon Man,7wGx08b8HOKxnppqcoq4ea,Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,Triple Best Of,18x3CX5nt2gQEEof0E1aPy,34,not available
14,Shhh / Peaceful - LP Mix,267lVml7gJ9xefwgO6E2Ag,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,In A Silent Way,0Hs3BomCdwIWRhgT57x22T,42,https://p.scdn.co/mp3-preview/3282562565c083171ee3e663fb7f5bee6c3370b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,G&B,5P22GrIprYmnFZoR3P6142,Robert Glasper,5cM1PvItlR21WUyBnsdMcn,In My Element,7M4DuL9Z6JqcNapcOUTPNS,29,not available
16,My Favourite Things,5RzDUxNC7hKjr8eTEX8n6b,Betty Carter,6HB1MchEEMg40EisSJuenZ,Inside Betty Carter,3rFnwsVrrSYZQsCGTkOT7W,41,https://p.scdn.co/mp3-preview/7de048a187681cbd2c39b62f31287e5286ae878b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,It Could Happen to You,2I3AxLXcXcat2ZpNXrhXXY,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,Chet Baker Sings: It Could Happen To You [Original Jazz Classics Remasters] (OJC Remaster),1igWhuMcoW059Yh6KGFmyd,0,not available
18,So What,4vLYewWIvqHfKtJDk8c8tq,Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,Kind Of Blue (Legacy Edition),4sb0eMpDn3upAFfyi4q2rw,62,https://p.scdn.co/mp3-preview/e692f71aa410f2dd6dc50e59e7f75e31d925aca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,West End Blues,4pNEru5t6R1DVTHcwlmsya,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,Louis - The Best Of Louis Armstrong,1xOuAgtDiqwzXV4ohTx0jX,0,not available
20,Thanks for the Beautiful Land on the Delta,31IsXkyyc9b48RpzJPsCaQ,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,New Orleans Suite,5RadUVxtfqi3AnAumezPvo,13,https://p.scdn.co/mp3-preview/a1291c463a31e66e662f3913b084393bc2d586d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sincerely Diana,3LR9RHZ3BFzYJpuq8Q8ZZG,Art Blakey & The Jazz Messengers,6ykfXAed2KOLOMI3R0TZdz,A Night In Tunisia (Remaster),0oGkNKWrFghBenF0j16VVW,23,not available
