Peaky Blinders (BBC Two),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,19486,bbc_playlister
1,Red Right Hand,7HrpPxCR5OYislYvUT4h79,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Let Love In,7CR3tuhXFsntLZs680B5rL,11,not available
2,Pyramid Song,3C323D2bvI4P3l9OZ6dBw0,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Amnesiac (Collector's Edition),7mUKceir3qJ2WeQETnvz8g,1,not available
3,Red Right Hand,5WBhTqcyiSEOoBCBcj9e22,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Red Right Hand,2Tjwgz2DaHwD9vGZEfohF1,45,https://p.scdn.co/mp3-preview/2071739eb6981b8cd5714ec792c3862350a53820?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Saved These Words,1NkMrx178g0giLD8tOUOpv,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Once I Was An Eagle,35He6RuwS8C2KjG067Gobl,39,not available
5,Heart Of A Dog,3LnbtQ1S3LdgDy8nqfgsDa,The Kills,5BYuBzqmTXwUDw2rYkwExr,Heart of a Dog,1aF8an8WU93Mt4fvPIWDTn,0,not available
6,Snake Oil,1fn1RZO7oiEmLm1MIGLb27,Foals,6FQqZYVfTNQ1pCqfkwVFEa,What Went Down,4uIDigk79DeZEYV6Z5Yf4s,52,https://p.scdn.co/mp3-preview/6dfee73c4920c3751bee35ecd9a48065981359f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Beat The Devil's Tattoo,2Wr7zFf78V0EghGjGKhoP0,Black Rebel Motorcycle Club,1tpXaFf2F55E7kVJON4j4G,Beat The Devil's Tattoo,6balOY1DvsMmjd8Ry3fmhq,63,https://p.scdn.co/mp3-preview/06417323e8803e8039c2f9b35f25844353189612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"I Wish, I Wish",3bhhw6vkgTz9Y152Xkw3SV,Rachel Unthank And The Winterset,755BiDaSolMGHh4WZelbcP,The Bairns,4Vp2FrBWaX544HMRmCS02F,31,https://p.scdn.co/mp3-preview/65794f566c7039a7903cc48d1df5cdfe820a493a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Devil Inside Me,0md4Z6wyXaDpK0ukd65Uhv,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Blossom,3o0KQGLUpxACOwsIMWjfqF,49,https://p.scdn.co/mp3-preview/b79374848018a5fa446d81fe9b3001b8c643b442?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Longing,57EkOnOpxuxUsYahMCcVRB,Imelda May,6AnjHMqEAps8VJdHU8RykH,Life Love Flesh Blood (Deluxe),2okmUsYO1BSztGoGQzEpVt,0,not available
11,Lost,6FWWWKLHXqLOfvXsWN9mrU,TOMMYANDMARY,35yQeAjurNr9pVW2856uYn,Lost,1aTvKhofWin4mYVSTj38PI,34,https://p.scdn.co/mp3-preview/258b78316dc31c14ac15a58150d9155effc8905b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Mercy Seat - Live from KCRW,1Uy2fW2iGQBhaSLleFQleq,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Live from KCRW,2jNv3vtT3Ils6d34AZhUBG,46,https://p.scdn.co/mp3-preview/25365feb3307842f1846b9b8bc2394d043c1307f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Further On Up The Road,48TYUldylvPmnWSLwDZjSv,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,American V: A Hundred Highways,3KWnxi1FGRc0sTYLmPFoPH,3,not available
14,Alas Salvation,5RgKNMiWcLOOLIhH3qkOPw,Yak,2EVlbKnHoS3sRVmm4gPf3x,Alas Salvation,79eEK4Zv0dqVXrarAmqozS,40,https://p.scdn.co/mp3-preview/0a98e8c4de3def391d02a6119b88ab6ddac2985f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Adore,43v9n2WUgrDi4Z4wiEEV8h,Savages,1WFsBUAgQmrGQQEUyFKS60,Adore Life,6c3UkztmOmW2GtunSNN3NZ,44,https://p.scdn.co/mp3-preview/1687bba9d57dd70761885708bc7ebbb09594464a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Life In a Glasshouse,29yXMFKIrY1fFY4DYBVZCu,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Amnesiac,6V9YnBmFjWmXCBaUVRCVXP,51,https://p.scdn.co/mp3-preview/b8f269af2e930685db48ebbc45ca3c5deff6a670?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Lazarus,2pEfM4ipdRlvZwfEHMhDcr,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Lazarus,08dHFRzLD8vwTnbbyorU9V,35,https://p.scdn.co/mp3-preview/a8d5a6f1796b7896aefc89bc5d9cacc39ee7129a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Cherry Lips,0HPkkm2lQVuMOVntv5VG4A,Archie Bronson Outfit,4bR4Ul1AtneW7Bae9jzNzh,Derdang Derdang,7EVkvoWlkJetwl2pPyN59R,1,not available
19,Baby Did a Bad Bad Thing,39U2XMkDb1pbApWUyb0UMf,Queen Kwong,7eVMHPJuAw7Basmy5KYGk8,Bad Lieutenant,5354lJwdwDNXu0H4kyKdgL,44,https://p.scdn.co/mp3-preview/c4dceb3f3e9b875d21b8c5d3c7a60c9e2290c01e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Monkey 23,5dEpsavLcUZvtHzM6PfW2N,The Kills,5BYuBzqmTXwUDw2rYkwExr,Keep On Your Mean Side,7yosQ283GvPYGzKBjp6gzk,45,https://p.scdn.co/mp3-preview/4d6b6ca1554b393e42833b8b3b15cedaef6fff7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Meet Ze Monsta,1WdCKCkuqACg7x5IJ1w9Ve,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,To Bring You My Love,5KnVnc0jHYf9P62scmq8ny,1,not available
22,Bad Habits,3tNMevknMvnyS7GYZ2KUGI,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,Bad Habits,3Fl7L9k1lioUgs4f9X7jSo,1,not available
23,Burn The Witch,5mDA2REjyAxzEJZAFtiBSI,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Lullabies To Paralyze,68ZycIjwlQ0fvtaxVXmgn8,41,not available
24,Tupelo,1KzMHYmkCDtG5GiVYEDujN,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,The Best of...,2s8eBXAi1CHBkERwcwKEve,0,not available
25,Soldier's Things,6RFrfPnR79ANaj9AgyHeLT,Tom Waits,7x83XhcMbOTl1UdYsPTuZM,Swordfishtrombones,1JXGJdo7Go4D2fipqXwt4q,2,not available
26,Don't Sit Down 'Cause I've Moved Your Chair,2tvABtsk0DHzirDa0nclsU,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Suck It and See,6ePsSjLdhZ8cFbxcZExAwl,2,not available
27,Used To Be My Girl,1Vpomi79Ab7tsr0tIJbJb3,The Last Shadow Puppets,2Z7UcsdweVlRbAk5wH5fsf,Everything You’ve Come To Expect,6MtpG8DsvkSi9K9IRHwgm0,4,not available
28,DNA,0gz8Q0GFRBDRzhcEmxYP6x,The Kills,5BYuBzqmTXwUDw2rYkwExr,Blood Pressures,1esm7YES2l79PtbJruzOZE,3,not available
29,Crying Lightning,69faTljvJSdb3a10C6wSzF,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,Crying Lightning,6Clg4KBsvQUwCxf9dADoIt,0,not available
