Later...with Jools Holland - Spring 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Witness,2GT6Qu8vpLF3sWLIayctVt,Benjamin Booker,7mZgBMpvaBziYQfc9TbJH5,Witness,3b5MyZrwAXYmPwBa6feCw3,0,not available
26,Rubber Bullets,1QQgSUKCG8GakzMOwi4lFS,10cc,6i6WlGzQtXtz7GcC5H5st5,10cc,1NefUKCblMkMNlspyQrJEH,46,https://p.scdn.co/mp3-preview/1eb6f972b6418dffd396c2c09989039385d84a8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Long Time,6JC6VT818NrvSx7hMZkg4r,Blondie,4tpUmLEVLCGFr93o8hFFIB,Long Time,2mNGCj1LOC5oW8xaizYu0m,0,not available
28,Cave,7BkEHDQO5rpMd2Ns0YVZBA,Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,The Far Field,5fhDKNsP4aDsSLjd4JLXrz,47,https://p.scdn.co/mp3-preview/9f821d89cab3b5f620cfea2433f5ba134b2424fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Big Picture,2iFxUBbMdLgJZzmuIxKKvs,London Grammar,3Bd1cgCjtCI32PYvDC3ynO,Big Picture,6ZEAP3lDHYwvDBlDoYsIeh,2,not available
30,Fayinkounko,6oruvPIsyrikaiOurLrj5v,Orchestra Baobab,7xT0arvCDupDU1YYy0BNv9,Fayinkounko,5xq00NmPJWnccBY0qQdy7b,0,not available
31,Finders Keepers,2w5Yx4NqmZEKlMLA9frHrp,Mabel,1MIVXf74SZHmTIp4V4paH4,Finders Keepers,5E69ayFhCt0s3rZ2LHgTln,0,not available
32,Intoxication from the Jahvmonishi Leaves,5Piedh0QashnE2nhNW3oiE,Binker and Moses,7mKZJ0SITREZQovQF6Qeb4,Intoxication from the Jahvmonisi Leaves,3LP2Z9uxJCAbdZxUcWStaU,7,https://p.scdn.co/mp3-preview/b5dda938d4a984efcde8b07b4f3946de20f01d79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Call Me (Theme From American Gigolo) - Remastered 2001,6wzbWsPbfIR0nBjSqdbV7m,Blondie,4tpUmLEVLCGFr93o8hFFIB,Autoamerican,1VuNXmZV6eIfUwglRlM9Ya,35,not available
34,Fire,5d15Wq8pzkf4fYkgdoQcni,Beth Ditto,7y8lzaGqtadGmtAtg2SGv4,Fire,1hLyVwgyE1aKBYj3672qJA,0,not available
35,Lost on You,2kz40rIHjfGYxurLiuCBp9,LP,0J7U24vlOOIeMpuaO6Q85A,Death Valley,5thv3RCZIDkWQVGDicoLkF,21,not available
36,Makeba - Radio Edit,5FkBFIGzG8lYFktLyZNUq6,Jain,2HHmvvSQ44ePDH7IKVzgK0,Makeba (Radio Edit),4GtRTtBrGPlgzhuXTuGFx1,54,https://p.scdn.co/mp3-preview/5b641dc84a3a305f56cd4e36b66b7d3acec2b626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Black Magic,7dPDsNR1J5sR8bzrDzd9dV,The Amazons,7243txmysJ4KbRmH8UAMKO,Black Magic,23POFXBchNKzlNyNkx5mUe,0,not available
38,Standing In the Way of Control,76rCrPvrlLO4CyqAeaLu4o,Gossip,3sFTupo9UGgrujjN21BjwR,Standing in the Way of Control,0yj50hXLNjoNbluZJgwMrR,23,not available
39,Trøllabundin,6VaHDR9NvZLCcjp1h9XlN3,Eivør,2dB4ya2W1Gvng8gjWSPu2H,Slør,5n5rjpAOd9xiXXM1hKT8BQ,32,https://p.scdn.co/mp3-preview/dceb3df51f1e805546c008deb5cb07add19bd806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,87,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Shakedown,1R0s6wtjFYOf64PCvx8oW9,Valerie June,4QZdOCb3UacKbQ1ybDFAKM,Shakedown,1b1aGAA15eckwLX0YDJ11m,0,not available
42,All About Me,7AXWSA3MrpbAZupErraBmp,Syd,3jk39CGeaaSO3FPKNx1RUx,All About Me,5fyK5Tpxw142jyQjiDJFjv,32,https://p.scdn.co/mp3-preview/e190dc17fc46cab31f5e16e5f0e27b460dc384cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sometimes You Just Drive,51M0roQsA1KsZt4alxIbTP,Michael Chapman,5slSOLb4CcoPOgptg4tsxo,50,3rz4O5Fw0TN1esPNVeoG0B,10,https://p.scdn.co/mp3-preview/2fabed6422e15c20055ff7d9159d748a33d8cc82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mambo Na' Mà,7JCR02ffWYhCRwNXDtfdpC,Daymé Arocena,6LcWO77VeIUPqNY22N3fI0,Mambo Na' Mà,0kYok3cwiOMSi2C1X5GzMn,1,not available
45,Down,4Hgn5GBgk7EQGIEwGoZorQ,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,ACT ONE,5VDyPl4EXuORj7StAzLedU,10,not available
46,Galway Girl,0afhq8XCExXpqazXczTSve,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,81,https://p.scdn.co/mp3-preview/cec1fc40a0220f20d3b91dd28d8e1141ad5e7e25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,You're in Love with a Psycho,6SXzkDUuiVnDQG0CtFMLUb,Kasabian,11wRdbnoYqRddKBrpHt4Ue,You're In Love With a Psycho,0SaAfpif4ZWxJUnpeKXrne,56,https://p.scdn.co/mp3-preview/3e6775c6130fa496b0f90a6dff38f280f5875404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Am I Wrong,5zJeBd3k9vOpbvJ9EkL2Lm,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Am I Wrong,4mSXmusurReECkmSC4LmOk,33,https://p.scdn.co/mp3-preview/36caee60ceabcb2971e3125c97b036d284f3c86f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Systemagic,5MJPjpCUEaeFEcEi1RViRi,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Silver Eye,68qdWFsPKFIjMHb3VTDIrd,37,https://p.scdn.co/mp3-preview/236fcf03531c6dd07bd969549f195fbf9f8f856f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Them Changes,4u8031pTkTODbRaDCbx8Yv,Thundercat,4frXpPxQQZwbCu3eTGnZEw,The Beyond / Where the Giants Roam,1atZ1TiIPZZec0oiyY1mBl,43,https://p.scdn.co/mp3-preview/4f2ed0038a1aa64aab96ff0d70c80c27ffee15d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Table For One,2SjgQhkfDECSMk4Jz9d6Y0,Courtney Marie Andrews,1EI0B66miJj5Fl408B7E9H,Honest Life,6K2Xmk8JPSj6xuaIrJ70HU,0,not available
52,Hot Thoughts,2FMvTIIIVIS70zsLWOSwOT,Spoon,0K1q0nXQ8is36PzOKAMbNe,Hot Thoughts,4CaywuuM2GyAz4o2u983QT,4,not available
