The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328046,spotify
1,YOUNG,2UDeohFStEDL4GAXm2Eqpn,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,50,not available
2,Heaven,5g4ENWdp43q5ZLH5Pre7s0,Bayside,51J0q8S7W3kIEYHQi3EPqk,Interrobang,1GYrUGqVBmMSA5W1WiAqLX,45,https://p.scdn.co/mp3-preview/e0f5a5948f719382ed5b052649b82782ac968ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Turn My Back,7xgjwuqkYgAvLpBqeW4atb,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,Sunnyland B-Sides,5KuXgQmtrqgLj1OE7rAbl3,56,https://p.scdn.co/mp3-preview/e455a6fc00fa4cc68e6d41f8eda810e045588178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,She's A God,2RSWXsgLoiGfuHHJk5ykxr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,She's A God,4xxdLKcI0SaURrkrqt5LAu,61,https://p.scdn.co/mp3-preview/fdce2e2f0c2712de729a25fa22acc34337e2ee01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Mirrors,2Xa0oBYSZSXNk4DtNyrcYf,Microwave,7ptm7G8z8VVvwBnDq8fAmD,Mirrors,7ge2NinFMzkq6LP5b4FarN,14,https://p.scdn.co/mp3-preview/a42676187562f383fc79fbcbbaf026154a2590a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,California,4GgYQ04m0nhgN2h1fYQ7pE,Windup Space,4H2g3KaJp1Pxfy7wHmEtOb,Shelter,7gopBwDmdk8VAwuJrlxhvK,17,https://p.scdn.co/mp3-preview/d0efadaec8ee5e635a57e151cb6ef66ff694c510?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Really Wish I Hated You,6KWcq5p0wsz97N3eoRUSH6,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,72,https://p.scdn.co/mp3-preview/f876886c32a48c1646a532591e4c17e5d684642b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,In Violet,3L1n27XI8WzYZJIcXvsw5Z,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,53,not available
9,Alone with You,3jLj7HQNl4LXc9vNuwcFyw,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,50,https://p.scdn.co/mp3-preview/4a50be3081d68d44e5da019efb4938309ec49bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
