mint,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Say It,4nx4h17pRj1ikT0hZecR8z,Phantoms,1bJJlRHoc1UVeqzxcrPLIw,Disconnect,0xIhw2XT55ZWZvXT2ZKQ3w,57,not available
22,Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,Sia,5WUlDfRSoLAfcVSX1WnrxN,Heaven Can Wait (The Aston Shuffle Remix),6fUjIqkNJY56xS62ild7D1,62,https://p.scdn.co/mp3-preview/d0d866cab57c06caaef88feb0700c117a4d61e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Lonely (with Chandler Leighton),2tPzQueGEjxjmBvJrYe02u,ILLENIUM,45eNHdiiabvmbp4erw26rg,ASCEND,60xcVwuQJAOyu11xf9mObS,67,not available
24,After Hours,6qLkMLUIkdtX34gHF9sPFL,M-22,4WFtYn5RyU8VGPpPyW9Pxw,After Hours,1LD7wfM8EYjricnmu1EpWQ,67,not available
25,Anything For You - Feenixpawl Remix,3R57ncBBnLa5ZdLRGRCKIi,VAVO,44re77WwNG34C182Jq3WIK,Anything For You (Feenixpawl Remix),6Z7KNRC3gnjHfvpiJLcWcM,58,https://p.scdn.co/mp3-preview/b93877ae872746db1f26a48adf1ea1b7c635964b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ritual - Benny Benassi & BB Team Remix,2fQYA6cFN4ClfI4OmtpC98,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Ritual (Remixes),6J6d8HkY1qgv5mppvldybQ,61,not available
27,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,71,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,With You - LöKii Remix,2aFAmDBycyEnj3lcS95JMe,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You - The Remixes,5cHgBxHHpJLjMWGBBiJEVJ,59,https://p.scdn.co/mp3-preview/6a1fb5c7f6c7ee78625499f8724c6a680d83e275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Heaven - David Guetta & MORTEN Remix,4QAUGy6k7c3IOAhgWz52r7,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Heaven (David Guetta & MORTEN Remix),37bCTD5iLWMpDcBanNkkXB,72,not available
30,Piece Of Your Heart - Alok Remix,6iW38RGqdDGOofmz2HeXLW,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart (Alok Remix),6RlifxGX8F3IijsJXkTIlq,78,not available
31,Sad (feat. Afrojack) - Joel Corry Remix,0P3ugK7vbjkXJ4ppkYHllV,Chico Rose,5OdVywqKqyCWwfE2fZb7IX,Sad (feat. Afrojack) [Joel Corry Remix],7N0MWbBZIK9sjUzSVtsOmC,55,https://p.scdn.co/mp3-preview/386216841e53ca0fc49d653ec59af1fcebcbb722?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,90,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,80,not available
34,Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Something About You (with Rudimental),0yFCgpwcC2AMcbEkRTgl31,72,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Tell Me Why,36C0Gw2RmYWy5aEpMPaQ0e,Alok,0NGAZxHanS9e0iNHpR8f2W,Tell Me Why,1R2C7EG1sDRGnKSxGmLU4o,66,https://p.scdn.co/mp3-preview/a5f8538b3fcbc2e9e5542025cd5bdd964b5adebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Recognize (feat. Majid Jordan) - Mercer Remix,366EdrGaHsiq1JLEr9UUiJ,DJ Snake,540vIaP2JwjQb9dm3aArA4,Recognize (feat. Majid Jordan) [Mercer Remix],4yAElr6AmHVYHOgC3c0sKk,67,not available
37,There For You,4Qv71lFPCObf7zol1uWCJb,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,There For You,6NzQodogOTKSt76iDpZgpK,70,not available
38,Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (With Martin Solveig),1cbCgek1ORPGZFKlBIhBmH,74,https://p.scdn.co/mp3-preview/11bbbafe92be26d8764f2f033249589881949599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stay,2ugjxfenU5AJMO5cozCuUv,EDX,7GMot9WvBYqhhJz92vhBp6,Stay,7DckZOfg9FcjBOpXlItnxI,60,https://p.scdn.co/mp3-preview/0fa7cd755f4f02f9c0ebfecfaf0d4aea35dcc8c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),0Y59j5oCvwTM2aNyPb6YpJ,84,not available
41,Nobody Like You - RetroVision Flip,1RXzKs0tQcn7CeI6w34REK,Landis,7bSDGumYzI7Cehekr534Xn,Nobody Like You (RetroVision Flip),4dVOdbn8T2XQpLsvaKtOKH,57,https://p.scdn.co/mp3-preview/f09dbe0291e044c549a65d281035cc46e43ed023?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Wish You Well,1yAPglN5AGf7UoLK062ZYq,Sigala,1IueXOQyABrMOprrzwQJWN,Wish You Well,1yZZdubJ2rovC4QIBP8riQ,80,https://p.scdn.co/mp3-preview/1c29b0343d57dfe089932f87ce5e70f2ce103c74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
