All Out 60s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,The Ultimate Jackie Wilson,1NXxURGbIYbunQfXmChHAl,72,https://p.scdn.co/mp3-preview/715dfaeb3221769b58a3712d492a68f979535883?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,Turn! Turn! Turn!,3v0i9qyogPoQEQj2bG6Fmn,67,https://p.scdn.co/mp3-preview/4bf48c135d9de951229c29ef352f809192dcfd71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,My Girl,6jWkZvd1URGktyTTwcpPpB,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,The Temptations Sing Smokey,7C4vMPQR8KcbZv4e2ZI0lc,29,not available
25,You've Lost That Lovin' Feelin',5GMw6X6BbCDGO9gApQYRSa,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,The Very Best Of The Righteous Brothers - Unchained Melody,5CFmNamq1ceXn8RFJ9i7p6,58,not available
26,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Under The Boardwalk,7AgI5vniflcbh86Znea7yM,70,https://p.scdn.co/mp3-preview/8cf57563d7553159042a312443ae361880c57b41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Where Did Our Love Go - Stereo Version,6yz8hKpO3s2byra8Et3w9x,The Supremes,57bUPid8xztkieZfS7OlEV,Where Did Our Love Go: 40th Anniversary Edition,3W2FhBKieLAcrS4e9SHtr6,14,not available
28,In My Life - Remastered 2009,3KfbEIOC7YIv90FIfNSZpo,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Rubber Soul (Remastered),50o7kf2wLwVmOTVYJOTplm,74,not available
29,Ain't No Mountain High Enough,2H3ZUSE54pST4ubRd5FzFR,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,United,6sbZYwwQB15bt5TgkPFAdb,25,not available
30,Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC,The Foundations,4GITZM5LCR2KcdlgEOrNLD,The Foundations,3j1kw5l2mEeKCUuXXwjhWp,75,https://p.scdn.co/mp3-preview/a1286ea4146157ad1559eaefe6e8a0869e3963b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Gloria - Stereo Version,1DKyFVzIh1oa1fFnEmTkIl,Them,5BaHqGtf6UAZnHfqdPaTDA,The Essential Van Morrison,0RXzDyBEGd2EGQTmv8cxQa,63,https://p.scdn.co/mp3-preview/89956cc26107e250858e6bf8c4240366f0a962ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Leaving on a Jet Plane,6ZSTinOwx5dKFYc6iYyGDn,"Peter, Paul and Mary",6yrBBtqX2gKCHCrZOYBDrB,Album 1700,3CDM5os6kA4y6mYYGukMIZ,59,https://p.scdn.co/mp3-preview/35af845de3fb0c2f1c4e642847ba7e821db8ef63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,A Whiter Shade Of Pale,3qitymULqEibr7yknRMKU4,Procol Harum,0GbqW5TJr7n4is453VOY4C,A Whiter Shade Of Pale,2WcfgOosdw0bN9g9twoA4K,21,not available
34,I Say a Little Prayer,0FD8KMG4pHp0O9clTpChjp,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Respect - The Very Best of,3IadQMKTsvI9DhuE4UexFz,54,https://p.scdn.co/mp3-preview/358ec6aa9624b1f82788f6bf770721d2b57c8733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Pearl (Legacy Edition),3j7nicLAWXM0Fb08q9XGyf,71,https://p.scdn.co/mp3-preview/d24806aa02d1acb4b7b77ba99440e10e15cb9894?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bridge Over Troubled Water,0JwHz5SSvpYWuuCNbtYZoV,71,https://p.scdn.co/mp3-preview/235629aa4e2ef4c3c8cc623b348b646d31c26412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Reach Out, I'll Be There",3zA42VIIrkVc2OkgUENTa5,Four Tops,7fIvjotigTGWqjIz6EP1i4,Gold (International Version),7AetomzAid1LhjAQSMxWIx,11,not available
38,All I Have to Do Is Dream - Single Version; 2006 Remaster,76HnRI6IQX4YHzYTgcM0RV,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Definitive Pop: The Everly Brothers,7suOvu4ppoFddBOxpYkf2d,54,https://p.scdn.co/mp3-preview/88735c32e30423b5f71af3d7e28d5040e698829b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,He Ain't Heavy He's My Brother,1ZCN1OVTk5LbbdEWhgWfpW,The Hollies,6waa8mKu91GjzD4NlONlNJ,This Is... 1969,2zz4gHHDI0UJlbLWgrH21u,50,https://p.scdn.co/mp3-preview/e9d1c2edae90a5ea4842110ac5583acfc28d0730?cid=fa83a2fec7c440b7a2795d600d6b2c7e
