All Out 50s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,958734,spotify
1,All I Have to Do Is Dream,72nqbbrKjhXmDdRXQGq115,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Fabulous Fifties Nostalgia Vol 5,5Bi3wDUlDlfKUYb5S5kcY6,9,not available
2,Everybody Loves Somebody,78VG6M1i7JQXBdygmWFwye,Dean Martin,49e4v89VmlDcFCMyDv9wQ9,The Reprise Years,6anBFHbt3PaNwDKWbsVkzG,61,https://p.scdn.co/mp3-preview/d2b12a99c2d07cc5f085acf174f75889678ecc0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hello Mary Lou (Goodbye Heart),0IMS1Za69G3KHMX4liB2Nr,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,Greatest Love Songs,6B2Bk4rcGuYVjlMukQHJJL,54,not available
4,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,The Drifters,1FqqOl9itIUpXr4jZPIVoT,Under The Boardwalk,7AgI5vniflcbh86Znea7yM,70,https://p.scdn.co/mp3-preview/8cf57563d7553159042a312443ae361880c57b41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take Good Care Of My Baby - 1990 Remastered,1MR7XamWS0XH6vZxeeRdE0,Bobby Vee,5MX2l6ewjOaeWn1lYNhzlO,The Legendary Masters Series,434hmQ0GM7ynBeMZz5BSQ3,62,not available
6,Wake up Little Susie,11fNLqDB47gMKj7BHhR2Qr,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,The Very Best of The Everly Brothers,4lmdDGcU5u1xk3GCcVJSYT,61,https://p.scdn.co/mp3-preview/7af0b0e4d8adc4df9ca18b597f6f279ea4419f0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sugar Sugar,19qzSe9XbN4BdJdvxBK5Xl,Doogal,4n3vjMRdlAytJbOmCH3gbi,Doogal,2ILMYokXxVNgm0x8VlOjw2,9,not available
8,Dream Lover,1KLpjQFgubHI3GkAICCNH3,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,The Ultimate Bobby Darin,65okcRJHUVUrFiDG3I1Sz8,62,https://p.scdn.co/mp3-preview/f2cfbea96801e0fe3ecc810fd674214a7d8b1ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Travelin' Man - Remastered,2jc4wyf3ys0zKCpxHRjEYx,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,The Best Of Rick Nelson,607RtLzi6P55QVhosSAGwQ,56,not available
10,"Return to Sender - From ""Girls! Girls! Girls!""",3uwIoa2emQILz6BmH6MtiW,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Girls! Girls! Girls!,6wH0jlf2q1yCprUO5XWSdz,61,https://p.scdn.co/mp3-preview/bc26e58d6ef90d9c69373b717ebd0739dd09050f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Blueberry Hill - Remastered 2002,2NkAoxQOr6MGdMB5JDTU81,Fats Domino,09C0xjtosNAIXP36wTnWxd,Greatest Hits: Walking To New Orleans,0SFClXD5CAnZ6vzrcTzXgQ,59,not available
12,That'll Be The Day,3wvZ0ZS3alz4zH2CNhR3AC,The Crickets,4r7JUeiYy24L7BuzCq9EjR,Rave On: The Very Best Of …,4FDsAwhD5dXXEkcUdG5I59,8,not available
13,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,That's All,5MsJK0kqiYIJDmd3cjkGMn,66,https://p.scdn.co/mp3-preview/265a0fffe03b363973ddf23f0c8f4e55a3d0b45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Bye Bye Love,1j7HyD3cxyYw9bMFevxWyR,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,"""All I Do Is Dream"" Everly Brothers",6c6lTSg4kIOMQ52CkTTUEx,8,not available
15,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,The Man Who Invented Soul,3Seie4YIVLWtPw2hQrouNY,73,https://p.scdn.co/mp3-preview/8aaf03977a5caa7ab2995e71e07b735a77c9a8de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Peggy Sue - Single Version,1a4YRgItMM4aGilIg99elY,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,Buddy Holly,5XWRJhJ3Uc5ndutOMtjSkf,10,not available
17,Will You Love Me Tomorrow,038uhVbOVY9RUMR93PZ56G,The Shirelles,0x83OBqixqdCHnStP5VMcn,Will You Love Me Tomorrow? The Anthology,0P50pSnk73fmyFAeqrQUmA,7,not available
18,Be My Baby,1WN4uNclrDuczTO3bCr8s1,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Presenting the Fabulous Ronettes Featuring Veronica,0CoNLgOwcZGBUSwd9fAZuy,52,https://p.scdn.co/mp3-preview/4cc65df2093b5e80f8f7629525adac09f2510e04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Top 100 Hits - Rock And Roll,2YVKgCKM0IgHxxmLzWutm3,5,not available
20,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Golden Records,0C3t1htEDTFKcg7F2rNbek,63,https://p.scdn.co/mp3-preview/55f71e5caaccf649dd8c1ab9742cd0c09e1e65e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,The Platters,6KWcxMWVNVIYbdOQyJtsSy,The Platters Golden Hits,7l3vhUqMYbu62TIKSocf4B,63,not available
