Power Workout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Hard Work Pays Off,6gzIcEUuswJQGfJNPYMjjv,Future,1RyvyyTE3xzB2ZywiAwp0i,Future & Juice WRLD Present... WRLD ON DRUGS,6P9PZjWXoCRF5b66BafPKY,73,https://p.scdn.co/mp3-preview/9eb589be3634967925cd74d2ad1e544cfd7a6c5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Best Life,3wAyZwtyyLMsJNG7Mb17ky,Hardy Caprio,7FqkRutc4zWMrnEAUv3Xwd,Best Life,7pQiDfjvjk85WYlNmmBCZP,70,not available
25,You Can Cry,3ZbJMlEL4Kcme0ONRO7Slx,Marshmello,64KEffDW9EtZ1y2vBYgq8T,You Can Cry,6TvqOieExu0IJb9Q1gOoCz,66,https://p.scdn.co/mp3-preview/6c31f3dee18a1e7c452ce9b6948a6e04aa7629d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Grinding All My Life,3R9j8urSPiBbapNbyuSYkE,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,Victory Lap,6rcbbhcm8Os7EiVRHP9Aef,74,https://p.scdn.co/mp3-preview/e10643a368681e1d0dd46b02f693486c3b94f780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,84,not available
28,Armed And Dangerous,6SAKXCj5jyF6IgPCPbZ5ra,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Armed And Dangerous,0QlPckQjNQUY8WOXbi3Wc4,9,not available
29,Trip,6CTWathupIiDs7U4InHnDA,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,67ErXRS9s9pVG8JmFbrdJ0,80,not available
30,SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,?,2Ti79nwTsont5ZHfdxIzAm,87,not available
31,1942,794QVQtFNy7hvtjQP1keQd,G-Eazy,02kJSzxNuaWGqwubyUba0Z,1942,2DD75QcOrA0GMAkTYfGWuG,73,https://p.scdn.co/mp3-preview/1ba819ff8c191a13cbd7a7e81037349f93f2ddd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,80,not available
33,53 Sundays,22pYfZr7xJcM2gtix8tDcw,Ebenezer,2vik8lyw8WiALKMJK7C3hn,53 Sundays,7vvdHJxOxl42WPnLwEnApN,55,not available
34,Funky Friday,01IQ4aQgOf0Kkq3a273hmO,Dave,6Ip8FS7vWT1uKkJSweANQK,Funky Friday,3CFVTstiXfXZDHF6EeMnGf,74,not available
35,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Dippin' From The Cops,4Yk9zRLPuTCdnrDVRwMKI6,Aystar,4HpnjNnqIjwItltmZJliMy,Scousematic 2,1bKZSglRWgHBxpW3NAkJ4S,59,https://p.scdn.co/mp3-preview/98ca18d57d654e83e86a7b9da79c430c6d8834eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
