All Out 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,About You Now,1ctdfJSzp6qF2iDAVdDrfl,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Change,1xY00CnzzvXjYZjZEUS4qI,66,not available
43,Teardrops On My Guitar - Radio Single Remix,2TF4UtYreqNbQ6Z9AccldU,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Taylor Swift,5eyZZoQEFQWRHkV2xgAeBw,59,not available
44,Fergalicious,6Q44rxzH39y2tjic98Spo5,Fergie,3r17AfJCCUqC9Lf0OAc73G,The Dutchess,2knAf4wg8Gff8q1bXiXCTz,65,not available
45,I Kissed A Girl,14iN3o8ptQ8cFVZTEmyQRV,Katy Perry,6jJ0s89eD6GaHleKKya26X,One Of The Boys,3OALgjCs6Lqw41853v4wEQ,70,not available
46,I'm Yours,03yc0G2OoH1Eeyu7Piy8fK,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,I'm Yours,0hmfkAEc0WQcv1dplyLYte,64,https://p.scdn.co/mp3-preview/29daf77094a5d8bb84eaaffdf51b665834970bea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Hate That I Love You,7iu0WYLdo4yksKf3seaxzI,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,72,not available
48,Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,31 Minutes to Takeoff,2nnIlWcriIqcJtjduWcTRl,73,https://p.scdn.co/mp3-preview/d78dacc5ceea4c08aca454b4eb4bd3b1c895799d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,This Love,5zF2zGPkL6Ipsn9AfAK6RP,Maroon 5,04gDigrS5kc9YWfZHwBETP,Songs About Jane,7gGcnUEEQgIMV2JRwVQbrF,20,not available
50,Hot N Cold,0iGckQFyv6svOfAbAY9aWJ,Katy Perry,6jJ0s89eD6GaHleKKya26X,One Of The Boys,3OALgjCs6Lqw41853v4wEQ,68,not available
51,Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,2Sqr0DXoaYABbjBo9HaMkM,Little Voice,2Z9WUERfMjOgQ6ze9TcGbF,77,https://p.scdn.co/mp3-preview/6a346c9d0573a678ca5b2d001c8884d4161b850c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
