RapCaviar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,12131732,spotify
1,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,82,not available
3,JT First Day Out,0Otdui0avqjOxuCAzC7Jfc,City Girls,37hAfseJWi0G3Scife12Il,JT First Day Out,4kqU7ojcMMAGEmEuJjfghx,0,not available
4,Camelot,4sWuPniHClkInYAnzXAYUF,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Camelot,5tdGgaiW18D6bjHFLhtblL,88,https://p.scdn.co/mp3-preview/d6195f6f5f78ed5dc8bb8b5b1ae8456564912592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,84,not available
6,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,223's (feat. 9lokknine),7cekEHNPgpKwVd9kJE9G8F,90,https://p.scdn.co/mp3-preview/66004e52c8bdda0d39a9aa99bbc549df1a4e15e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,90,https://p.scdn.co/mp3-preview/ae942ea0edeae519e31555386d89b49e5242a62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,86,not available
9,F.N,0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,F.N,6Wsv1spcNRL8SMOWie5cdA,87,https://p.scdn.co/mp3-preview/10fc336ccb595bbc474f2427d8aedff4b57d7bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,Drake,3TVXtAsR1Inumwj472S9r4,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,83,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
13,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,83,not available
14,RAW SHIT (feat. Migos),1CCDIow4pPYyJYzhtTUYz2,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,80,not available
15,Enemies (feat. DaBaby),6UFEJuDXQMWhL5UH5f9fUR,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,83,not available
16,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Valentino,0c7K73roy6RW4ebDkf4yGh,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,Valentino,2iPZkrN305Ow3wO0LL90Cg,83,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Baby,2nKYHpmwjLaEOXS3o7QMiz,Quality Control,6i392l38cR3uBPF0DbNs7S,Baby,0ssH9wMngti9j73Rb9kcfO,86,not available
19,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,83,not available
20,On The Road (feat. Meek Mill & Lil Baby),0hGH0S74Eoyv6mXZcOKtdQ,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,81,not available
21,Did It Again,01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Did It Again,1NQuFYzzL0WbNOTjsXzXYf,78,not available
22,Baby Birkin,0BOmhToQ03yOdpzYKMEnAg,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip or Drown 2,1oUzjom2A9xtyRM1SdOAGj,81,https://p.scdn.co/mp3-preview/4ed68006ecd1fb0bb834b15fc289b2d55fcd43b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Big Rocks (Offset feat. Young Thug),2JdIqJBbIiwEah4ejqIWGj,Quality Control,6i392l38cR3uBPF0DbNs7S,Quality Control: Control The Streets Volume 2,59zpaLOByFkJhc9D5Xqna9,79,not available
24,What's the Move (feat. Lil Uzi Vert),3pTScODwk9tggZzmuH6xDY,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,78,https://p.scdn.co/mp3-preview/f6a29aa98348ae5d594d9cce43079a9b9f09723e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,BIG,7cyeGclH71MayOuQ7qtLFl,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,70,https://p.scdn.co/mp3-preview/c3d71296a50ec9c1da21722ad00ea671008721e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",5WnfnSpuNEGXyEt78PBA6d,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,83,not available
