Rock Solid,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Howlin' For You,5jdvRj8zXHJ7XpKsBKT9CZ,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers (Deluxe Edition),0gVxPZ2tcMgyzLxyw8k1z7,64,https://p.scdn.co/mp3-preview/72d4698ee57c59e6775adc869b2ce306df5d9533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Through Glass,76aadnUFFANRNDs6L3aqxw,Stone Sour,49qiE8dj4JuNdpYGRPdKbF,Come What(ever) May [Special Edition],5eHk89PNorMd7e4wyxYiUV,57,https://p.scdn.co/mp3-preview/b45cf3a719154cd4dfddd975314ff9f50e9fc317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Nothing Else Matters,3ZFwuJwUpIl0GeXsvF1ELf,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,37lWyRxkf3wQHCOlXM5WfX,26,not available
35,Song 2 - 2012 Remaster,1FTSo4v6BOZH9QxKc3MbVM,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,75,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Glycerine,0l9l90a1zB3wUObtwWbqHy,Bush,78SHxLdtysAXgywQ4vE0Oa,Sixteen Stone (Remastered),72X9bb0R8LXGnVHZ3O40OK,12,not available
37,The Sky Is A Neighborhood,3kdMzXOcrDIdSWLdONHNK5,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Concrete and Gold,6KMkuqIwKkwUhUYRPL6dUc,70,https://p.scdn.co/mp3-preview/cf2588ff2b6975ec32815b83c6afc15fdedda76b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4undIeGmofnAYKhnDclN1w,79,not available
39,Interstate Love Song,1AfYo6cKm3yHsJHdmNoGO1,Stone Temple Pilots,2UazAtjfzqBF0Nho2awK4z,Purple,2vi1ddPi3fY7vePMqxUVob,73,https://p.scdn.co/mp3-preview/4618c4762f00e5a074862d8d56104f6ce709f168?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Freeze Me,7FeeQVg6yID8laNUH0LlX8,Death From Above 1979,18H0sAptzdwid08XGg1Lcj,Outrage! Is Now,0vqjbSMsOSoXnVLCGvfhpp,63,https://p.scdn.co/mp3-preview/abe26c2ef5bbc6e02b3823d3f403ecd0776f7c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Longview,3LRJbFT9rKoKv4aW7PuBJC,Green Day,7oPftvlwr6VrsViSDV7fJY,Dookie,4uG8q3GPuWHQlRbswMIRS6,67,https://p.scdn.co/mp3-preview/3e0df002c12cc9f72b54d1b2e522e48e7939a3b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Black Hole Sun,1sBfyE1iF7RP3LTc0zUTdp,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Telephantasm,4Ut4g1YBsA9IbKkkMG26mu,6,not available
43,Stinkfist,0pwObEOHolQZSldJ2q1wpy,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Ænima,6yWMN087PgSimbcVmHLEwG,70,https://p.scdn.co/mp3-preview/a28781710b4a886969028308d7662a3c23d715f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Judith,5KDNFlHAdDJ84fhK27c35X,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,Mer De Noms,0GeWd0yUKXHbCXVag1mJvO,67,not available
45,Cherub Rock - Remastered 2011,0fIC59ZyS8ThtUF0Um6zuD,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),3YDm8Vu6IOjjVdLNHlJtj0,14,not available
46,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,3I9Z1nDCL4E0cP62flcbI5,82,not available
47,Highway Tune,7aOor99o8NNLZYElOXlBG1,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,From The Fires,6uSnHSIBGKUiW1uKQLYZ7w,72,not available
48,Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Ænima,6yWMN087PgSimbcVmHLEwG,71,https://p.scdn.co/mp3-preview/63520266082a2698b1521cb4ec73655ab8f35c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,What I Got,3B4q6KbHbGV51HO3GznBFF,Sublime,0EdvGhlC1FkGItLOWQzG4J,Sublime,14eK347GdWO4mBBx78tsut,71,not available
50,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",4Nr465nCPqLBUi6xmms5uL,Bush,78SHxLdtysAXgywQ4vE0Oa,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",1DkZpUrL7wsMYbnVA9wlwb,61,https://p.scdn.co/mp3-preview/b07a0aa6dff14fb69ec49171b7393ed41b08e6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
