Rock This,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4532718,spotify
1,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,0,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,0,not available
3,Take What You Want (feat. Ozzy Osbourne & Travis Scott),44pxxRrhiDGuHYP5HjadGF,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3hcYCR2lbgpayA1Tjz7Q0c,71,not available
4,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,68,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Oh No!!!,5iN7u2S31T8Mu5LC5JaCxO,grandson,4ZgQDCtRqZlhLswVS6MHN4,Oh No!!! / Rock Bottom,5o45LGmkLHsW07jhD3GCz9,58,not available
6,The Violence,0C5X8RJXZNuGO2CfQJumb5,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,The Violence,1Uj57vCDZBtTZZegrNwDdp,68,https://p.scdn.co/mp3-preview/5dec033449c54dd479b44e60e7bafb11520ce3c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Leave It All Behind,6nMNpGl4VvMhtYigbbOmBu,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,Leave It All Behind,76qwO2cPiwixGhfBnoGZFE,66,https://p.scdn.co/mp3-preview/589268fc4467e79c9e969f428d5ff1ded7b28065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Unsainted,2093eVNfimjmNjU1gk1ES7,Slipknot,05fG473iIaoy82BF1aGhL8,Unsainted,6OmUwiZBss5csDAD3IAhdD,64,not available
9,Hurricane,2GFwwTIVLjnOrtP7m9luHC,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,TRAUMA,2QRU8jGOJHDMrCTPKIHVik,68,not available
10,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6iGIjsBt4RJQFYlBBiNk39,62,not available
11,My Honest Face,0UB9FchcGKnQ7GCDl9dJjF,Inhaler,6lyMYewq2SuTFIXgiv7OxH,My Honest Face,07ZR3JqB2j0tAMc8bPRLan,61,https://p.scdn.co/mp3-preview/2ac90909c2090885a60a26e6de58b9115acac61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Really Wish I Hated You,1VPoFXYjoganemxvLPhhKd,blink-182,6FBDaR13swtiWwGhX1WQsP,I Really Wish I Hated You,5wIq3MqDRQ8xWInFNYq1q9,70,not available
13,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Leave The Light On,5ngkxE4PtED8B5OOYnkeyu,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,Leave The Light On,3CbVZawW2OHFBpeAmiWIFp,58,https://p.scdn.co/mp3-preview/011bf19762142371bc6ef397556c05e8c11b1fed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Degenerates,77Ht6FFAeyHgKl6X87mnTk,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Degenerates,3G3EHIjrfZAcy6w5zIOggZ,68,https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Hope For The Underrated Youth,6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Hope For The Underrated Youth,486SJxMPXQrwatQ4S1cU8G,71,not available
