State of Mind,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,280872,spotify
1,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hold On,03i4lR6ZZo0214WhmrE8t9,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,Hold On,6oFeA7Pda0jOC7jVNIAp9k,73,https://p.scdn.co/mp3-preview/579e5874c1f1ff299883d9eae54e23af982c293d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Going Off,54ZqhUs07RGbmaLlWQeAsS,Lil Skies,7d3WFRME3vBY2cgoP38RDo,Going Off,1KAMWvCXd1j0OvX3bQIUhR,70,https://p.scdn.co/mp3-preview/475052c92ef97fc3783379ba17f7c19acc7a6e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Alone (feat. A Boogie Wit da Hoodie),75T7wWkAW4hcch4lg1p8Zk,Trap Manny,0SNzlwOGBLhCMZPN2ZKzna,Trap Seazon,6iphHwxuOwqVE507QliU0Z,62,https://p.scdn.co/mp3-preview/45d935e39c280879f72ddaffff78bf9e0069d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Foreign,5hp38gaZUvwjFrqYkru886,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,55,https://p.scdn.co/mp3-preview/3e5c9507fe522543a157b0fee64bef02cd4b284e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,61,not available
8,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,YBN Cordae,0huGjMyP507tBCARyzSkrv,The Lost Boy,6Pb7PMZtW0fuEM1lCGvCDu,79,https://p.scdn.co/mp3-preview/26b166ec6ed2cdf881dbba5045945529b64baa12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,24,3sufgB1pM6cLtCtFWgqQAH,IDK,6aiFCgyKNwF9Rv5TOxnE8E,24,10WDTlTWNTBzgkMikKcCRe,61,https://p.scdn.co/mp3-preview/4f361054dbc2989ceabd146c26aeb8935b67ba38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Never Lie (feat. Moneybagg Yo),0CLhMOVhX6TaPpugYkEsge,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Never Lie (feat. Moneybagg Yo),6w9XKjOZTLF7CBhA5P6LOB,69,https://p.scdn.co/mp3-preview/36b1364a3069fadeb6d3b2f4c05a467c20fbd1e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Alone (feat. Jacquees),1367Sa0d0KFI96DHsTc8ID,Dave East,7e10JUMF7MJmmwYpnTSMI5,Alone,2HkdAB5Qb8LrjQgMN9vetv,57,not available
12,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,73,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,83,not available
