¡Viva Latino!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Qué Pena,5099x34vBakWpGkHourFxP,Maluma,1r4hJ1h58CWwUQe3MxPuau,Qué Pena,1Db95k6t4rCPHSmdfsTeDl,83,https://p.scdn.co/mp3-preview/b82a2d454d23261612a6511904e5498dc064de04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Runaway,7BuSE9uTIw931wtZYzvZcQ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Runaway,0PijZTpKNGUvL12y7w4tZF,87,not available
22,La Boca - Remix,2EEmzqzM70CybVspgM7YRT,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,La Boca (Remix),5LiT3OZKgkgEeInFxUEObJ,86,https://p.scdn.co/mp3-preview/7bacd7276e4ed4741a3ac35ef6b0c846a1283aee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Quizás,4AjWbAwRpxk2worpjNH5CS,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,Quizás,7433PD4HwKHe3Re0B4KGUB,85,https://p.scdn.co/mp3-preview/6981a658d2beb2cadfb7b361169a9e36b60441d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,Lunay,47MpMsUfWtgyIIBEFOr4FE,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,92,https://p.scdn.co/mp3-preview/dd6fc3e183f2643f0f4a3d650fa4f923c2a46040?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bellaquita,1tpbAGsGpZee5jDHMcLrUJ,Dalex,0KPX4Ucy9dk82uj4GpKesn,Bellaquita,3RWeME5ryDw9wxO99OoDgP,83,https://p.scdn.co/mp3-preview/c84f6082a34cb6d31e208a074bc6e2b581a25d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Muito Calor,5uVgsAzjO6eJR06VPrqUga,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Muito Calor,0f3bt9OrN9BzSMRcpCg9y0,80,https://p.scdn.co/mp3-preview/09cc3389d1375547e1c40b27a48c7c8fe171ce92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mami,3bDD7GGvIzAZeHz2TOYD3A,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Mami,069LGoUMDaNgoKStPYdSi8,78,https://p.scdn.co/mp3-preview/7fc85e58775f26a840990f3f251af120fb9af63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,11 PM,7KbF6AdprOXEEHlsq11Z6d,Maluma,1r4hJ1h58CWwUQe3MxPuau,11:11,3YIUNL7qFE8NP3X3zaYSND,91,https://p.scdn.co/mp3-preview/2993254fae01c3abd401c55d9d30937a8b130c9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Me Vuelvo Loco,0KmeVVL1SHlPIiHWtOD34X,Abraham Mateo,2bxxlINUlcMQQb39K7IopR,Me Vuelvo Loco,7l8PY29XDbU2rFDshPskoJ,77,https://p.scdn.co/mp3-preview/a72bbfc25aa91fd20604d6e38c820bfb402000e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,Jhay Cortez,0EFisYRi20PTADoJrifHrz,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,89,not available
32,Si Supieras,7MRU4vOkywuhZ9kbFiPuiu,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Si Supieras,4lmKt00bHLEeqJRTlNOxXS,86,not available
33,No Te Debí Besar,1KdwnsWOvhM53vezy5ROuf,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,84,https://p.scdn.co/mp3-preview/4b86f6bd7a234d31407838ac05d2f5d7a9fa5b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Nada Ha Cambiado,0uv14vi55Evco7lDLDj87P,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Nada Ha Cambiado,0Zd4c9jKCyqHL9cqxQTUXZ,76,https://p.scdn.co/mp3-preview/e34f7cb28f66a50e635225390ea069377187211e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bonita,0gcOnIUKIG6JF56iFUfE0p,Juanes,0UWZUmn7sybxMCqrw9tGa7,Bonita,6lPRVKGP5WnFGI46c4LVik,79,not available
36,Si Se Da - Remix,6K5BsR04ijf3FHNzjbaagD,Myke Towers,7iK8PXO48WeuP03g8YR51W,Si Se da Remix,75Y4sJ1vwZfEivbsKPzAx6,88,https://p.scdn.co/mp3-preview/7a73a1eb9342fbdb4dcd0e48b5fd92a9b659d246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Te Robaré,6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,Te Robaré,4ykGcrqJO8PcTePuNOFMxa,88,https://p.scdn.co/mp3-preview/757805d8232dda44ba6081bf55ea65142b7a8b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Fresa,4BCPItsB94KDLuERZT3aNM,TINI,7vXDAI8JwjW531ouMGbfcp,Fresa,2v2CUuzRvsBNb4c5Rj8nqi,82,not available
39,Chicharrón,5UVa8Qqb9L1dVxl3jKQ5J1,Guaynaa,0BqURncJM5B1BBu7UM51eq,Chicharrón,3AHRVgJw38uR1NiwpcbWXZ,82,not available
40,Bellacoso,1kMUGCt7XLDc5Q64Vl0H8S,Residente,5GcWBUX00IPuWVGMIRK1sS,Bellacoso,0un8ZRojNl6fYFRHYzQ9GG,85,https://p.scdn.co/mp3-preview/b8b21e99fc33ccd5e727883f14b5690dce2f791f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Delincuente,3TqLIW3qd4qFYkfYsBjVN6,Farruko,329e4yvIujISKGKz1BZZbO,Gangalee,1PgFsarDcIwCvLX32DpcxB,81,https://p.scdn.co/mp3-preview/842501995667417e40a13d31e4758f3e69499437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Pa' Olvidarme De Ella,1cVlW9WQiGlFdWUXFdFZGh,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Pa' Olvidarme De Ella,6NSiAkMa61CjJI9AHqOhuZ,82,https://p.scdn.co/mp3-preview/616028fe8445d19c25adb9a947947095be9bf0df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,DOLLAR,4ziiAuFyXiY1HNSLGM1xv8,Becky G,4obzFoKoKRHIphyHzJ35G3,DOLLAR,2gUAsCAmGaSwtqcCM25LCU,83,https://p.scdn.co/mp3-preview/82ff808de00064d7b2927cccc593b96f8b905ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,Reykon,3PAwspMN27PDm81WwXDsMf,Latina (feat. Maluma),0S3696V7LiaqAJ3DKChAdL,81,https://p.scdn.co/mp3-preview/2b997bd18011b662bafd0f68b985602a00684a92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,De Cero,4XfCa8VFYeTsKbXrVlpKIa,CNCO,0eecdvMrqBftK0M1VKhaF4,De Cero,1wh1ly3rDRvPmaGofkkGA8,78,https://p.scdn.co/mp3-preview/0f44179ae8120498aad55dd7c97a7cc7af698d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Te Soñé De Nuevo,5s8LepdwU0THzpd0M7nLsa,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Te Soñé De Nuevo,6G5nG3kLpWF7aGRCAUhCf0,83,https://p.scdn.co/mp3-preview/c16fc2cad90c4dfac4d23a6cd11bc838dba3e1ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Cuando Me Acerco A Ti,1Q4DK5GLldkubj5GtCzbs7,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,54+1,3pHFjWCK7d5YLtEuFwfR5N,72,https://p.scdn.co/mp3-preview/3aa61f134ead26a462cb14f3e5ea4bc7e70a7ed5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Aleluya,23CsjGOYDQiJpX44BSn9TM,Reik,0vR2qb8m9WHeZ5ByCbimq2,Ahora,4BvD9caT3ZohqNQFcR8dVD,83,https://p.scdn.co/mp3-preview/1f693416c6cb8607e9e0e8597fcd77188f6048f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Sola,2sAXzDzH42hjqrVKkdP4hi,Leslie Grace,6BeO1KuAWBqFriL1mLHtNc,Sola,1vS653OjT1KG95dYSRk2a6,66,https://p.scdn.co/mp3-preview/59ff84f0d01dc37116a08a0d4df6a2bbc0614570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Goteo,1EoEU4HY57qaITp06TkC6B,Duki,1bAftSH8umNcGZ0uyV7LMg,Goteo,6lfI4LBcu46SL3TzSw3rWg,88,https://p.scdn.co/mp3-preview/8f1da5b1d357a186e0daae756f00dbf27d3ce2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
