Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Nur ein Traum,7zHaarMLdIGXU9aaHZS0r9,PETE BOATENG,3puHIAxX4RQh1hmUxQDOEj,Nur ein Traum,7hSWqlbG4eGHGM8pWpI7IN,43,https://p.scdn.co/mp3-preview/989d68411e70c126d2a8511911450eec1af9346b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,MANN IM SPIEGEL,7kt0h8RqGwaoglUYFuwgXn,Fard,7iZ5x5fwRwROoX3iRWpVgN,MANN IM SPIEGEL,5cC4cCOOw9woL5ntbnHatS,57,not available
27,Delorean,2J8AD51VCucMpedsi8hr6V,Vega,6F9QTYrJgiLY80BZGzWIHO,V,1LONwQD8QTDswOL3LzDzZ3,47,not available
28,Villa Auf Der Klippe (feat. Trettmann),3WmMLDQJljhKRPO4p0ZYSr,Max Herre,7IpWQKu80qQvyer3LO6SW3,Villa Auf Der Klippe (feat. Trettmann),0e0aljT1IHqTKfFGDclpHT,60,not available
29,Immer wieder (feat. MoTrip),01q4ydDZhk4xdVb0M7uvgu,Rooz,22qcssYcY9HKu3mgcXXEGq,Immer wieder,0Cblqeq9eWa5KmO6mLW5VJ,62,not available
30,Kein Ort,6bttMvbYkMxp4PlahARQa7,Mädness,7r29hnM0AiX10xqC7WKXh0,OG,2MXvXskaqVDn19oWcO5fKb,51,https://p.scdn.co/mp3-preview/3c13a8091f6e66912a040bf072d994fec81a6d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Oh Baby (feat. Jahmiel),3EoTBfk4aqGA2pcUISF2BM,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Oh Baby (feat. Jahmiel),557rx52nrgPbi1L1IfHFCF,2,not available
32,Da wo du herkommst,4PQoiQjfemQl1wdEEPtTdU,SAM,159dlgZwWgkgJXpmU9C44W,Da wo du herkommst,5s3zZGELd9y519RJGINhs9,2,not available
33,Antithese,1txuDIsBqSUND7l8lTZR6L,Koljah,2GmFMWg1NMjmmVFUK2Btfx,Aber der Abgrund,0AXKFMwGPY3KMbt8FM2Gtl,33,https://p.scdn.co/mp3-preview/109507b30749281cd58ba82e4d3834b31478845b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Genau wie du,5KugP0fInIKgxqymtNIOQC,MoTrip,69u5rPwWBKP7pJHpCGB9O5,Genau wie du,0FK6Xj12vvK8KxfiDLq2Ie,53,not available
