Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,536902,spotify_germany
1,HI,5x0lhxt4DBf7ja3RRCLCXF,Monkey Safari,5zovXI5By2gUhdr7EByjLa,HI,2wj4oyjeXPn6XlGxsaqAmB,48,https://p.scdn.co/mp3-preview/8b1c0c353c4fa4d3d76250e382519e95a0a440bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bali,3aDixsN2cxlm2cSZMLg7T0,Marek Hemmann,7tL5UmgvPx6TqKyf0Sjjw6,Bali,2DisdlWjkPjtA1ri7vs3BU,47,https://p.scdn.co/mp3-preview/9ad4f0a895bb6af022be1ba64eddd7fce7b2f823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Lovve,6uwUdhRWaH9PuDa4xJoLjf,Betoko,48aaubPa3RsbAp4uCPhoS7,Love Night Train EP,3gm75EYIcj6Y3Zr37nDH1q,48,https://p.scdn.co/mp3-preview/d86ec5901efcbc8be90c150d77d57acd24d5f373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Lights,2tJhsBdtaaD8SJF6m6xBvX,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,The Lights,1LhlKOpYfhEicL7eG35IvX,55,https://p.scdn.co/mp3-preview/37fa0e87252ea2e8926e77356b54021f56140719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Acid Riot,3qp5F8HWEmcBPqinLU3Psq,Niconé,70s3JhU9Ai0cIowagibjNI,Acid Riot,2SwxDXmxkkAKujgEEdwkS9,40,https://p.scdn.co/mp3-preview/3f6f9afcbe5a165811150b180f6e757f49c01361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Entrudo,5G04a8o6Ta2MzLlrH4QdQN,Worakls,5RPzPJCg4ER1LzQkorZ31p,Orchestra,4js9rdHmcTlhM0BaAeQMKY,53,https://p.scdn.co/mp3-preview/b795ece1a5eb4e624771738429213c2b51c77d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Trondheim,0kUn9sPNCe0hnkrsqHwypW,Robin Hirte,0q4jQ2ducUDvYaE5vTZQqz,Trondheim,0CMYVcplx4el6Vjx5m8ocA,39,https://p.scdn.co/mp3-preview/083bd6900a1e4100f8d34eaaff820427c5ae04b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Unseen,1urNwF91sq26no4phIbJ1t,Booka Shade,2CKaDZ1Yo8YnWega9IeUzB,The Unseen / Banderas,4CzoCLWZ8b8fstvRxH8GKN,46,https://p.scdn.co/mp3-preview/0814242b5f39ec528dc2e329c30f14b1dd5a9e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Evolution,18v0KGMLHoHlM4k7gEY0zA,Huxley,6fJvW51nWhRImJyos6O7sT,Evolution,7qi9p0UAWEbvkXkN1gbMYS,40,https://p.scdn.co/mp3-preview/13b74884d22eb8086601c97f76ea30a248d2f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Inside My Head - Original Mix,4THGsijwlOOjPFhezjIhB0,Audiojack,3Uvzk4iffO4mvchgRNJjbs,Inside My Head,2im2huSGqv8wtypeVcxssM,50,https://p.scdn.co/mp3-preview/178b10d8cdaf746a92f7f734978324e2287b87f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Teriyaki,2hEW9u9ZPS5rjWOd7rlOLe,Britta Arnold,7JpBTUqubY86KynSJr28RN,Teriyaki,3dySk8zjZ27pI3BkYFVt3U,37,https://p.scdn.co/mp3-preview/7487bf4db63f280c2a899ae14486b2e3c47292f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Phaeton,3YBjtUm8Q6cqd5kaKRGEJN,Tim Engelhardt,74HdscE6G74tt01dbVZULE,Phaeton / Silhouettes,4jiIwobxyTYe4oGjheDxQj,47,https://p.scdn.co/mp3-preview/c285627e6b5a6446143b6742bb94569d1d5f64dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Irreversible,6nSo8mNsaFLr4oMp8t7C1r,Matchy,5BF9eGIdwa9gt4RAXP8w1n,Conjunction Anto EP,1bYml3Sd8fFWmRk05xZxRm,51,https://p.scdn.co/mp3-preview/5c87f704ebd87aa862498584592fe02b25cba06c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Papsak,4iVvNNCNWXvfz5DqC8vHAn,Dirty Doering,4N6XVXvfjBPNFCdS56TCea,Cape Town,72J0egpDnj7wmxVw2hGH7L,40,https://p.scdn.co/mp3-preview/60ef6e256a4c6c6ccde6ca1cefb28e0ee214d7a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Earlylate - Andreas Henneberg Remix,1toPP1tDcSAJEX9im0rISH,The Micronaut,5BNKzWZCbIsQz9zAsg9n6V,Earlylate (Andreas Henneberg Remix),24pri86QLraSFv3wcggLDi,39,https://p.scdn.co/mp3-preview/f172a705f830190b4935cbc5e49edd17fc02cc6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,For Joanie,1c06x2SPpcUXkgGtCyObII,Will Saul,3qtVupTIjHwH8BLBZXog53,Lakeside EP,5S40ARNlnHCla0I9WmfRNL,40,https://p.scdn.co/mp3-preview/a6663e1bed612591cfe1367adbeb7fa5f8b17f2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Maia,4iKxhBx1KqQsu7N9lxbrrC,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,Maia,1oBhdNRz5apEqNEt9RJjZY,56,https://p.scdn.co/mp3-preview/aac655ca939cfc42420eec4e18786397ecc19837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,N'Golo,0cLHvLm8LtsS9OPABBkNxy,Mòo & Jo,4bU2sBWgXJtViut3q68o5m,Makasi,16pQHgokRh1UAmmqji7VIl,44,https://p.scdn.co/mp3-preview/904261f01fe5db412723bad1f3908dfd008333e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,New Love - Club Mix,6yZC5KpHGx9P7desCuxeI7,Catz 'n Dogz,5tYqFEuFELxnJZgGmmsfSh,New Love,3i9XxJoV63LVyHI9QU9BL4,43,https://p.scdn.co/mp3-preview/9608c8fc21f28ca3295e17cd87a47de72aa88fd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Babayani - Original Mix,60CSfCIS9cRfVWIp9K35eq,Stereo Express,3j2zB13syOvCyrkJIomEA2,Babayani,2XwLiXas3AEoyFqCpwtnRe,37,https://p.scdn.co/mp3-preview/e56081507e2bc21fe2df776d7b1813ac8758d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Airwolf,5hWjIPTtvTwcwExBbyZgm3,HOSH,3qoTlYFOahAlAh9ee3qnbs,Express / Airwolf,4kidfquEVMY8dROCRVIlps,43,https://p.scdn.co/mp3-preview/9e4b5c61c8a1e049849103606d8db4c88d91a48b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Cheekon - Edit,078ncsOGPoX4WqUC8NMBPD,Blond:ish,6zsJjoCtL1WByG0VsuFWzR,Cheekon,36OSYvgoclMI51pLepGR8a,39,https://p.scdn.co/mp3-preview/83c11b77489a3fb62d7abbec2c289554ebd79370?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Mumbai,4wwRwTqB4UzeVE5w4AAOvf,German Brigante,2h7fN6KOZVgWQ39sYK0jJm,Cordoba In My Heart EP,6IsW3odFNU496TsOyfRSsV,39,https://p.scdn.co/mp3-preview/6d32580f77600c67ea589ab3109981c56f30371c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Same Little Thing - Michael Mayer Mix,0RB3AJ670j3qxfe0N8vSfH,Weval,12tZvy2xFpWSkuJ3FsfisZ,The Weight Remixe,3aP4znLRZsWXvP0DqbgMvM,46,https://p.scdn.co/mp3-preview/c5038cdeba424b2331e9319528acd7e25b4d0065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Soulmates,4ghhIzwqhaCW4fAwdKVm8N,Florian Kruse,7GhGgxIAhzJxZXvF1bEYZ8,Soulmates,5BVsHCBE69NfA4Et65KAOg,39,https://p.scdn.co/mp3-preview/9f35ff0e16bec50027f93a5605b4dabb1dfe93f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Agatha,5tFwJOG2moHeQoAySvmbxJ,Stereo Express,3j2zB13syOvCyrkJIomEA2,Agatha,3GEe6DYaP3dIsz3wcW3fqS,40,https://p.scdn.co/mp3-preview/349eaca548aac5e46ca0df3e0cbf2811e0bddc1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
