Deutschpop Klassiker,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,179192,spotify_germany
1,Symphonie,7mOD9NFyZhC8PtW4joWDWT,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Verschwende Deine Zeit,6uZOBFF4l50FCMa6DPDbX8,53,https://p.scdn.co/mp3-preview/0a1380ccc4152453482097a95f4986e8c16bc791?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,So soll es bleiben - Single Edit,3ijQ8r5MEovCZ1LqQhUjsI,Ich + Ich,3oCrmkKTKBi7DUgmtyGkId,Vom selben Stern,2eGVHSb7Bgjnaf4Vb0R4e5,49,not available
3,Ohne Dich (schlaf' ich heut Nacht nicht ein),6v9XhivN2PCrVsIW0U7sVk,Münchener Freiheit,353KPo8gVAfcZfwF7BPZDy,Best Of Münchener Freiheit,4EtkGAIIOueD0xC9ujvs8D,55,https://p.scdn.co/mp3-preview/ee2a0958543c853b9f6f790349f09ebbcb337828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Der Weg - Remastered 2016,7py0pONdy9D0DxNnT3elik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Mensch (Remastered 2016),1mV4V5e2s7PoP6RR9DR1cg,57,not available
5,Weil ich dich liebe [Remastered],6J4IzVtA7Uk6heQqcKGwy8,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Halleluja (Remastered),12hxaOkQlSGpmhcj1EwL48,50,https://p.scdn.co/mp3-preview/768c92fcadf8d5de4724c3a0252cd9ff11ed718e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ein Kompliment,3ptJBraFGtaeprD4BHmTfV,Sportfreunde Stiller,5PwcOudItUhq3ciF9QwaXZ,Die gute Seite,4WaGL4WxoBSHdsJmjEthay,18,not available
7,Geile Zeit,3hT1h7FiFFxoLqiTMJM7Ew,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,59,not available
8,Irgendwas bleibt,7dblY1Epg03mXh2bJ9F44Z,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Nichts Passiert,7ainMK24nBxZeF8BP4OVc1,56,https://p.scdn.co/mp3-preview/c15e50a1ceaedef1ef1a2beb22918fc1ae7341c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Männer - Remastered 2016,0o8eQLFcietIkRBK0GflGZ,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Bochum (Remastered 2016),72LIvYBtZFIjlcF0ejvRCn,60,not available
10,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,64,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Abenteuerland,748pbjnFM9TVwQhDT3LC4N,Pur,175a900UJkfGsIGcvUDaEx,Hits Pur - 20 Jahre Eine Band (Fan Edition),6go7rUd1OUcrNMHlToIgAO,57,not available
12,Perfekte Welle,2LV5joNDrsyuXEh4FBARVK,Juli,7g13nmmxq4XN0hd64Jzkol,Es ist Juli,4TSdsloInMbjQjj1Zf5KOD,58,not available
13,Freiheit,6To9fZuSGJApjIP9CZJJda,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Westernhagen,21J3fzLfqYwtBkl8PJfO1T,52,https://p.scdn.co/mp3-preview/91ae31ba581628ea582569c45a16b6f0a49d6865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Was soll das - Remastered 2016,1AN1GaGhfXfofnmonu7jYx,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Ö (Remastered 2016),7JXayc3rAXyCblxM9chx4C,52,not available
15,Tage wie diese,2lYsCjTvXIHOqT8xSbK2jq,Die Toten Hosen,2F8GvYuY0lfZNYu45dY6gJ,"""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""",1SD6ODpbAOYA94wEOkA2Ke,61,https://p.scdn.co/mp3-preview/9c00b654180c22dda542768f3bd2b63c094003e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Still,2TSoLv5tMkqikfpM5irrqZ,Jupiter Jones,0V9oHfk0CZIiedKP4TSTBL,Jupiter Jones,61xPv4JRySw7lQyvsmU83G,58,https://p.scdn.co/mp3-preview/e1f42b63122976057f3a49ad6dcb2fb9f1a7e0b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ich lass für dich das Licht an,55VQvOY6dT63vHmYlWJDpG,Revolverheld,5FYfIAuN8mV5KgVtugwfc0,Immer in Bewegung,2GJf3Mf41uZ05U6ygryyD0,62,https://p.scdn.co/mp3-preview/bd0ebe14e46d5626204bcfc520b961c026efdcc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Willenlos,46vOwVfosQJ4bFdY1ryVnU,Westernhagen,6El2bDJ8PlTKVYyEPWxfAS,Affentheater,4xLlrSBcPPc0l0s0w2Dj3P,55,https://p.scdn.co/mp3-preview/bac38663c9f8221f8dc22d98564cb503f0823c50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"Musik nur, wenn sie laut ist - Remastered 2016",0TMPECnOfA2NZ03dVAdHik,Herbert Grönemeyer,5tG5dl5mS2wB5w72YBpsyg,Gemischte Gefühle (Remastered 2016),2wL5SnrrX0cwiyFnvrKoxA,53,not available
