Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98764,spotify_germany
1,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
2,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,37,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,45,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Versailles,1KxIaLgAipzRMYYhAGds8S,Thylacine,5If5Tdg66Q5X3L57G7A6Pn,Versailles,3pJmjFew5LOyvyGZh1HKNL,42,https://p.scdn.co/mp3-preview/e29068bf0961a00d8ab9455dff88cac678e047f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,38,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,CCMYK4,4U5DGhLm4dP7YlWItrdZw7,Henrik Schwarz,1ooAqaFu4Ac3BO2HpL4V2R,CCMYK4,5QyJXVujHFHCyMlRFG80Xh,27,https://p.scdn.co/mp3-preview/6382aafaf67e2f92331be6c703a830f0280e189e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Chapter 13,3MY3KdmrP1aUEUrNPmuJ05,Nihoni,5vo3SAsS0EuZTW7QkGy0Xs,Chapter 13,3vYUqgjvuuwC40udf7HhZO,1,not available
10,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,1,not available
11,Oceanic - Falty DL Remix,5zdrZN9FwoKRpegKVYDKQY,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Oceanic (FaltyDL Remix),7xZ5jrE5XZJQCyu2pq8QvX,1,not available
12,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,40,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Rising Urge - Lost Tapes,7Bm0j8ALNJ7ledPN0fKfBw,Röyksopp,5nPOO9iTcrs9k6yFffPxjH,Rising Urge (Lost Tapes),6vWgySuOqxQcfOyvzYV74B,33,https://p.scdn.co/mp3-preview/1f738b95977ba3b4ff49f8d13942d97928d74006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Spark - Ex Mykah Remix,5Nv3vWRodGPJLkIYF1XgRX,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Spark (Ex Mykah Remix),6WvrVn2haAVWiigJrIlItM,1,not available
17,Natural Playground,0Vti8wtLOPLcp0yNvLzP5M,Citizen Maze,2kdwM8ZseT4OkQM58MKHu2,Serenity in the Woods,1wRDVYVALpY18OWwolH8Zu,33,https://p.scdn.co/mp3-preview/faa2565d1a634e723caf9bf0eef411ff8f625136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Reaching for Casterly,4M3PRvEd5Fe7mnAdL4l6FN,Ambient Solle,34ScNK2ccDxZim8TVcqWXT,Morning in Waiting,4Bqiq7pkMlkip6uu176faP,38,https://p.scdn.co/mp3-preview/68099518d441f29dffc2741b75e9e027aedb53f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dreamer's Wake,3Y4sSXeyK1flHPhN8P0aDY,Rival Consoles,05lIUgmmsmTX2N9dCKc8rC,Persona,4ciNhQuziH6TtbRbDaHicN,9,not available
20,NOCTURNAL,6tNlmaeHPzsfebO01HwDkS,Cavalier,2CFpRtRipRXDATD6UPmCOw,NOCTURNAL,7J81bjF90DdUdWj8Yv4kuA,28,https://p.scdn.co/mp3-preview/9df16ff95ad2c6b14e9564e2ddd1a79be4c1bab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Treble Oh,5sAirJXNHkM9rLYDEXB1oX,Equador,1M1PiPawULb9ZLZ5tYiE82,Treble Oh,3N6Yh8SCyR3EMgGSnw1pBt,35,https://p.scdn.co/mp3-preview/ace5739659a4f27a2bbb40385b6c254e30e79651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
