Pop Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,364400,spotify_germany
1,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,67,not available
2,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
3,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,42,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,68,not available
6,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,75,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,93,not available
8,Wenn Liebe kommt,1MEpVyXTheTBd5J7l6Jliz,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Glück,4gJTy9zfnHtlwl5eNSaLok,47,https://p.scdn.co/mp3-preview/35e3a053a7e01ae19e9bb234ec909a54b193449d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
