Gegen den Strom,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Tragedy,5AeycqI8IdCUMUPKWlVbbx,Everything and Everybody,0xOueY8OCpmoM7YmmkFPvt,Tragedy,785HwGJvby9JByzCokZdFL,43,https://p.scdn.co/mp3-preview/59ba343d128544e88b68acff5340da8323f567fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Souvenirs,4PebSMi5y4792I1JkYV747,Fox Shadows,2UgwNsimp3W6x6AdlLt2hN,Souvenirs,3h4XsNBfkP9EFVJeIwH32K,25,https://p.scdn.co/mp3-preview/2c9a5ef3dfbe5238202697d9a69fd625d601045e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fünf Jahre nicht gesungen,4UpQZNmNikaCAufrdEITO1,Thees Uhlmann,4nBVmMKK89dAUaanGPBgpY,Fünf Jahre nicht gesungen,4Kt4QQEH1z7FNHn8RMRbBI,57,https://p.scdn.co/mp3-preview/51d9dfcc9ca36b90b8fd93c065be2a029b0a70c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,No Man's Land,7tg6i9Xoi2EQpfG8nGDb8W,Sultans Court,1Oq0fBU6CVhqp4JicuSWuZ,No Man's Land,5NPaHr1TrPBh76OGF3Caqw,35,https://p.scdn.co/mp3-preview/b7382446a1de3588c3b52501277b8b1adb2e7066?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sinners,1eo36VI77vfRsfCXNAyL8T,Benjamin Amaru,05HjXsZCR2S4JW473HsFvp,Sinners,1t8LCPaq3wjpNabZWjHwgV,36,https://p.scdn.co/mp3-preview/0ee8139fe28a0c125adcd4d7e84d997ac09b42dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ponyhof,1XzQ9wT3s3VtsPMgwL3xZ3,Enno Bunger,0aiAgFPJcZggIkSUGDFdkD,Ponyhof,7eixeqOjLpUqJ7tZ6FOhBl,43,https://p.scdn.co/mp3-preview/9722c29be48f5d8216eda0713f9d8bf9f096a661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Don't Bother,4tIlz0juwyQQ7ngrIzzimK,We Are The Way For The Cosmos To Know Itself,6c4Wv7wneLAWdQOiBItwgn,Flashbacks,3huGMGjeV9gHoNcFJLeTab,25,https://p.scdn.co/mp3-preview/3db1aa7ec51263e29ba9187ed25274bdf7ac9714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Kiss Operator,63mwqwgBR3EbFJrql2G2mt,Bodi Bill,59gwvK7CZtQKvVp0gWtILy,Kiss Operator,4azdjCBpCQXIz1EbFvYhO2,34,https://p.scdn.co/mp3-preview/6c08a83081b087a3dfeca23591e4590ebc1c54f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ry - Edit,3Tc6x9waprUmAwaOjEIWEa,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Ry,4vFo3InuBDrRVEuBxBVMb5,54,https://p.scdn.co/mp3-preview/dab4ed2281ffc4e6994f058ba4d328ed3b7837bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Recall,5cIMUqApExTzdJjwkHg8Y4,MOM,6JY3lc6zjI88MykdVZjBfq,Kawasaki,4xomsSJdpzsu6GPrG6mp8Y,35,https://p.scdn.co/mp3-preview/f248d9a1fa6aa2343afeded2cd41d5d22f0cfdd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sheep,0yBOPni3efW1XvvUuXqoH1,Ina Viola,3Nb68Xm9Qb2t165c34WOnu,Sheep,6HaV2Z8QOrIUKfx32JNbuL,32,https://p.scdn.co/mp3-preview/ebdc2a4a395677a5e9ee04f2a782af22c21611b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
