Indie Radar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,83193,spotify_germany
1,Husk My Love,276Ka3ZoyFQkLup6k6cbrn,JONAH,3Rmw0IldYoch0L6XmTjQO4,Husk My Love,1HHNlAFaxW6sB6lXjD4F5S,39,https://p.scdn.co/mp3-preview/ce815f3e49382fed961e490d87f41aa17c10134a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,57,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,home with you,1lofsKXY29reyN9j0doHFF,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,home with you,3nLiYcMpeEOKzb5TzQcJer,64,https://p.scdn.co/mp3-preview/35f7b04b019c02446abfa0b5e7f886c49374e7d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Kitsch,2rFea1dQFLWG1pg2YpFTCC,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,Kitsch,6sGNW1NDkSsC5mmtlbQrj7,27,https://p.scdn.co/mp3-preview/4ff4af2a91bd30b769341801145e7833df418643?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Special,0wM1iycAaTB0BTWQa06POl,Chloe Lilac,2CUeVZl8E9ouggdBhyclFx,Special,7r7bjZFZfU4owXBYBBlZJD,50,https://p.scdn.co/mp3-preview/2c4754c3e81b3adea8490178dcfc2401f421b2c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Kin,3iLSsG8nfyTvtDzqwT650M,Tourist,2ABBMkcUeM9hdpimo86mo6,Kin,3eWy05xFkkGfamdEo9pBIi,50,https://p.scdn.co/mp3-preview/7017326b44f0f5472ae151dfdf60d13719af5d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wings,2xYLhakTw4qjxjPoG2Alg2,Amilli,6plodklNvq0eGpBOL4ko0D,Wings,7fjWo8H2Lf9hspvQa6x5lu,36,https://p.scdn.co/mp3-preview/f5bad461120cc9774608beb687bb66f4fc27acc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Driving,61laoDrMtmyp6vwAGxQwgW,POLIÇA,34vLhockmYhf3LgznwyNaQ,Driving,1JfOpzjBU4zu2bdslhx0fR,41,https://p.scdn.co/mp3-preview/63e974f6d14b3f68b009ac6fd7c11f2c37336dc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,yesterday,2xpkfkfM3SZu2TWqJcq6WA,Pizzagirl,0ef7Q5r0NAMicEugmtYxjA,yesterday,0QDT8yFn6BeLwdeIRMTgpi,22,https://p.scdn.co/mp3-preview/a80b4fee7ce4bb7c3b0e3f713e10f24129730e84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
