Akustischer Herbst,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Someone You Loved,0WLV2p8jpGpu6Ru8DIyJIw,Cole Norton,4DTWz8iNRSxYYpHqPNCixy,Someone You Loved,3ZjJNaokCbXEEFkXZhZAny,51,https://p.scdn.co/mp3-preview/d37e861bd910ab2c698779e7d179c98b4723a65e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Oh My Other (with Oliver Hazard) - Acoustic,6s7UPzjbDc1S40Z0M6KU5t,BUNT.,2CpLIMBoE2ZzyY3ZBCRZ7j,Oh My Other (with Oliver Hazard) [Acoustic],7eAZ8FQsEw0GKEDIAObgjC,47,not available
12,Los Angeles,3J5l5tNrTjDLBZr4z0phoz,Luke Sital-Singh,3Lw97gGh8bp1MftsYmwJHG,A Golden State,1zbhUQVIuxQQqKzM8isUVe,37,https://p.scdn.co/mp3-preview/a455fe3c6321dbbdaebfb984ba19ca2ff12512b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Medicine - Acoustic,7iLlwpist1NrZq3PU9EXF1,Robinson,38CvLGTsjtoloDgv3OKQp8,Medicine (Acoustic),2wncDDW5aUdRDOc8p610cJ,50,https://p.scdn.co/mp3-preview/ef52aaed5fed897887938019e1e3e8f25cd373c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The Wanderers - Acoustic,36ppjbNSHBhjSBoTOOD0YC,The Sweeplings,3fTedgf4fh8D3s41dP0HWt,The Wanderers (Acoustic),11NkYxSVdCJ6MMkgpjeBw2,46,https://p.scdn.co/mp3-preview/4acfb5e9e6ccb9dea972cef3e80bd77a96d8529f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ganoven - Akustik Session,0JreMHjAFo9QlBYT4f4Her,Antje Schomaker,7Kif1sqh6J226OZFwUgt8n,Ganoven (Akustik Session),74jXZf65pAGYRVdew6Z5j4,50,https://p.scdn.co/mp3-preview/a81454495bc628ff5c149eee82be63c29d7b5edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Rain,3CE4qj4eYUZ7IB5qojlmD4,Sille Nilsson,3jLUQS2fcGFh7G9fbf8ScC,Fall Away Into Place,7jHdi1IgUCGYlwofvhuB7S,49,https://p.scdn.co/mp3-preview/3d3f550d63b0ea28421154f4a2d45abfbc998847?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I'd Do Well - Acoustic,2AMNarskaS96sAaGgcEYSi,Tim Hart,1XUmEGWZ7MpBZ5jkb0l4iP,I'd Do Well (Acoustic),2tleD5S9BZrTvCWFIwdgjR,45,https://p.scdn.co/mp3-preview/f2530a7d8f410029e78bd485ba8b464a227a9fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Easy Tiger,2IbzYGcve6P1QV94UFxtik,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Easy Tiger,21rJkp3ysXGOSL7320EFTL,62,not available
19,Wer wir geworden sind,79k7LdTIghrR522fpfgRMf,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Wer wir geworden sind,0Z2ppQfeRZwfCvflYrdftW,48,https://p.scdn.co/mp3-preview/35a5305f0e80ef31b549ad2449b57d52d634fbf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Honest Man,725idQDxyOq1atgCsutMrS,Daniel Pearson,0yll2u1E5eqktJyKri1PNm,Honest Man,40JBrBKlMu5ENJPnCGflAP,49,https://p.scdn.co/mp3-preview/7d9c53eefa19be2c90c0a71d905c662d97a16b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,One Shot in the Darkness,1Xf1EOF87ZTQPF8ZiXyfRP,Joshua Hyslop,1I7oHjCjMrMUz66v67yJJu,One Shot in the Darkness,3vHcdgofodCUxSlQ2jzeTn,49,https://p.scdn.co/mp3-preview/ec861797aa7d6ccf30f97ff9ebfb0ea29a72ac4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Hurt Somebody,6lkqQkiH2XsllW3EmsddH3,Blended Colours,0hilVq0NlYegOGXan9zu6f,Hurt Somebody,0bMfWsJ0vqEvTblnLblWpB,52,https://p.scdn.co/mp3-preview/4a85a878186b61ec959c4b31d2cb27440b6c8163?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I'd Be a Maria,3hisqK5zlQ6yCNU40GgIBO,Kora Feder,0RFwJ2EH6CUJbZ77qy0RKA,In Sevens,3lL5a2rnawSg9HwsuMiRi1,44,https://p.scdn.co/mp3-preview/9a2a1991cd9878474005608df656915ab558fd8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Leiser - Akustik Version,2nQAVV7Uc9uRDrHwthUgLA,LEA,5Yo5iU2nf4H41waPl4ZnS1,Leiser (Akustik Version),50o9kuywNXzsEYb3kkfTZp,51,https://p.scdn.co/mp3-preview/d338063684a3938ca0c9ee0bf3a788c0ea9b88c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ever Fallen In Love (With Someone You Shouldn’t’ve),0t6LBYz3uMOgHuYBS09kdS,Bob Evans,0fVhP9fCtZ2f0Fy9Ie7Dh8,Full Circle (Best Of),0bIEvLRTkmnFb5e6f3xai7,45,not available
26,"Barcelona, Babe",3wYeExqXarj13vQC3j7qWJ,Ed Patrick,3LE4OOntA2Yq3x1TTuQURx,Barcelona,0WzGrncoxuIaszd8cQ0afe,45,https://p.scdn.co/mp3-preview/7335a362bb9d8272d1a76fc2bdc318e832e0a244?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Vielleicht (Akustisch),2v24nM75Trn76etxbwhfHS,Miwata,5RwRoCyyMD8TpyPaRAa0yr,Vielleicht (Akustisch),4gryp3fnkSQceJywzeRIR1,9,not available
28,Silence - Acoustic,2A6h1OiR6BKiDQBwmkK8JQ,Grace Carter,2LuHL7im4aCEmfOlD4rxBC,Silence (Acoustic),3TL26DAI7VtM9UUWXpOiAy,47,https://p.scdn.co/mp3-preview/5c88a48f22faffb976826f276fc87ba88ce961d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Roll,0nXQJBEDzMLVaMOvtXGYSX,Ethan Parker,6M7eKplcEZB8f87r2FMo3l,Roll,3zaxYdzgmoxxps2lC8sfOH,52,https://p.scdn.co/mp3-preview/cdbe5b6f54f32f2ea6b50adc4ecdf0b871459864?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Come Home Safe,5n1bKVTEvP7F8NcUYPTAjP,Trent Dabbs,6QFuGrftxjfONIARygYHIe,Come Home Safe,6UMorCAhKJrUzL6lSBLldm,53,https://p.scdn.co/mp3-preview/2cba6a6a74f25238bdc6cfce1d902b22d225a4b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Outnumbered - Acoustic,7FCdJdGEOBCHqZAYRoZAWV,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered (Acoustic),4nk0xj3tr6st2yzimGINin,67,not available
32,Stronger - Acoustic,4iip1qIgTsVQGNNXxpYV09,Ziggy Alberts,6tuPdaFPIytg3l2f51L7Hw,Stronger (Acoustic),6XcdZEX9Snsp4l2KHcSyl7,61,https://p.scdn.co/mp3-preview/edc743852a57b598158fae591a37c4d19181f900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Where Do We Begin,2Ap46umMgFk0piHEVnS7it,Lina Brockhoff,56s0uOhdKlYE9ZQll1OG3N,Fading Lines,65Srx0YsrxZqriHbwZwBJH,44,https://p.scdn.co/mp3-preview/47d0f89e771fbd1d070a7eade086113682c268b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Just For Tonight - Acoustic,5EXoEKHi059HnZfjJTp7SR,James Bay,4EzkuveR9pLvDVFNx6foYD,Just For Tonight (Acoustic),7uPydO72BQknbgOJkA5q7K,55,not available
35,Ready For Love - Acoustic,1N6MBbtGeip0AIkzoaG6DJ,Klingande,1L9i6qZYIGQedgM9QLSyzb,Ready For Love (Acoustic),27TdcNo3btjfj5lNlkMTCt,12,not available
36,Barbed Wire (Acoustic),4i32alTyNQfCrBJqV5QqNp,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Barbed Wire (Acoustic),4Dc85dAUueD8S6DEiF4Bhp,46,https://p.scdn.co/mp3-preview/968aa3c97c57ec7818d98b327d3cd07bff74381f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Half Moon Lane,7dnuKx4hIXIKTWsCmHXzEZ,Violetta Zironi,400WhVfB3ENcUBPUOkz0Qn,Half Moon Lane,6Vl3C40MZWShrtfPL3W5qz,9,not available
38,Water over Fire,5aO05MLJSO1hqvccnaJsr3,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,Paperweights,3O18q5IjWNLcCwSatIYfda,9,not available
39,Brother - Acoustic,5udBIsHBmGtQqKnYup1hsx,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,Brother (Acoustic),4Gm4FlczFqZzAlRhPeRVdN,51,https://p.scdn.co/mp3-preview/fc28d054c70484bebcb8f873cb29a11ad287ddb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Run with Me - Acoustic,1XvG8Hxew9jylmuqZa0NV1,Hudson Taylor,4DX2G1URzfEiRg2wBfv4ub,Run with Me (Acoustic),68AGZgafIRPzn8HEaQssO8,9,not available
41,Houses of the Holy,0tkoQilHjROwmZ97sdGvOj,H.C. McEntire,223IvfSnge3qiGcDMHk2e4,Houses of the Holy,003fqZECQS95mKW3wBDAEG,47,https://p.scdn.co/mp3-preview/3c645a3d00f772bcf91e734cb05047d5590cf4b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Someday,1y0Nh1EeT5k0o2UCHziizT,Rob Drabkin,5WBdJUw6xVIet6nnHLtQZy,Someday - Single,5iFom8tHMFxBoXLWxwNPgK,12,not available
43,Young Blood - Acoustic,493G5pEjKmh0LxuoxW3lFN,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Young Blood (Acoustic),6VOJdau9jD7DujbdHe5XQN,9,not available
44,On the Other Side,68lPk9jC7nTpiZgH7Zc2ik,Blanco White,3ccVtqcqedranb7y8eywJ5,On the Other Side,5MXz23mZjMutPdhGGb9jc7,50,https://p.scdn.co/mp3-preview/9b0fa538f67bea0a43720bbbfe5e2847b2012ec8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Come As You Are,2BPmo2L5bYVS5SmpOTcfyF,Imaginary Future,470WlqN9HSRDGNaMufeHHF,Come As You Are,4375fZFM49wOvF4BvU1jfv,62,https://p.scdn.co/mp3-preview/acb58edcd6682eb4632bdcf79a9797d693857f45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Road to Heaven,0kmJsk0yNfxB1ICbKRpUzZ,The Dead Tongues,5nM5pj6cEIkzCkwBJZibHK,Road to Heaven,5RCUWKlWpbFjt5TgRns9aA,50,https://p.scdn.co/mp3-preview/61d3af25a370e620e078253966826dcd8d239891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bruises - Live Orchestral Version,5FMSmqgBagV4KSMqMjB2Ro,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,71,not available
48,Lost Without You,3QlF2ExmrRP0RM7ffv7y0Q,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Lost Without You,0GNvEDf1HoEeYk6RBXxpn7,63,https://p.scdn.co/mp3-preview/c4b7d57e96a627927c909572da60c295010382c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,So Relaxing,2znEdtORDldUPzrHofoL0t,HuskyMe,5VVQUfkqJpxSOZI8xiBksM,So Relaxing,6X8jA1FgHqa3rKCS21tPrb,40,https://p.scdn.co/mp3-preview/157ce9fafe14946b5368439903a2451011cc686d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Dancing In The Dark,17A4giqkEE4lVhpAg9s91H,Paradisia,2yJZ18bpKQDAcrZ7J7JvmU,Dancing In The Dark,16DFHpmgSSfpurW3ocpShT,9,not available
52,Evangeline,1dHjWpcpOxuq08ZKK4DDb0,Blue Water Highway,5N5nkgCu7UG5KqNpRPiUd7,Evangeline,5vkV85YDUO3GRIWwFQKZWN,44,https://p.scdn.co/mp3-preview/559a6b2e1614e1bb028444001d5081db5b079ad0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,These Days - Acoustic,0qynC1yRTNWI7JEsKV9dwg,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days (Acoustic),5Q41hlQpul1txWWurdTHtY,65,https://p.scdn.co/mp3-preview/cc169281d546734e71397cf05af4aa44f7e8cdb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Transatlantic Flight,2OoDmF48VBDY9wAKo5Ull2,Leif Vollebekk,3jzXlBF2157k4exx7idecs,Transatlantic Flight,4bMA7JYLjrcxcNSRSJdcnL,48,https://p.scdn.co/mp3-preview/5c46b631966a55b286269de4ce815665277aef2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Stained Glass,7nOYaLkMVOOyzk2k1TrObJ,John Lucas,7iEy8zKFtlYIINaxxLIyBk,Stained Glass,3Noi0cW0w1cMaWP0VCZxJN,46,https://p.scdn.co/mp3-preview/e4a69d26299a0ca0355433a4e401435f9ebfd347?cid=fa83a2fec7c440b7a2795d600d6b2c7e
