Akustischer Herbst,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,236793,spotify_germany
1,Hold My Breath,49c0ied7RWgEbr4FYFGF7m,Cypress Island Drive,7LvhA6ne1Sa3Jb2CWg0qp3,Hold My Breath,5r53YN2CRr5HL7GCh1Tf2k,47,https://p.scdn.co/mp3-preview/a50d016abe9e14b8fcac4d62874f6d2f24336938?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,You Make My Dreams,2deq1xyHGJgSgoOJcjx5yH,Tim Halperin,3nVeK8gQChVtVCCjGreal2,You Make My Dreams,386qU1PAeUdXv5pJR5OMzK,16,not available
3,Our Kingdom,1hmNibuS4toaTijZjDEtNZ,Hugo Barriol,714s2nd4G1chzdguyBIwvk,Yellow,0ozIWfcCUNXKl9yNL57Ke0,55,https://p.scdn.co/mp3-preview/4d154cfd25e898ef351af4d8e920f8a966c64a1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Why Cry - Demo Version,3RH2gHedLJCFiBvgcA0rGx,Leslie Clio,2Z8ZYYqedbWaOlSsBRVlmQ,Purple Unplugged EP,1THxf4svuzWSWTWBqIZ0jJ,48,https://p.scdn.co/mp3-preview/21a764d5b26479af5c73418ebda9431467424f7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Go Away Just to Stay,6ItVJsAEAYz49lNkO9qBCW,Delafaye,5wutFZF7RfeqleHVdIA5x8,These Days / Go Away Just To Stay,0sQAFKR8TboQ5QKyhE9wGO,45,https://p.scdn.co/mp3-preview/6f8998f40aa1f87821a64802db1a34c33c896fc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Another Summer,1V6txhrsAvnumIumF8NP5E,Keston Cobblers Club,38DmNaPnPBoXtbpFgXZNL8,Siren,7g3AWd1jfFeIuTEUCuy7Cy,47,https://p.scdn.co/mp3-preview/d93cff8ccc030a3252b5bfec34f2874f2ce7f864?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Rather Be Losing,4fhz9Day256kSXoFSULwq1,Zac Crook,77a6pibaYeq6Ol2zJ2cSaC,Because of Good People,0uspLRRTzt6FgAC43Muk7n,47,https://p.scdn.co/mp3-preview/d105c69cb15d687b009a57ae3a5253514c7918f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Every Single Night,5dHtvNePlL1IkYOK6hi4ZP,The Harmaleighs,0JpiOyzO3e8FYCsDe8EaUN,Every Single Night,2TOpxHZUwdfUCNvyYK1nHJ,49,https://p.scdn.co/mp3-preview/ac351f277a1007d22eef2b6e892f583c3b61c35b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,It Still Hurts,5AOjkvynaFr4cMEOoNl8nI,Daniel Cherote,7csSxrhzQ6gt4HKwaqQEor,It Still Hurts,6GWcP7ba8JGkOczXqh3ueH,49,https://p.scdn.co/mp3-preview/69432496806f00c12465c79877dcf16db2d07704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
