cozy chillhop beats 🍂 lofi/chill hip hop beats to chill/study to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,31376,chillhopmusic
1,Move Together,4Aok41Zz86CM9073eLfOpF,Yasper,1axdL80XjVHdInGsJbURyt,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,47,https://p.scdn.co/mp3-preview/b216e8fb818a9d1ed9778fb97a9d57728d36423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Like I Am,0qbAa8z7qp7QTzJqV9eX8F,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,42,https://p.scdn.co/mp3-preview/9e3d0bad1493cbaeab494b49994a87ac98e8fcb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Know About It,6ERATF7nIRg18tqGvSAORn,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,34,https://p.scdn.co/mp3-preview/cde7b11047b78d51382ec68ddbd171d9e6dfba7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Memories.,4bXePAIKpIsJn76EMNIoW0,chromonicci,746nA9NSKsqBDRk343UtkE,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,48,https://p.scdn.co/mp3-preview/b2648708d39f8c16b06ad0b55fc160019ab283f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Feelin' Alright,1eeRUCZTbNqfBzyw9onEvE,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,23,https://p.scdn.co/mp3-preview/6cfdfbdf308f6268918e26a6d580fa4a891f6d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Stay and Wander,0Hm8vke3rwzGKm5sBpY762,Tom Doolie,4C7NcNb9V6lakzMGHQlm8i,Field Notes,2JPUrDwBhVpbskpK0pPQX1,63,https://p.scdn.co/mp3-preview/4e53ecf868ff177bc354fef3c54f8fc545cfa15d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Can't Be There,1gbHTkdUBXqnXsCnzWxmjp,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,22,https://p.scdn.co/mp3-preview/13b0d50d6bd6deae37b1cee80dda7f70ac387184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Coffee Break,2TZ7LIRqsJyfB2DYqb3H8L,Ruck P,0SIxAAknV8iR2jHcQJ9Sfn,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,47,https://p.scdn.co/mp3-preview/4d474aaadb2654bb3696c513d243efe1a21bb306?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Astro Love,0iifYU68jMUJOXZBDOy1RN,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,35,https://p.scdn.co/mp3-preview/20da0203be21c0b22ae1584f3c2b7e12bea5290f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,It's a Blue World,2mu49VZXFgWlY4LMayypDL,CoryaYo,3xqrRhBSgCer7lokC0Lhk4,Blue World,3y7Jmt57N87R4wO1ExsjU2,32,https://p.scdn.co/mp3-preview/4fb99588726f4c89b8c99aff6e1f859de46d0b32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Dream About U,5QlifRqyKJPvSLjzZ5RdoI,C Y G N,6OgHTWl7y9oeccoxeXXDPn,Discover,7dYAZ8GwqolvrrGPceaxHW,22,https://p.scdn.co/mp3-preview/8ddb717fe2aa943d0912b1c5004381aa0dac4c2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Green Flash,70wXXk4KzYz0g28kJcFSIz,FloFilz,39ZQx0618UYVBgGTDOJ2ds,Green Flash,3uswHlfBrK6SVI41S2c0ZB,54,https://p.scdn.co/mp3-preview/d72a997b1c33747638c3d553340ff5c4ca78ab63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Dreams.,1YepzOPP9p0QZ146R1F04S,chromonicci,746nA9NSKsqBDRk343UtkE,Peaceful Places II,2NTiW3xFBb2PpJ6kURka17,26,https://p.scdn.co/mp3-preview/70e14a1274cf902173563d982f42ec9bbef2690f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Simplicity,37Y8YdbkrWFo4E7adbmxAk,L'Indécis,5p1ichthTka1KT0iUvrlIu,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,46,https://p.scdn.co/mp3-preview/524f0963e1115d257a47af4cf2df85b4809cb77d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,1995,21IiEw3SqSLLcMmPQt44zC,CoryaYo,3xqrRhBSgCer7lokC0Lhk4,1995,4xojpTd5C2kvKP7SLhZEhN,51,https://p.scdn.co/mp3-preview/4acd96d60506f66885980b04a3a7c4afaae9589b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Second Nature,5We6iX29Yv4czIafwmkeO8,Haan808,2U2nFrNjt12PcCll8cuAzj,Second Nature,1Ubw8KbmVCq6q124a1V5Za,37,https://p.scdn.co/mp3-preview/1db1d4a1c8fb69710546e0cc0f86e47e8f09a7a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Wandering At Night,6BXXblmpCpFUW7KhxctSjk,Epektase,31jYTsfmnHqcK7ahdqlqmo,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,46,https://p.scdn.co/mp3-preview/fd778754d3823d83858575e37f2b00d5b6c3fc6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,2am,1Lw16tTsjrt5zNy8hFYYJ1,Comodo,48Fimh8FHISFkwxpgOOvGe,2am,4BvC2UuVu7rUA4Qyc7mOls,27,https://p.scdn.co/mp3-preview/c231fd96d1b4cd32fd3e10dba9d44bb04b1dcdd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Stickers,1KJKkfak341M9Jgd5SiDue,weird inside,4iylWAhvTVtSVhIeAoM7Bl,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/125fc09ee4579ba519bda7b77325473e6c6a9997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Atmosphere.,0D58Y4Avj6CyLX5JKeA7Rk,chromonicci,746nA9NSKsqBDRk343UtkE,Peaceful Places II,2NTiW3xFBb2PpJ6kURka17,29,https://p.scdn.co/mp3-preview/bffa9941e2a723c38aa08d22f2e657050b4352e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Pale Ale,4CLzOxY11qwZRUSl3U2mPy,Brock Berrigan,39sPWwRyNp4NNMyWzN7I0o,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/275ff1777af24222b76c9ac2233c046a8da3ebaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
