Chill City Nights ♫ Lyrical Chillhop Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,26881,chillhopmusic
1,Protocol (feat. Finale & Apollo Brown),32rp9LNcZdxvqCvAVXX59r,Mello Music Group,3c5J6hzTBZJVsjJ9FJoQ0V,Self Sacrifice,7HgiCuDEYUwjTZDSvwzBxR,18,https://p.scdn.co/mp3-preview/cb5797c61b1b4c92498bcee51bf140f1d10f791b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bassment Jazz,0lse3G6jBMY9CtVOv7hV0r,FloFilz,39ZQx0618UYVBgGTDOJ2ds,Speakthru,3jVHR9FP4GdQnvWiZ4LFsD,1,not available
3,Millennium,72mJ7HN0af0TNSDsxfqR3I,Mood,71NaLZka57nO0DNfaqYc31,Doom,7hOjTIuKBT7tP9XR0nGYCy,18,https://p.scdn.co/mp3-preview/37d83a7d963325dbd8f60e360b5b4a87efab8aba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Nightgowns,0Maqqr2tZ93fqgy1n88q9e,Tom Misch,1uiEZYehlNivdK3iQyAbye,Beat Tape 2,5IW5ko3B1W5doRD3YH9DV8,53,https://p.scdn.co/mp3-preview/706544a9fad670f2f3779e65614104aa5805a42a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,La La La,2BidsWEkgkLwVXf4RHicWv,The Doppelgangaz,4J8pjytuR06BizCeBKBIDk,2012: The New Beginning,1j6BhEKTVua0gfS8iuJYtv,32,https://p.scdn.co/mp3-preview/4b90c02b15910bcd70db07dd84552137d1467d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Destiny,6S35NE2sCtgPKZ2oHZBeak,Phat Kat,31ovhtZf0B1CTJXPNhchvF,Undeniable,2L6XtBzZH8kznqYVXA2m8g,17,https://p.scdn.co/mp3-preview/41d5cc417d11f3bb28c3bfebdcb2f09bb18cae91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Love Hardcore - Underground,1rsHgjyqfIfCkdxm4DRMT7,Kankick,1F9XUalYzU3FBioU2EBJro,From Artz Unknown,2vN4U3ov7Q5LjS9Cv25Zpc,21,https://p.scdn.co/mp3-preview/736132752c07b337ad789ebc1897c4c215ddcd99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mages Sages II (prod. Flying Lotus),4dz67x29rpyfyHxG0lFSmJ,Georgia Anne Muldrow,2RdnkH5txHb9c4vGwq0I31,SomeOthaShip,5QTOtXqjdTTtDuy9sHcPPu,24,https://p.scdn.co/mp3-preview/cc80224df75ff7895563392b0197075e810be81a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Skillz In '95,4OhWI78haDXWlTteHk0jkd,Mad Skillz,4FUYJaV3EXmjoyBK7tC6ZF,Only for the Real Dj: A Premier Selection of Hip Hop Inspired by the Boom Bap Sound - Volume 3,77LC6zvErpECt22SKYkAM3,23,https://p.scdn.co/mp3-preview/8d6b561fc75b072482323415c99823fc4bb5bf59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,LA Song,6l5Wzl0laumyOWDaDbX6kp,People Under The Stairs,0av074qUwLn5eyzwqoq3xh,...Or Stay Tuned,1gGgiGlBotQO0HRxeXbJt6,27,https://p.scdn.co/mp3-preview/7f73aae1c6daf0c646e19f9fbb32181c89dc9555?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Me Or The Papes,1h20yRsf5WeuHbohrlfcCt,Jeru The Damaja,6CsOL9C9iLL0eWKINlDxzQ,Wrath Of The Math,7jvuTIYaBYqbTcLZZwXlIZ,61,not available
12,Loves Stencil,5zexYl7hYePSA4GLvdBTCW,Melanin 9,4pCZmnefAzcD4fVSkcVEYf,Magna Carta,0YEsLNbhJXwBO0yCnQ63Qo,16,https://p.scdn.co/mp3-preview/b797bff4611991c5b472cb639f385cd83263f7e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Get Out,6sPtukcCHmK9Rjk8u7QqSp,Man Of Booom,3Nbn1BrPzasEjgQq9j2fNs,Back to the Booom,5fwwqN4Th9souCVseORQgA,17,https://p.scdn.co/mp3-preview/e2b74fef183f269329b0c421d0461a4b0077c08d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,No Sides,56ac3eG5gHDtwmuHrRKPE0,Devaloop,0eEQAbC1TFqlGdqIa5YjKY,From The Bits To The Cosmos,1ltHZKTJ6YdBJNXO38wnVJ,19,https://p.scdn.co/mp3-preview/5c516b245e7f61ed0180062659129d8d174055c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Groggy Pack,2fGusNMO09kNreuIgwBa8N,The Doppelgangaz,4J8pjytuR06BizCeBKBIDk,2012: The New Beginning,1j6BhEKTVua0gfS8iuJYtv,19,https://p.scdn.co/mp3-preview/df744ebd44434f079c38280d627d42ae5d141917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Take Your Time,5VezGILgwg3dfdFll5G6k3,Pete Rock,3BeQqzKdlARoOd6y30kCO2,Soul Survivor,6aUbIlHtJf14LG1bdy8caf,46,https://p.scdn.co/mp3-preview/6406fc014e78fd1196ae30f46f11bc31c447cb34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Chinamen,6iZDSNlRMtbFe5FLd93HwS,Chester Watson,1vmLIa1VRY38hZoar8AyYS,Tin Wooki,7G94LDVUIwS7dRWhD0VZBB,19,https://p.scdn.co/mp3-preview/68709f9f21cbaaed277284116dbb18b85fc0ffd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Marinatin',4VI0x3Nms2bljciZrrggRB,Ras Kass,0OiS4KHxViIFnJooFTXl7V,Soul On Ice,55jgxmyjn9PLvZEAHOhb64,16,not available
19,The Melody,3a1WLq57W2wKmBfwz0qPNL,The Left,1exLNaF3aw3J6dwaA9wjvp,Gas Mask (Deluxe Edition),3oo1ObfRup1okuu4CKQM45,39,https://p.scdn.co/mp3-preview/67b7fa24ec821a3ecf27a24012ea5587ac047c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dawn,3V7uSRir81Iw2ZYTgcHpRS,JUICEB☮X,6HIRyO3O2mbkdwih0Mi4vR,Anthology,7xXtdYK7yfkQHEiOaPW0eU,15,https://p.scdn.co/mp3-preview/65f7619c1333216307b20e68db0747b9e1333c5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Fade,2Q0uzW5f2dH0ySbde8HrEw,Bisk,47iUJeglMlsAgzqSP9MGA5,Inyourdreams,5O8bPpBmFJ6ZLiRKH9V9N0,14,https://p.scdn.co/mp3-preview/c0be9521cfcd8470c6e3b0bf87e053187f1cd14b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sounds Like Love,42SoWrrncUjW7BXZutONZA,Illa J,72zigmOdJbIsz0iIRhCBvp,Yancey Boys,6VlkhAo4FIgT7FKBFbhCHm,40,https://p.scdn.co/mp3-preview/8c5b8edea8b26c38570f846a3738d5fa94fe6a3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Love from NGC 7318,32riCSZnnkRHjyBuXFEaz5,Tanerélle,1r1n66Rkx4fzNCIUQhS6OH,Love from NGC 7318,6xDpFIf3aDrCmwdZhhCVg8,46,https://p.scdn.co/mp3-preview/2f8ccb802166aabb090a8d1e9ba9dd456aee8876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rise Above,02ZdfaI5QvD396c8TFuwTN,Paranom,0ktM7PMneJlD9FdEX9SSpZ,Life Outside The Frame,17oFwzcjWWdAKirGkvcyko,20,https://p.scdn.co/mp3-preview/7eb3b5af8db64df364455b506e1497cac2b19b4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Do That Dance,6UOZJneUdgnUdfAJZlj1lk,Declaime,0IWhrIU65vvKiggTlWKDZw,"Superrappin - The Album, Vol. 2",4hSBTBkzM8ryi90QXbCKVQ,7,not available
26,Old School Vibe,38900SvYv9EEZjx0zRRxag,The Regiment,7CFt0cQuQpb3hk9eT5qCmM,A New Beginning,5NA37oQEaAAYzVh314cRaE,13,https://p.scdn.co/mp3-preview/10ffe90cf9fbc95fa26486e28075287ebdb63804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,It's All Good,43PQnOShHFKBcvlbFC0GcH,Skyzoo,0qHfqHyHZnxvv1lfkJraQc,It's All Good,167Q95Yc4sgGJieWNvDsZY,45,not available
28,Sip Slow,4HDLcygiaTe9xfN9grCUXk,Joell Ortiz,1q13yHC6Syg5Y8iPLrRnCq,Monday,0YvBSPVUXskWNPaM0AVepf,40,https://p.scdn.co/mp3-preview/4e446f83a15d221d8805bdb6cd8c9d04ebf760a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The 900's,6FLPpAQpTlBDsESU8YmGKf,Kankick,1F9XUalYzU3FBioU2EBJro,From Artz Unknown,2vN4U3ov7Q5LjS9Cv25Zpc,17,https://p.scdn.co/mp3-preview/53764734c58a8ef9667b14be3739a7972921e99b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Message of Soap,58zpkkUjaQ9GoeJ1Jcnxa8,Philanthrope,13ACz7DIictCpSYGglNTHs,Todai moto kurashi,1f8wYRKdAxjkbW1p7pXqAI,27,https://p.scdn.co/mp3-preview/679d32a560683801e114ee1946ed0d69240b6887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Excel & Prevail,3nA4KlwU5jeXqgfSU62qBr,Chinch 33,7cd4D0fCP6K8YBXLMKStxt,Yuma,0zlTVX0exrxvL821nRewUn,21,https://p.scdn.co/mp3-preview/ea961f35b60c8282bd9c4d599d0b8d2917cb6330?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Still Love Her (feat. Pearl Gates),1vqDKx8kMxbicnFPso4ICi,Masta Ace & Marco Polo,1qSvRXIiuE4WuRUhZtsFXA,A Breukelen Story,1R3JKxtFrNZI31eNg0JYth,32,https://p.scdn.co/mp3-preview/934dbee8b6e82f052f379e7e9a19e9f627c6f8f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Boros,6fVRQmCyCcyXrwVSDD2cpi,BEE WHY,0Fc1LjfW9LLTt29nXFNGfQ,The Lost Tapes,3cohMptSWWPBfU6I3FQfPi,13,https://p.scdn.co/mp3-preview/718de05fa51a884e503d535ab13c67f6793e5581?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Meadowview Morning (feat. Bueno & Sean LaMarr),1e7T3q4rbpekCIwfNvAvLt,JR & PH7,5zTs8RFqVY1MISB77emYoR,Meadowview Morning (feat. Bueno & Sean LaMarr),5YCUuIL2kaAxYXDydNLVdo,24,https://p.scdn.co/mp3-preview/24bf0eaa57ad20cc3c8d67489fbd480c4f9b6a20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Here, for a Good Time",7vI7dZTSaPQvgTc4fefGuN,People Under The Stairs,0av074qUwLn5eyzwqoq3xh,"Sincerely, the P",4Ozp6c4MeNDrQ2b2OghZhI,25,https://p.scdn.co/mp3-preview/c1a7d20f7a901c97c6ca22c1c024a0ce1bf87def?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Yes I Do,1njeDX6EV1hVp73JDtEJus,Miles Bonny,3SAMS1olAlq6wJ8Y7CApjs,Lumberjack Soul,3kCKkjNlPYvwCYgIrqlttJ,34,https://p.scdn.co/mp3-preview/7f103039cf631746afb627b05b87ea2c700f7db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Fly Till I Die,6LwATfuNBwjB3Z4HJg5u8R,Pete Rock,3BeQqzKdlARoOd6y30kCO2,Soul Survivor II,2e3foedfybhowyB9EPmUfa,17,https://p.scdn.co/mp3-preview/2433b376036ec87b2c93d51dd94470091df618da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Makeba,52zQmLMusEGTcRzWxt76YD,Kev Brown,1Yi9MvKxq35HFHWl0nNelG,South Africa Dedication,4OprOJoK6zTcFdmGAyu8el,10,https://p.scdn.co/mp3-preview/940bbc44fe0e60b449d143661893d95f799d1ffc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Rain,3K8gIioWa3uC9002Asdh0N,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,Dear Annie,16bkk7YWytTk5I3VPMU4mv,51,https://p.scdn.co/mp3-preview/e12580c28eee00e1b7a4c6f887bb36628828add0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,8Bricks - Remix,6D8AKyeaayNai8SNR9KAg7,Micall Parknsun,5N9LjFtGvdYxIxW6Cra6Mc,Finish What We Started Remixes,2aQPZ17y0HaHZEQ7DpCd6R,17,https://p.scdn.co/mp3-preview/f5bbec1e7a68a94118a3d329fe6a1461812870ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Much More (feat. Yummy),5zEP0MRnDe5qwL361xBz0B,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,The Grind Date,1RmcAYmGiRHFBjhgkrg3AA,44,https://p.scdn.co/mp3-preview/449181bb6ddda1be2129874161f4452fa1e8a633?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Giannis (feat. Anderson .Paak),0jc0dX55DtUJaHRw8rreNd,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,Bandana,31KbO7WnDp2AjPdmRTJzdf,60,https://p.scdn.co/mp3-preview/49fb16b190de17d58ea3fc9b5a13d97a44271cf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,The Circle,60DLWXwghcL7vBZmanhLtU,Ivan Ave,7BxJEL8I7OoAMGyPWn1cPS,Helping Hands,0aICyOA2b1l0eR6GwkFBT1,49,https://p.scdn.co/mp3-preview/a23078e3f7c822e28d251cc54bc0ecfa4aab3933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Defari Interlude,0i4jsAnxVDmL4M6r9c6aOe,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,Expansion Team,5l8eNNfdgghJbhPtOf0aw2,22,not available
45,Fields,0Z0yc8b8U66a6Guslu2UCL,Concept of Thought,2OuJGRdgdqXs9gpNf9tlqW,Misty Blue,3398Jht4QuvN5MgvLbhxJJ,24,https://p.scdn.co/mp3-preview/79325dc30d7df7d9a163cdf64786478dcb5a9d17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sex (Ghetto Style),1ZZnjl7vUYqbgZnU8zuDmf,Pudgee,3bJwEIYugMS6Vr9MgC7Y4e,"Nick Wiz Presents: Cellar Sounds, Vol. 3: 1992-1998",0sNxaooAM9fPFPn0hnBwRe,16,https://p.scdn.co/mp3-preview/ed12a7ef8748dcd8d4dca2f48ac0feee44fc09cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Rapid Fire (feat. Cella Dwellas),2dYuHujckxc0wB1dfgyrvW,"Celph Titled, Buckwild",1FTE18h9QG9cxs981LnfET,Nineteen Ninety More,1tGt90bpfwYIqQ07Sw8Akg,17,https://p.scdn.co/mp3-preview/7ddc47b30598ac09ab0b4ff4ac9d844c965b0a30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Heavy Lighting,0sUKBp5vZIxWGk0Uu3TpNX,Dilated Peoples,56OMwqr8qaLIRH4ZrvvdXq,B-Sides & Rarities,10AvZcO2DgqFdtm6ZCgQJp,21,not available
49,Psalm 137,547GMLoeZHSgOqqtm4l6Fm,JuJu Rogers,2PC54ZJmhrs4XtbLRaE6MA,Lost in Translation,03FXnArG7vfxSdnVygI6xx,35,https://p.scdn.co/mp3-preview/1057059fc81185e4215480599a11412c18b084e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Mainstream,3lecA86POu0jRaFIubASoT,OutKast,1G9G7WwrXka3Z1r7aIDjI7,ATLiens,1IaBCF26OjgYwUCEPaIyC0,45,https://p.scdn.co/mp3-preview/ec6e62df9ca448ef839e1d8b4fb8c6be53660d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Lost in Thought,0VOhoc5CtyjYLcCWy1Ds1t,Funkdoobiest,0pbj7bsLCiQ5f8P9mFnuPN,Brothas Doobie,33SkKSM72vyJvx5oc13351,50,https://p.scdn.co/mp3-preview/cecb2678a7c9c9d7bf24170c93b3fcd7779d6d35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
