Sub Pop: The Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1677,subpoprecords
1,Blight,2WPMU9mYDHiYDebmCTADCw,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,12,https://p.scdn.co/mp3-preview/a288255785cb82411f1b60fe9bc6bda9629bbb49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Flowers DGIH,5yp0XpAk1D567YZQRlTz3g,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,8,https://p.scdn.co/mp3-preview/c1a2f0235475510945441e742756fd391ec42556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Shoot 'Em Down,5K9rOQvSSRYLvnNWlSwUto,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,7,https://p.scdn.co/mp3-preview/a0c3278208b0a8d06e6f0e9941e221c03f149edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Gila,24ibaB92ASwrsx5xof1oPs,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,10,https://p.scdn.co/mp3-preview/ce9563968fb8770a91486b5e0a9c14e2821c6af5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Trouble Under Water,6F9vCWRPS67OL4pJNKCix8,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,5,https://p.scdn.co/mp3-preview/92bd5cd64835d3ec9b6eff26db8e1b9c1ca89455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Mystery Pain,46vDpRtd3rXieeSiMHa1jv,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,6,https://p.scdn.co/mp3-preview/2739f22ab74509ce437a4ddac8fc94b19ed527b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Last Lunch,0pRk8UTbXl4QtOX6QDLOHL,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,4,https://p.scdn.co/mp3-preview/4ac3c4efc3a60c063467b600caaee68466982d5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Clubs,4T5JeYJJwRs4KB07FocUrQ,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,4,https://p.scdn.co/mp3-preview/2ecadd3123724bd9d0c797d69d65d00762181f6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Fumes,4zUmPKegcfZvKSpmdaMiG5,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,5,https://p.scdn.co/mp3-preview/9c76c0a93e531d15f01f0f2189c20af1309e7759?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Cow Rock,0cWO5p5FGm196HKSmCK8NN,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,3,https://p.scdn.co/mp3-preview/1020dd0ebc1e8fdbfc858c06f4b66d7c974a8b86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Green Trumpet,4JaJW4LOwThiRKavrMRRWF,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,4,https://p.scdn.co/mp3-preview/676cc32e92211161dd4eea9934209285db727554?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,A Year and a Day,6QBmWcfXycEk1B7Rpt5e1O,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,3,https://p.scdn.co/mp3-preview/67ddc7040f6441f4c1afa0acc1609c250ba01b22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ten After One,1lS8Abe9uxZzycQO3Zm3Qy,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/474f132b105be24f4aaed4c182c23ef94ecae205?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,They!,11T7YyFN9G93Ui5V8RiIUE,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,6,https://p.scdn.co/mp3-preview/4c71335af31e0b6dc507e65f6f52f1078b46f425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,U-Men Stomp,22zaPxT4ZrymzyeLeJw91I,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,3,https://p.scdn.co/mp3-preview/5c5a8c9420e17a90dded0b1aff178ac0ababbbf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Solid Action,4frM65ff3YRVnq9R16NN0v,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,4,https://p.scdn.co/mp3-preview/89619363f2a95877f737b6f974feb400a5430b77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dig It a Hole,2EE7D9owP6fdM0hq8EmjSH,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,6,https://p.scdn.co/mp3-preview/a51e4a70b2f1b326d177f2c11a2b8adb682dfe86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Whistlin' Pete,4bCRRwTwY45V5dIvgG0yHW,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,3,https://p.scdn.co/mp3-preview/a7f36944dc03af3380b87b4ef1b828c8f53db3d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,2 X 4,1tyF1RcF63ycNfh3PXkSWn,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/923db8c3760bedc8d49d32dc239e6a3cb6ef5d36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,A Three Year Old Could Do That,4ohd4GgL55yGrZUxhMTzM6,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,3,https://p.scdn.co/mp3-preview/0daca0b135d1d8e21d3305bcd6d62624521585e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Juice Party,3pWHIDnNSfDbNrL2x41Zou,U-Men,22WypD8tTI2wltNMQJZhj6,U-Men,6mmQItCmqEkfy7XgOqJS6F,2,https://p.scdn.co/mp3-preview/6228c296ce97633ee7f374da5280b3c2879b0594?cid=fa83a2fec7c440b7a2795d600d6b2c7e
