Sub Pop Suggests,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7468,subpoprecords
1,The One I Love,7ske4tTs7YH6K7IyftOTJw,Night Shop,6RxUAOiYiv2dIpiAsYBPJu,In the Break,0wrbOwj7PZpE3kihkQXot7,30,https://p.scdn.co/mp3-preview/a348ad04883916f96b3914c76127eee3f3102fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Baby,63YIG2HjMgZpaoF0Qc78CB,True Blossom,2hrWcQ3aZEIGlKy2yF24s4,Heater,6qX9tsaw7pT49N5LGwa78P,4,https://p.scdn.co/mp3-preview/74416b12b7710afe1d09492f5cc3775d7fe4ce4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Last Dance,2JFPv5sY0lYZyup672SpLJ,FILTER,5iqcmM1KJhZUVjDmdDlBV5,Cold Mountain PACK,1UZRoJf5oyrA9ugfoF4OPB,1,https://p.scdn.co/mp3-preview/ee9d2e7f53980bb33d7468ea890334bb29cbb520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Trouble Talking,31Czraoa4OsYu0E9ymq1mI,PARACHUTER,7LuDmIBR2RRH0VVFdqJaPd,Trouble Talking,0NQT15m507AsSEtvpnmBX6,16,https://p.scdn.co/mp3-preview/df024a10232587eca26d8c574c8a94d6560fe95e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Outside Looking In,34wVkAwAtVSeiSzk3XTux6,Rose Droll,0cJVnp8uzj8C78IB0mcVx9,Your Dog,7jvlfutGiIOGPXNanmbFqz,16,https://p.scdn.co/mp3-preview/5fc4d7bfcc15c6fedd235e78d8b9eeb2711aca96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Spring,0jTPjP9WuUcNMhgfwdK9np,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,57,https://p.scdn.co/mp3-preview/261dbd47c70eaa60f6355471eca0ea651b3ce35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Biblical Violence,3YmFlUmOV28Sf14lJp1QDF,Hella,1n861RIk6CTAWncgHR9UHg,Hold Your Horse Is,2RHAyIlKGMvJ8cHlK4zpXw,38,https://p.scdn.co/mp3-preview/91933f37733c78dbee5e4ddb85517cdf5e77233a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Girlfriend Degree,6AhBAc4dcvWJ46Lt7QXnH8,The Paranoyds,34ji1NPhqjImjXwOb2kwg4,Carnage Bargain,0uItZfsgObR58H4h2w8cNQ,27,https://p.scdn.co/mp3-preview/b969b75a36b791cfe2f273910f89c45af6b91aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Track 01,1gaomw4ecBJSGbOx3SSZ10,sBACH,2vspIsNQcH5mkHPE5iK9HR,sBACH,1yjq48KTq7BA4dc1XWh3ER,6,https://p.scdn.co/mp3-preview/98c222b0362ef8b82f618f227d7c17c50c2860ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Push On,6wxVeScPD8R02yePKoWy2H,Carla dal Forno,6FVxEgfQsGrJ0BogIOYCd6,Push On,53sDKzO87ggtvNQGyO8wYS,27,https://p.scdn.co/mp3-preview/3ef4c367171b610bd33e730bbbed9a4af0162a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Nice Boys,5H2WmzaijYOGTHeHdM3w9P,Temporex,3BBCgZVbXFRzcnT1ewVfRt,Care,3w5Zdmzwq8JDgY0DaheigE,66,https://p.scdn.co/mp3-preview/5accecb3ca3d739b39e09901a4714300aaa1d8a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Catch,7DEjRB2BG68Eyy3XZZG1KH,Dana Gavanski,1GSLjV7vq6pSsNAEFwWSbn,Catch,5USzixhQGkeiKPKmLfl1LB,10,https://p.scdn.co/mp3-preview/f9080d37e1c301ddc2fbc92f25e30fd70b2cad62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love Goo,7ssIEZhecw32dOkNx400Kb,Bull,7DprPha4AJdzPRGeo2t86Q,Love Goo,1DwGHW98QRzprjWIGx0MzL,45,https://p.scdn.co/mp3-preview/5a0b188cea9d8ed81284925c35a5346973b66595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Spin,7uHeSXhFQqugxYpzYof5Tx,Wicketkeeper,0MhLvcVMLu094GQWl22VPN,Spin,17elD2aMOrvDOlC2WvZsjH,12,https://p.scdn.co/mp3-preview/c65328a2193c2642c6b266060ff54e24efc85da3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Lift Off!,4o5Hn2GzieVIGWYFEz37r0,Parsnip,4ZIKi7TqpUr0YI5uz3c8KY,When The Tree Bears Fruit,2rCrzpxxkJ9MhiDpvgcmVv,20,https://p.scdn.co/mp3-preview/29c43b93f8ad1e21cd45e84b649b6263470b3dde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,In The Mirror,5FyjwO6Ab3dOjhgVjGazcH,The Saints,5f3kWgGaUzbENwE2BLkYFT,Call It Mine,5yODQ58iZ98tIfn3iv8b7N,5,https://p.scdn.co/mp3-preview/d9bff1abe6a4465344b56e85544c9e7711b5720e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Buy Buy Buy,3WKB3nhOsZBdO0Upg6SpOK,Taiwan Housing Project,5YeFJciLHlFg7UFBO1QWR5,Sub-Language Trustees,6eg5ptnXUQF4a9aLkceZm9,8,https://p.scdn.co/mp3-preview/e6d8f5e29f7451866d38f34d4e05ab78082ce803?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Il dialogo d'un pazzo,5QvnsC9meBQE0iyiR9hfMt,I Teoremi,0WuaFfUZS3Onus3FoN5iFc,I Teoremi,0hry2aeqgzVqO28dXoNAe4,4,https://p.scdn.co/mp3-preview/f7632111209977f0f5aab7e4810119c599e5d195?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,SSSD,4B0gq0YMpodX2vIQ8mo9oV,HIDE,7cQEgGUE3lIgSiUrOZbQrx,Hell Is Here,4kkSena2J1PYEI1SpXdUoO,19,https://p.scdn.co/mp3-preview/c5b4dbf668d1e20d5537ce41450b0c3c61952df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,If Not You,5rHbFbjlXKv4AbqgMjf9Pd,Ings,3wJ2NeHF58Im2tojNX8ESR,If Not You,0A52QCxc2KIuUn84TX4Fuw,23,https://p.scdn.co/mp3-preview/6625c8785b290ff0ed5baec5ae0e70af6b6da5da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Georgia,5bTaLbpRK8aJvqf2xHlwa7,Brittany Howard,4XquDVA8pkg5Lx91No1JxB,Jaime,6fbphjr9j57oxMB2bnhzUf,56,not available
22,It Takes Time,1aOkVaZ0MrMLMCZDM7XrQ4,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Chastity Belt,2w90HaDXKJ3WT9WHmYrQEE,48,https://p.scdn.co/mp3-preview/c88894e82f6d52a7a7ca73f9d91b7cff1c7c8596?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Do It Without You,6yWniveWfMtOksM7am2rqj,Jacques Greene,0ygIgsjUzKivFgxgjQ9iV9,Do It Without You,5RqHFjxqGJzTSP5UZEvwiH,47,https://p.scdn.co/mp3-preview/95cafa15deb6aa9a756c1252291d59617cc5ca82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ignore It,2v0t9Num8gGrtaTv863S05,Lisa Prank,6OeiIAiT2ZwACe514ly5Oa,Ignore It,1APrnWdevQtXRJZml5lkQg,19,https://p.scdn.co/mp3-preview/2f27f04ec1007300abf6b52d316c1f49b64a481b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Shelter,7ezeEj1L8oHT5siGAuix7c,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,Shelter,2HCC3bdm5N9D5SowpkuphJ,41,https://p.scdn.co/mp3-preview/cb31d5c8d9e160d7d6dfb546b973e3620395e0a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Face First,5z00GvkGmeLsRT8bQYThGs,The Paranoyds,34ji1NPhqjImjXwOb2kwg4,Carnage Bargain,0uItZfsgObR58H4h2w8cNQ,26,https://p.scdn.co/mp3-preview/319a2338f98bba2a1e625000a5bbb7f869556094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,When I Wasn’t Watching,2wMx8vBGYZp6LvMmMXGFvP,Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,When I Wasn't Watching,7AQLbsUmyrHfRN3rmOtE56,56,not available
28,Want You In My Room,6cDPJqKw8PUBw5SigKszrL,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Dedicated,25it7uSpNFuRoD6uNc0Tfu,60,not available
29,Lions (feat. Vivian Wang),4jIzdfJ3rvzvC6XZAyyUWd,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,The Practice of Love,6Ia2sw3y79k40GHeNjCfLh,46,https://p.scdn.co/mp3-preview/0dd8de5d453745adffe8a7f2c33a84be658cad12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,(A Bit of a) Birthday,5wLYOmysy82QG09Ma8RLwf,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,(A Bit of a) Birthday,7qIpJxQTWUWr2ED7qi9vBr,38,https://p.scdn.co/mp3-preview/f0da4ec29b0200d90e062ff3e28235b445eaabcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Walking The Cow,1jVw9F7qvVaKFw8jY2XMwa,TV On The Radio,3HJIB8sYPyxrFGuwvKXSLR,The Late Great Daniel Johnston: Discovered Covered,0AyNLSCPqEcFvqP1wnculi,31,https://p.scdn.co/mp3-preview/bf6fa91553ac677856301517f090695a13625eeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Click (feat. Kim Petras and Tommy Cash),3B0K8G7WESjdKxQvVMByR9,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,65,https://p.scdn.co/mp3-preview/1d8d45f480f4d9667bff513c95329f35ba8d14d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,ball's gonna keep on rollin',3YKw62OlBW6QiISfPUCgE1,Pizzagirl,0ef7Q5r0NAMicEugmtYxjA,ball's gonna keep on rollin',66DHvNgnTJHWC1feJqMXx6,29,https://p.scdn.co/mp3-preview/2a1795e4a8e474c9555f6209bd5f3fe7a70881e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wicked Game,4v87PpSie0cuk6nMGVva1S,TWINS,3kd6BmP95lE35NISRONLDg,Wicked Game,73lTU74o3SLXkOKcRyIyI3,30,https://p.scdn.co/mp3-preview/8908200cabbfb2735bb1040ac1dfd4cb1f0d899b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,for real now (not pretend),6XDgqyqS8SAd9xu3p5L6gO,Ada Lea,3sE8O47mEFWR6pL0rwnAHy,what we say in private,2dmWNitbadqGTkcIOziJXz,23,https://p.scdn.co/mp3-preview/6228acdf5cd0829839cea077c0325359253579ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Coming Down,05nc6AX9cWXYQUKeXvTPt8,Gena Rose Bruce,1SrmRPI6a5cIabFYZZiorA,Can’t Make You Love Me,3FwYuSZuAjpzXXUM21rWK6,25,https://p.scdn.co/mp3-preview/9003877776f1b64efd8681069b58f809b33a8987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,All Mirrors,53NJ0iSkdv4xwuHxgns8TP,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Lark,5SLUS8RN72mb0uak9ys6CU,45,https://p.scdn.co/mp3-preview/37182ba9c99274666ebec6f94964087dbf5d4094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
