Bristol Sounds,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Venus,30XRZnCGq0U8jgnPFTPyzK,Scarlett Rascal,1p1dSdCSgH28rPcCEGBELv,Venus,4M6Dc6zoA10cMrWtLV5674,0,https://p.scdn.co/mp3-preview/d3e6174e59ef8085a283db1c7594cd904d04c0bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Alligator,6xwyKe7bGOJiX8EFbdoE41,Wasuremono,1i9EknSbxjunq52yyxl8ig,KABOOM,59EH4eDAJDKr1uOQ9zn6RM,14,https://p.scdn.co/mp3-preview/351369593b47ee66b568d451163c7bb35e5f9f46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,You're so Kool-Aid,63Efw4vZrOcIitjhLQUvNK,Oliver Wilde,4vqWC22e67XLrE2N5DI3WX,Post-Frenz Container Buzz,5psRXxwFz9jGeHBRUoENGU,7,https://p.scdn.co/mp3-preview/74445ef1b2589e6089debdfdd0ab65ee3742316e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,we'll both apologise,4qdJqQjTRtnHqGo6kx58fZ,Trust Fund,1MUKCI5HmTVIucSwcaH6sV,"""don't let them begin""",3rHfMqripXEGDPWNiOi8RT,21,https://p.scdn.co/mp3-preview/d7ce7eb8ad1f460b050d2137c53f8207624c7ed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Animals,1Q7fwjvUmOIXML41ATfniS,Tamu Massif,2kU7oX1Uxv4xalarIEjMpm,Bala EP,476L2tbHdYu6huxUUjObTb,20,https://p.scdn.co/mp3-preview/b94b5bb97df2dd824cd9217372617bba3dee037a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Domino,1oGPV47fE0xNVK60wtUdD2,Turbowolf,1NyswKLrbbWby73lOfJRZH,Domino,2E8Q9jKwua19J8UGaW1Ztw,23,https://p.scdn.co/mp3-preview/29b10ec8a1d211505c6b0aa08790d6bceae1db31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ghost,0CWFigihK9FIwcd5RTQSyH,Milo's Planes,0WujoFuyGlN89teK7LeCiI,Delivering Business Success,0LT7sZKoAqVsB4KC3lgdAC,6,https://p.scdn.co/mp3-preview/7c395d8a9cee5b2eda8c52c58779e839d64888a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hesitation,3ck54owTcaGxoEKbvW9u2U,Cousin Kula,1TuDUmw1jUuY1V5s78TNHd,Hesitation,2YAIQdu9SqWq10MlF4PGNK,9,https://p.scdn.co/mp3-preview/c749560b67369b936e7bdf36e24fbff98a21d7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Rock 'n' roll Workshops,51TZTjvptpXJPaqL6C03Ef,The St Pierre Snake Invasion,2gh0wzYIb4EE3feCX5hMZX,A Hundred Years a Day,4vPXlvYMEhneXg5SfZ6WEe,18,https://p.scdn.co/mp3-preview/0ad23ef479eddbf43d031bc42f3548f542e95752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Poster Boy,0Wxk977rL6m2fgf6tWEgLa,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,Abstract Thoughts,3N7DRJMygUNB2mAr1FP0xR,27,https://p.scdn.co/mp3-preview/8eeb7d7a759765d39dd1bb2e48a0ff0e3eec7a56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,No Cigar,4aTkuCsA6e0gjqbwxXYKnp,Tropic,5HoVJvIMSCQSwgDVDwIdZL,No Cigar,1VSodBzMO2Bboq8kjPG4JR,0,https://p.scdn.co/mp3-preview/2ef64a50a660ff026f11475e8eddbdbb92378c81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Deep Dreaming,0yeFCfkl6Y3P5rF0L4KNIN,Dogeyed,6dfNHJhwmEbfCzFNtvc41E,Deep Dreaming,0TDSJ1BZ067ldRcPKfFKSf,8,https://p.scdn.co/mp3-preview/4ba7c98b707323dec96dbe87a03d64441b1243e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"Oh Henry, Oh Man!",30n9NNt6FK7CgdCsBmvZzG,Insomnichord,1dEyEeN3XZVs8qHCARy17Y,"Oh Henry, Oh Man!",0AJ30V0OwYApcjQJeA8fwv,0,https://p.scdn.co/mp3-preview/032c40e14abd544f19795a3be7784f87a0723837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Slow Days,70JS2uEUFeEFZQXe8mLYZ7,Sœur,5mGsiBk3BNI2QrOm3K3reU,What Separates Us,0Tu8PS7gzR7Wzgmz5EQHV7,17,https://p.scdn.co/mp3-preview/9a4998252e926553e9014d161d1887cbfc034a4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Sleeper Awakes,04VpyeUKmaiDjdQA3OyTHf,Yo No Se,5FUcY8cJpyM84VBvI75G3N,Soma,4vNAeSiEf5H1f6MVmSra2E,2,https://p.scdn.co/mp3-preview/333ec096517ed751f466a7d190d6bf6c6b25ec04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Working for It,698ENElymPzcKoEuyD3J8F,Cousin Kula,1TuDUmw1jUuY1V5s78TNHd,Working for It,3QBUMFi0654Lq3ILk0HsfA,16,https://p.scdn.co/mp3-preview/21e563818bf8a93171477a983205d029c146029d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Bea,6HqbYxcIIoNZgOgpzg6x4r,Daniel Inzani,1ja2JiZt4sTPX8uk7JuBgx,BEA,1Xl3vzlHwnIvalwgTk0YIc,0,not available
43,Little Puzzle,3H0fBMYun6yGe5BIjXj4Rj,Poisonous Birds,4yC1pZ3ilR5nn8BQRW6Y84,Big Water,67mZlvTqNk2hhSdseewl4o,2,https://p.scdn.co/mp3-preview/11bbd2a82e2853bd925489631c8d37c54ef6b5b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sullen Comfort,6WGcUKklhyh5ixWKilZGDS,Nicholson Heal,0QD5jews32mR4zdV8YzZIj,Sullen Comfort,0kFRZJzilZmJu7EUf0hzGw,0,https://p.scdn.co/mp3-preview/7b384a168efee942cac589f1f8a7a46f461b62e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Back-Seat Driver,5QVofISjId2nJtQtZ4OMwg,SLEEP RADIO,4HpHDJqNFP3XsGRy0SKTq4,Everything Isn't,7IDTO6LYxC2OmhMmloIYVI,0,not available
46,II,2nhtEz8I51ARstgtQ4qzTv,The Plainviews,23b55ILKjcHWccHnoZjmTY,A Million Different Ways of Saying Nothing At All,37QCrtuuo6fMpz4BlLfF6V,3,https://p.scdn.co/mp3-preview/bd517f3a5d13882029b8643a924176ef2036d814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sex Music,3xesmCtVNLeZiXjNcfs6Tf,Beak>,5MGxwE9JG5IA6uqswrgNL6,Sex Music,4jBbhqYqt3YbDXetlWdkE3,45,https://p.scdn.co/mp3-preview/7a3796e7dc12fc35b0a75a963bd9e57c011492ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Islands,34GHzW9klT4JPuIsw7QeNk,Chikaya,3V9ypEhalXAf4ZBYprdI3J,Descend EP,3vrK5OWDcM7vtWW7Y1V4UQ,0,not available
49,Kitchen Floor (4 A.M.),65wSE9rXmfYn6fgtodg4Pa,herbal tea,6h78u9eipEX3dqCDp3Dnsp,Kitchen Floor (4 A.M.),3msicpnNSiZr0gUjHOxLWy,22,https://p.scdn.co/mp3-preview/90e7be121312c4c584bdb699e3ee12104c42fa0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,These Streets,3eUslLFmiWYWV94SCPdInc,Sapphire Blues,6MlCfnwcpb7K6YYvgrBGFV,These Streets,6aTRckLug4OmYVoacYpIpx,7,https://p.scdn.co/mp3-preview/5980e54a3c3fca5df22862d15556cedcaed349a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Keep Under Wraps,7w0CHFEYyAAlcNzaxKJjKa,Kayla Painter,7g6rpU4rtKXNDVMxmOGXFY,Keep Under Wraps,7Dh84F1Aiyd9AcX3Smdsdi,7,https://p.scdn.co/mp3-preview/a006b3774a2801eb1693a80042e36f8558d65672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Snake Oil,1ZonM77XOlJS6fesDFK7ur,Langkamer,01liH6TfxmDMkDHrUKDzFp,Langkamer,1G7pZlki60fiuf4AiJG8zp,4,https://p.scdn.co/mp3-preview/db45fdef3b691f0de95277a59de49d69e1e5e750?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Monkey Jaw,0bdy84deMe7A0sPmtCRJrj,wych elm,60t8P09ao7dumEFbu7MkHR,Monkey Jaw / Help Me,4h5dz0sWmldwM0lcrOZElT,11,https://p.scdn.co/mp3-preview/42b8083e73e097967655914d3547becd643e77cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Blood Brother,5JNg5djmf9vCKKDT9IJuCb,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,Straight to CD,2OzSS0DrnpiGRg4ZoGnArT,23,https://p.scdn.co/mp3-preview/90e5bd47ce9b8affe39336f89b3b273ce6a21963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,All Golden,3LvQLubaC1zZPAE2lyDUdX,High Climbers,5j93iOwrYH09dNqz5ARkUk,First Point,39PKRS3IaiJFQ7xoafKtEM,1,https://p.scdn.co/mp3-preview/44b67a28cc2cbfe2da50b824fd53653f95d06f7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
