High-octane bangers: inspired by Mission: Impossible – Fallout,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,313,nme.com
1,Mission: Impossible Theme,3i62MZ61GygVq952yYGbJZ,Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr,Mission: Impossible III (Music From The Original Motion Picture Soundtrack),4KEfYPrRzWPpa8DkGKYu8Y,1,not available
2,Hocus Pocus,2uzyiRdvfNI5WxUiItv1y9,Focus,0ifzzRKdmtgaHy9cfnnyCR,The Best Of Focus / Hocus Pocus (Incl WC 2010 Version of 'Hocus Pocus'),55zdxBeCPm7XmuZCeCdRbX,54,https://p.scdn.co/mp3-preview/944908ffd51ea11ad007cdb1bf36a51056aeda0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ace of Spades,6EPRKhUOdiFSQwGBRBbvsZ,Motörhead,1DFr97A9HnbV3SKTJFu62M,Ace of Spades (Expanded Edition),3rxF05Aux0QTrN533Kjc91,75,https://p.scdn.co/mp3-preview/cf51f8a8f917601f32cd5574b897daa68f53471b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,C.O.O.L Party,6YYShG4CPV3yehrs3yJvxz,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,Confident Music for Confident People,6Zi6fNrDmYfDWELwnlfP1l,31,https://p.scdn.co/mp3-preview/2b4d167fdf9d5b9cd09201529a90f7b1ffc2bb3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,You Don't Walk Away From Love,4iNGXVvq63hdal4fwsizZE,Peace,2O9XW1nnGRMkMV1wpK8IiS,You Don't Walk Away From Love,6lJrOOfz3oxIJt28cZzLFU,22,https://p.scdn.co/mp3-preview/97c41ed2e8b9f656a78a2849dbf17c5a0950595a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Give Yourself A Try,619pVMIK3WvX529JIkQTY3,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Give Yourself A Try,69uAne8NTXxGzp8q811NQR,6,not available
7,Immaterial,5nTtCOCds6I0PHMNtqelas,SOPHIE,5a2w2tgpLwv26BYJf2qYwu,OIL OF EVERY PEARL'S UN-INSIDES,6ukR0pBrFXIXdQgLWAhK7J,47,https://p.scdn.co/mp3-preview/6be8eb12ff18ae09b7a6d38ff1e5327fd128a74e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,R U Mine?,2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,AM,78bpIziExqiI9qztvNFlQu,78,https://p.scdn.co/mp3-preview/f96c611f0ec01e0300f19f9fd1fa16ba162682c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Start Me Up - 2009 Re-Mastered Digital Version,6ml6iL8HUdQKgtMaehAZc8,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Tattoo You (2009 Re-Mastered),1YvnuYGlblQ5vLnOhaZzpn,19,not available
10,Essential Four,3IuvmmNshZg4PpZvAMW1yG,Soulwax,43mWhBXSflupNLuNjM5vff,ESSENTIAL,2EDe6hS3kZuQEvv9yMGw6V,42,https://p.scdn.co/mp3-preview/a83308f6c24cba93e39d7dece98afc8441414e58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ginger,7mtHQxn7gie9dFH1bs21hE,Riton,7i9j813KFoSBMldGqlh2Z1,Ginger,7lCa8DnB02s8GHy26QqvOw,61,not available
12,Take A Look Around,2xI7o9zYcqynmueNH4foku,Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb,Chocolate Starfish And The Hot Dog Flavored Water,3hGM52SddRWwI4yatyZYmb,12,not available
