The best Smashing Pumpkins songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,204,nme.com
1,Rhinoceros - Remastered 2011,14qjT3Buddv5GxpVTBw985,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Gish,0FoOJucC8temyTUBpbapWC,45,not available
2,Siva - Remastered 2011,05ncVYDZpFvQLKu72kRdjI,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Gish,0FoOJucC8temyTUBpbapWC,40,not available
3,Today - Remastered,3cahGAUUQ0n55EjLBs2Wjo,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),2Qs2SpclDToB087fLolhCN,63,not available
4,Rocket - Remastered,1nbXNrayQOc9UGVEudhlaT,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),2Qs2SpclDToB087fLolhCN,44,not available
5,Spaceboy - Remastered,6zwQeWS3allTz2jnhjuqUN,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),2Qs2SpclDToB087fLolhCN,41,not available
6,1979 - Remastered 2012,5QLHGv0DfpeXLNFo7SFEy1,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,75,not available
7,Geek U.S.A. - Remastered,17ooOIy6AVLrZZapwldz7e,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Siamese Dream (2011 - Remaster),2Qs2SpclDToB087fLolhCN,43,not available
8,"Tonight, Tonight - Remastered 2012",7bu0znpSbTks0O6I98ij0W,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,69,not available
9,Bullet With Butterfly Wings - Remastered 2012,6GtX0jaNL8IjVQfrDBx81z,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,72,not available
10,Zero - Remastered 2012,4YFcGTdgmEuw8xTO4XrxbB,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,62,not available
11,Bodies - Remastered 2012,4A0f5CrcOYRVwihIQkcHdP,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,46,not available
12,Thirty-Three - Remastered 2012,1fPKWu8NKS1ZGHjFZ5QCAs,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,51,not available
13,Muzzle - Remastered 2012,6UuGRkwfLwBAfmHktU9GNA,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Mellon Collie And The Infinite Sadness (Deluxe Edition),55RhFRyQFihIyGf61MgcfV,48,not available
14,Ava Adore,6bVB2MGR7LcotAIB1vfpw6,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Adore (Super Deluxe),7ysKTnHt4ve0MvIWm3vPdz,55,not available
15,Perfect,5DuaMIvmPyT3oEvuccx6JO,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Adore (Super Deluxe),7ysKTnHt4ve0MvIWm3vPdz,52,not available
16,Stand Inside Your Love,3RciEQxS7PxtLqMs7OwRsU,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Machina / The Machines Of God,4hrZp6mKgz0HG7UpRbNYQx,50,not available
17,Being Beige,1DeQDNIETTD7SjGVntP6nC,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Monuments To An Elegy,0eqEvUHIVTZN5EmUgu12x6,10,https://p.scdn.co/mp3-preview/a04441a07b5f94ae00a9e7583fa5d1df60bc3798?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Untitled,1060Uh0w75iNTjnpfhkMhq,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,(Rotten Apples) The Smashing Pumpkins Greatest Hits,1cUnNrx2TxvrpwPRtvpGwn,38,not available
19,Silvery Sometimes (Ghosts),6DTTP3zeHwuCfHSijyAi3B,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Silvery Sometimes (Ghosts),4T01kpbVF9KehOFnV6DyMx,28,https://p.scdn.co/mp3-preview/e7b1bf543cf852328936a1fcc223d48a047acdbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
