The greatest songs for your ASMR,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304,nme.com
1,Make Me Feel,5gW5dSy3vXJxgzma4rQuzH,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,69,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Something Good,4JVSkSJAKbSlwkSepkXcK6,alt-J,3XHO7cRUPCLOr6jwp8vsx5,An Awesome Wave,7HOzvP7Ta2lLueojdlJtdZ,58,https://p.scdn.co/mp3-preview/7a91a14b49542bc271ea76c493c91be3579f7121?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Come Together - Remastered 2009,2EqlS6tkEnglzr7tkKAAYD,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Abbey Road (Remastered),0ETFjACtuP2ADo6LFhL6HN,79,not available
4,Belong,2RG3KoPJ4OUk9wR3rNsojK,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time (25th Anniversary Edition),6yEuIwTQpciH1qtj7mP5GK,38,not available
5,Something For Your M.I.N.D.,4rCKRVJZKVysScn2piDuOT,Superorganism,0Wkm45quqfx3NepJpXDvwE,Superorganism,15TFB6uLZlb3gnCysRrLix,55,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Royals,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,78,not available
7,Found You,11vTDizUttoqwZofrMDj2H,Django Django,2ARO60gI5do88ho6azmzab,Born Under Saturn,6KLyBU1KBtpZJiC6KdzoqX,45,https://p.scdn.co/mp3-preview/239008ab19eb9ab65e5f7093463820075b08b1e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Who Is It,4HWcWgleTuUAWnVPNwW4CM,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Dangerous,0oX4SealMgNXrvRDhqqOKg,58,https://p.scdn.co/mp3-preview/885c1c129c9521bd1bfdec6118dcbd81ef75faef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tilted,2ILilOGEh31uHITYFazrLM,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chaleur Humaine,0xWXamgZr4z2zSYrvcoOar,62,https://p.scdn.co/mp3-preview/523d810d6fc006104329266bcd64693b87d998bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Love Letters (Soulwax Remix),5RhR3FA0AIsLTbpX1SfahJ,Metronomy,54QMjE4toDfiCryzYWCpXX,Love Letters (Soulwax Remix),4bD5YA5HivLautgOG33Jlo,35,https://p.scdn.co/mp3-preview/d1011502c2dcc17cd0b532dccdbbb2bf30f0f168?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,The Shadow,7tmJYw0aIkOjrRHFWY8xDB,Millie Turner,53GC8IrnkJXGO7znOiv4tD,The Shadow,4MdXFwlDXdYfQYZWPqYKh8,28,https://p.scdn.co/mp3-preview/dacb4d3df9d57ae315e3fa81916ef01cc46a3057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Vegetables - Long Version,25vidTB3wTZeH4cID4wB1J,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,1967 - Sunshine Tomorrow,2se9vEQ4zC8kP4xtR9zg5G,15,not available
13,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I,2FQviMkaoixlgWuGL4u1EO,Aphex Twin,6kBDZFXuLrZgHnvmPu9NsG,Selected Ambient Works 85-92,7aNclGRxTysfh6z0d8671k,49,https://p.scdn.co/mp3-preview/88d46e08c3e5db30208dd77b9e000864a61e1b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
