30 Sleep-Inducing Songs for Insomniacs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,914,nme.com
1,Nothing More,2um0jA3IeLEabPPI2YQg0x,C Duncan,0x3sTIYnP56TnL6bbyMU2i,The Midnight Sun,2dBOkshfIym2yZmPZIYNE2,0,not available
2,Affection,3uozbmBqY6tB7dQJFtb5l5,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Affection,142Q4vsKOiz1ndoLMdQrtl,63,https://p.scdn.co/mp3-preview/58301f8ac52d98c9f62ce171a116da0fa0ff6a6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Time Is Dancing,7tTM1237EwhJnBv3eu2tVz,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,I Forget Where We Were,4EcVVeYCeafIQk383MQfp5,3,not available
4,Hey Moon,0MpsyFvt1KaxNYBYw2aanq,John Maus,4R073T3AVJKqAsbzLmLW9u,We Must Become the Pitiless Censors of Ourselves,6lfo4f2EW26I06q2cIMPof,53,https://p.scdn.co/mp3-preview/5c751b527ab2f0a838f1b0aee41cf07b131b1671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Midnight,4GKk1uNzpxIptBuaY97Dkj,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Ghost Stories,2G4AUqfwxcV1UdQjm2ouYr,65,https://p.scdn.co/mp3-preview/95f1c8fac1ecff38637e896ef082ccf71d10fffa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Valley,06pBktFr8exHiJZZER9VJq,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Semper Femina,3Z4NNeh0gf4oGquXZEU1NT,34,https://p.scdn.co/mp3-preview/d65210655b0f7bc1d4409972e733acda2843efa0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Pink Moon,1CbPLR6Xjo2nc0Pf13N0RS,Nick Drake,5c3GLXai8YOMid29ZEuR9y,Pink Moon,6LoD5uGEynY4eqstWDFKhg,14,not available
8,LOVE. FEAT. ZACARI.,5WkPWduQVV8fh7pppm1fqg,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,10,not available
9,Adeline,0UcEomvOXjRN6q9KFuqo5q,alt-J,3XHO7cRUPCLOr6jwp8vsx5,RELAXER,3lBPyXvg1hhoJ1REnw80fZ,51,https://p.scdn.co/mp3-preview/33e5c52af8c9ba3d20d1093efddda05f3bbb8388?cid=fa83a2fec7c440b7a2795d600d6b2c7e
