Seattle - West Seattle,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,,spotifyusa
1,One Dance,11hqMWwX7sF3sOGdtijofF,Drake,3TVXtAsR1Inumwj472S9r4,One Dance,42uGLrLCAaQC4Mw7d33WeX,7,not available
2,Work,32lmL4vQAAotg6MrJnhlQZ,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI,3Q149ZH46Z0f3oDR7vlDYV,67,not available
3,PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Mind Of Mine (Deluxe Edition),5amj9zNeZ3B2EdpBgXrOZ0,78,https://p.scdn.co/mp3-preview/61144d52a3b955f9649313fa416b397acc0b28a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,NO,0NmeI6UpRE27dxxgosD5n9,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,NO,5HiDlWNHuqNenKuIwPX3iy,17,https://p.scdn.co/mp3-preview/8d42aca2284e7520b5d775ce3965cf4456c0c971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Took A Pill In Ibiza - Seeb Remix,7HzCxalzzYQOFb9a7Xs3j6,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,The Truth (Remixes),2GnVkbKayfooUDbcXd8Hk0,11,not available
6,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,Calvin Harris,7CajNmpbOovFoOoasH2HaY,This Is What You Came For,3pEgGUv379EDinvg1TN7Kt,80,https://p.scdn.co/mp3-preview/16e42342599e423f7da57c9d2ce0c6758fc430e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,4rFrdkSWs0dtj0rWPzOk1v,80,https://p.scdn.co/mp3-preview/3261944a4e12e2c7bee9266b1b14558e71a97964?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cake By The Ocean,42ftjU4cTN5UTRksyqBKZJ,DNCE,6T5tfhQCknKG4UnH90qGnz,SWAAY,1sfmaFRbpMEGHH7DGup1wT,12,not available
9,Light It Up (feat. Nyla & Fuse ODG) [Remix],40MkEbKzuSW9ET6HBngqnK,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission (Extended),1zHfDPtlXk2Biq8iVS1I3F,10,not available
10,Naked As We Came,2gUSIsapdX6jEJ0DvjqTt2,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,22,not available
