Our Favorite Jasons,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,85,spotifyusa
1,Whatcha Say,2zJZwWF7BTGIIvrAlgzJEx,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo (Deluxe Audio),773TVtjVxXvD6DFHsWFJGN,64,https://p.scdn.co/mp3-preview/9c0288e332c151689bf465a3f8b52a6c9d056e3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,84,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You Just Want My Money,2vdMFBGtBL4aNZ4H07s9oM,Jason French,2T5vGJaxQIczaOZSUrvM1A,You Just Want My Money,4EgDfZhDv8xgaCrASETRoi,37,not available
4,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,Love Is A Four Letter Word (Deluxe),64SChsjQBiEe3aVTFYnW1b,73,https://p.scdn.co/mp3-preview/1fc135f92f01b35c3c03b4dea2ca13ee15b5427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Talk Dirty (feat. 2 Chainz),6g6A7qNhTfUgOSH7ROOxTD,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Talk Dirty,4PeZu0It7qVrTG40t3HM9A,65,https://p.scdn.co/mp3-preview/222364acc54017734b3e55a124e41106849e76f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,We All Lose One Another,65GSNyd0L3cvatlsQssBpV,Jason Collett,4uuXjSga3HgpAETXd0UpxW,Idols of Exile,645y9p5FOgUS6YYvR67P4G,0,not available
7,Stockholm,0l8yEF94h7YXyxMGBKYrYo,Jason Isbell,3Q8wgwyVVv0z4UEh1HB0KY,Southeastern,1bg476ZQn7hmcXaU05SHV4,47,https://p.scdn.co/mp3-preview/4d56b194d30bf574b78a85ca3b9f5dfea8d10fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hurricane,5SZ7NFqiFUTMXsnv8bcLS6,Lifehouse,5PokPZn11xzZXyXSfnvIM3,Hurricane,1xJtZe20NtCxQJ3WiZh3ll,27,https://p.scdn.co/mp3-preview/1644d4585334d9b11d660978e7134de76dd37be3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Take 2,0apXQlHf5OIdDYVeKqlPMA,Jason White,34KxB2jSLY8qQiwcGv4wYQ,Take 2,2QfwPP1QnkGoi5ZzN0uZ3s,21,https://p.scdn.co/mp3-preview/5407ecd07e83defe11e90b2adab4b43642846ac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,These Are the Days,1PGfr64l9QwUVozr7Crmfu,Jason Collett,4uuXjSga3HgpAETXd0UpxW,Idols of Exile,645y9p5FOgUS6YYvR67P4G,0,not available
11,Trumpets,5KONnBIQ9LqCxyeSPin26k,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Talk Dirty,4PeZu0It7qVrTG40t3HM9A,68,https://p.scdn.co/mp3-preview/55b83f08d0e0c70672ac95362de0e4a1cd92d1d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lucky,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,78,https://p.scdn.co/mp3-preview/6d11c0ffe71a18048e675c42c184efad8742f9fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
