"Clean Your Room, Maddie!",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,78,spotifyusa
1,Hey!,3kK3umjC8NKD6X535UjT5K,The Rocket Summer,3Uqc6c1DUPkyUQSeatexYU,Of Men And Angels,2ioFlKlrO3F8Zvy7n3VyYQ,15,not available
2,Maddie,1e4sE6F16UzYL6lylFpebZ,Breaking Custom,6SxJt07G7K8t00DoRKy4d7,Migraines,5fGvJH6JHqY3ZUpGUs8j2i,1,https://p.scdn.co/mp3-preview/a28200a493544e9e5398803bbaa67a8c355fcd3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mama Said,0hAKD3hdy0RUPiPJFz270S,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Load,2MD9zkmkFbrVyWy23nnAZQ,3,not available
4,She Wants You To,159rF2Tmixe6LS8XI4i4b6,Sponge Cola,1tXFYQZSAswt4JLB42lpye,Araw Oras Tagpuan,2PNW14mi4SjSOTG3TZEAlf,17,https://p.scdn.co/mp3-preview/e134089a2dd91f0b0039d50847bef27c18a6fcab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Clean Your Room!!!,6gBdJQ3MYcJNoq8kP7813D,Randy Luxton,6A0DqGHgnxKNh6dRoYSHDd,Clean Your Room! and Other Songs for Kids,4DfU8EfLf5nN8Yp5cDzouA,0,https://p.scdn.co/mp3-preview/5d2e6f06ea60ed091c100c7c03a62b2610159c7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,We,6VHeKUednAxjBwdVlMPR7a,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Guitar Gangsters & Cadillac Blood (Limited Edition),0IzDJ3kTqKbk9fDIOQmn76,1,not available
7,Think,1PiVtZ2pjkm2UnAWPZx6fP,Kaleida,6zyPKJ4ePhYLsBEy4A6BVX,Think,2NtBc6gNZbLbh2CX98BkHn,3,not available
8,You Should Be Dancing,1yZJzpBOacWRwACrRBRoLh,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Children Of The World,5Yc6hFtUdmqqcq4snlKHX2,1,not available
9,"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,Shakira,0EmeFodog0BfCgMzAIvKQp,Laundry Service,4DyMK9x2gnmRkRa16zHaEV,73,https://p.scdn.co/mp3-preview/09ddeb4ae33ee6e8f5d41f42795910a34481c2e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,You,3vToiuX2Xqi1iMIhsDJn2s,Galantis,4sTQVOfp9vEMCemLw50sbu,You,02cVeTcA0KkEF8CMqnqzSB,46,https://p.scdn.co/mp3-preview/02d786311f284e4f885503b4a3891ce5e3e84a8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Clean,3hOYx1LdNMDY8qSfVTXK0O,TIAAN,22AhylBe42SLAannH7BOBx,Clean,0AN5GY2loa7i3fCqHXKQuX,0,not available
12,So,6GdOug3KGC0QfXw6oRwRlu,Ruben Samama,4qDTiCkoyYlT49ph1iL4Oc,Hotaru,6aQi6rZLrGKp9G0hzjdJi6,10,https://p.scdn.co/mp3-preview/67b159469617ffbb238338ca16c1862ba63130cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Here,6w4CYEvL5HzzhL1BPnLsYd,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack),11c2pVVBENFMufPqJMIC3R,30,https://p.scdn.co/mp3-preview/8cfbf8aa25a99f05999cbbd5925c946cf7a7f254?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Is,3ZKOrAkJruiciyOWF0JGCQ,Hel,7bDMRpzaYmEINcVTovxJFo,The BRB Music Never Released Album,3BoHNHHRtikI69GJz3WuxH,0,not available
15,Some,2TkGYqnVFS0T5u2PYN6JQS,Nils Frahm,5gqhueRUZEa7VDnQt4HODp,Solo,7eC6sBSIM2MgWdpywd90iU,13,not available
16,Help!,2n2AF2vG96a5V3QJc5C4QR,The Yesterdays,16WmYo2ORatnpoisROeXIP,Beatles Biggest Hits!,36TDJtqZdQu58tNH7TxCir,26,https://p.scdn.co/mp3-preview/068801c34e62e25415c38930f2768c0248bfa559?cid=fa83a2fec7c440b7a2795d600d6b2c7e
