Seattle - Bellevue,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,26,spotifyusa
1,Lean On (feat. MØ & DJ Snake),4vS8VaBwJJV5Ry7UFIQuoo,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Peace Is The Mission,4DOcG4A40Wf3q2vPNGQwQg,13,not available
2,Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,Jack Ü,1HxJeLhIuegM3KgvPn8sTa,Skrillex and Diplo present Jack Ü,6bfkwBrGYKJFk6Z4QVyjxd,75,https://p.scdn.co/mp3-preview/edd7282e93a954b2b48cfc136aa63b0396c16406?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mind (feat. Kai),6ZpR2XFuQJSHAQwg9495KZ,Jack Ü,1HxJeLhIuegM3KgvPn8sTa,Skrillex and Diplo present Jack Ü,6bfkwBrGYKJFk6Z4QVyjxd,66,https://p.scdn.co/mp3-preview/15d36f7518607180ba232070151e40ec923a24c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,BØRNS,1KP6TWI40m7p3QBTU6u2xo,Dopamine,17l7MIu0Jh0tdgK7or9ovw,75,not available
6,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,76,https://p.scdn.co/mp3-preview/9a7675cc7f71c524af1397cf1675b61a8fbc74ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Partition,5hgnY0mVcVetszbb85qeDg,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,71,https://p.scdn.co/mp3-preview/8ecd5010e5a46f1c84f42bcfed50505395825d7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Halo,4JehYebiI9JE8sR8MisGVb,Beyoncé,6vWDO969PvNqNYHIOW5v0m,I AM...SASHA FIERCE,39P7VD7qlg3Z0ltq60eHp7,79,https://p.scdn.co/mp3-preview/3c97985f3736fab6d4abcd2067f346a9b30955fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Buried In Detroit - Lucas Löwe Remix,5pFJk7g8G5FfE2o8nocw4v,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,Buried In Detroit (Lucas Löwe Remix),7rLqnqf3ZEN1HQqA5DdhQN,0,not available
10,Déjà vu,6amzJ3wmEDf7e5tHAndZmn,TWENTY88,6g8AmloI8egfrr3dm3SnUL,TWENTY88,4gqnsOwnA490OYq58VfJV3,56,not available
