Matador Picks: Car Seat Headrest,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8,matadorrecords
1,Drunk Drivers/Killer Whales,2os0aK782bakCPmjow0SU0,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,60,https://p.scdn.co/mp3-preview/fdd367a78202d9033ad3b618d37fc7c5eb8edf29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Beast Monster Thing (Love Isn't Love Enough),6n3Axk0f9yRo3v6PNolCbk,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,How to Leave Town,0lq70zJB8BylaX5tgkNnOA,35,https://p.scdn.co/mp3-preview/b0caa884f45856e1a49c6cbad77973e00917a0d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,War Is Coming (If You Want It),76r8BBGixz8suvdjcxMze3,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,War Is Coming (If You Want It),1XXlkd5wq4wCmg1GpqVT2K,34,https://p.scdn.co/mp3-preview/7ac9717cc50b623999f41d3564896ac4b0307d5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"psst, teenagers, take off your clo",6Hh7iPcadj6hTs5xizjIQS,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Style,7rLKqTe3QFYhbKWOYSzeci,33,https://p.scdn.co/mp3-preview/87c4a3d50ef2d48563212f66591e33f5f689d1d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cute Thing,6H5JsDwJDTmOBaq6E5T6SP,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Twin Fantasy,20U1UWeGcGq7JVW0tf8yfH,48,https://p.scdn.co/mp3-preview/0a6bb999806c125fa1830bad7ae21f5a04909afa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You're in Love with Me,0JgiQRUosbx2fPkadvTmcF,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,How to Leave Town,0lq70zJB8BylaX5tgkNnOA,33,https://p.scdn.co/mp3-preview/9e19edaffe2235d6a9fa9f145528b9adb73bfc8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Strangers,6xk8kgOYkRnMfN745CKUq7,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Style,7rLKqTe3QFYhbKWOYSzeci,33,https://p.scdn.co/mp3-preview/8583711c6b048ec0de9cb4da2c987e09aa4feea2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Cosmic Hero,38zlEhdgHFt5YGZHZvHi1Y,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Teens of Denial,26DseQO366JfXwIP7dIgQj,43,https://p.scdn.co/mp3-preview/42291c8013879c807dc273d0527772ca1fdc6415?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Plane Crash Blues (I Can't Play the Piano),1m0vKOTsgzh5PBNrKKGqoR,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,Nervous Young Man,4cARAECW98cS10AGV2CH8Z,26,https://p.scdn.co/mp3-preview/9a33e75303fd312c0f2da7cc3f20aaea96eb8ca9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
