Matador Picks: The New Pornographers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7,matadorrecords
1,My Rights Versus Yours,7DVmn8svwtnlYXejcZsrTf,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Challengers,4HRoFjJgjVzyp4I2KhdVNC,33,https://p.scdn.co/mp3-preview/25c30db616c4ed4ffd3878101c8d0416f3c80b71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Breakin' The Law,0v2HVSUQNsZCAa4hWTNOw1,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,20,https://p.scdn.co/mp3-preview/8425aaadd5ce94226e6c573ff09447658ad77b33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ballad Of A Comeback Kid,77FD8UW3lCYVpdVK29vJb9,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Electric Version,6zscRhrMGap0asgSu69lKJ,21,https://p.scdn.co/mp3-preview/cb7f7094c5b93588cdb9251339f3c94df2e1149c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Falling Through Your Clothes,733M9TL5XBMswM9dDutHpe,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Twin Cinema,6XB9AS3mCR2JIYbXQoKT3w,24,https://p.scdn.co/mp3-preview/466e041ef5f50c46880968b360f55e2ea715382e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Fake Headlines,2gWI6giz8SXQAL1LEM7RHz,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,28,https://p.scdn.co/mp3-preview/a02300b16cec94999b1db4a8f9689051ea91b11a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Champions Of Red Wine,7u0tAdK3iCBnDd68XLGzK3,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Brill Bruisers,2sNidN9oZULfH7gZfoPZ9a,41,https://p.scdn.co/mp3-preview/48ba3c8d68daec95d8e4b44e09fcfc182ce13068?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Up In The Dark,6dzjNmAU9K0UyJ7uaJpilO,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Together,2c4mwBI6iRg3QIAvFs4gek,22,https://p.scdn.co/mp3-preview/d766e41bcee312ee249e51a4ed7b8643f71e5f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Play Money,0LjZNHcd7ztFKJzm5t0x0T,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Whiteout Conditions,7gSLfnSUAxJRMXhWsz9MYS,37,not available
9,The Body Says No,3LfyP0FXeZQfHBVMCOdheP,The New Pornographers,4mO4aGO6u29UyR6XLZR9XW,Mass Romantic (Remastered),2IISeN6dGv4BPMmz4ArMnK,23,https://p.scdn.co/mp3-preview/d8a2b05dc4958c9afe0763405124ca6e8c7bcb23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
