Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,Under Pressure,369yrYHtNEuzMV7gRoP5G5,Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,Under Pressure,4itw3PoKjpUcKZ5oQqNvPH,51,https://p.scdn.co/mp3-preview/994ba067334ad2b27eddcd6be09e5c3939df21a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Long Live (feat. Travis Barker),0sGKd1m4o0ZwwQhbDJLgaD,Lights,5pdyjBIaY5o1yOyexGIUc6,Long Live (feat. Travis Barker),1b2zt8BV1eLwgA4IeRBd9g,56,https://p.scdn.co/mp3-preview/ab2f57bf1600687826bd24ffa18d49dd79f036be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Everyone Hides,2dZ0PelHrnlIEGJ6nwpcW1,Wilco,2QoU3awHVdcHS8LrZEKvSM,Everyone Hides,0kkc5CptgKQFIil9DaGiu8,60,https://p.scdn.co/mp3-preview/92cbd9fc6d33b1a57afb9b4de93743a3bbf46b3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Tangled Up,2HEZY8I1NKvTvcEdFuqMnL,The Shelters,7LrFQFaZaxfa9deqkjvc89,Jupiter Sidecar,3m2KAgiUQMvia7ZKdVcR1G,39,https://p.scdn.co/mp3-preview/7aa558ecc4954f53f9e0e831d1c6a8686c970f0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Borderlines,3uGpDFc0OnnuSsP9QcGKJb,Hollow Coves,7IAFAOtc9kTYNTizhLSWM6,Borderlines,6CDUaVxsBYPhZzyYowvG1P,52,https://p.scdn.co/mp3-preview/7f0bac6effc860465a1d055073d02e8200ecbb21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,One Night Standards,5WyqIlRObmErasLN8MAXFS,Ashley McBryde,371jpyGdoChzUASOIG2ECV,One Night Standards,6pstNT0Xn7z9V38dhD48KL,61,https://p.scdn.co/mp3-preview/ccb67eda090f3148bec85baa8c9ffce57ab7dd4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Her Own Heart,3E1gDP3dyhUJntNaJZndze,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Keepsake,3Onflnxn8chSsx8pIG0qrk,41,https://p.scdn.co/mp3-preview/e54ab0ab0cdc6f2cb790cafb6e77aa9cff6bd260?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Marry Those Eyes,0Dk9U1M3cT9jrPGqq1ru5j,MKTO,2l35CQqtYRh3d8ZIiBep4v,Marry Those Eyes,2XD02fRPgZnP93OfZgzTVH,59,https://p.scdn.co/mp3-preview/341eeab65369e28a74c3b9756edeeb1bde71012c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Maybe California,4hniacOAySC5Ucu7rkjgkA,The Snuts,4AzAfQNuAyKOFG4DZMsdAo,Maybe California,3lR38sssmmT1ZJardCo5i0,51,https://p.scdn.co/mp3-preview/7165f6f1a3e882f4f28845afaa11f99ddc221719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Annie,7tEdUJ7mV0uEnUZAoQHYgv,Capulets,2El0gXW7YcZczArDQlZlYn,Act One,6TOPw6JhcgzuzPKvoE4jyE,37,https://p.scdn.co/mp3-preview/36b1684eebe8f3903d1f708df2400ed44e37cdd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
