NME's Best New Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Spring,0jTPjP9WuUcNMhgfwdK9np,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,60,https://p.scdn.co/mp3-preview/261dbd47c70eaa60f6355471eca0ea651b3ce35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,uknowhatimsayin¿,2sBClvs8a18rHtJTGtuEAJ,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,62,https://p.scdn.co/mp3-preview/1a20ca9037c916bbd53425fe5d8308cb9017c71f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Seven,0JnWDODEEVdGmnI13Ec4CO,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Seven,3cNyfPEag1LgOHneSsMTlV,37,https://p.scdn.co/mp3-preview/27619588aa35d21fdba2bbd951ddb4c67f22d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Bottom Bitch,0TFkU9aroYAmxCxhOTd0yj,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Bottom Bitch,3twUycUjOnQC6BQSDdm3Uj,55,https://p.scdn.co/mp3-preview/ecc0114f5892f83d153a00176777067f662c253b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Best Life,7Eh6MPpRNIFzaFZywrHDMD,Danny Brown,7aA592KWirLsnfb5ulGWvU,Best Life,2tAHWLDYBRxDqFM4d3Dns1,62,https://p.scdn.co/mp3-preview/53b5a2029189806e2fbccdf784b9f58ff8e57c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,57,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sweettalk my Heart,69UPGUyRwXsAEaaOZP9yRh,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Sweettalk my Heart,6BLifYKjswTEsL4KXylO5p,66,not available
30,Blankenship,2zzpa4MjaTFEAveQL64aYT,DIIV,4OrizGCKhOrW6iDDJHN9xd,Blankenship,3jk7rwdXGIbwLYhNTgEPyu,54,https://p.scdn.co/mp3-preview/93ae971865b312f14d5b46b85fc75074d0daa1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,lucy,0api41GfHCbdAsDyO3R7TL,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,lucy,1Q0MRKHYaHJiZqa1JdswCA,57,not available
32,I Wish I Was Stephen Malkmus,0MXwuLvZU9cauIEXlMZcdC,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,75TCL3IpDAOclMk0PveSNM,58,https://p.scdn.co/mp3-preview/6503a9db3ce7a76e7309a6b2fdbcf3e536cbc6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,A Thing You Call Joy,6BVMPM8cIdCcuIzE9eaQlm,Sinead O Brien,0Nron4wq7uF2TwLodaVRHr,A Thing You Call Joy,3Sk4sce4BbWf39FqTG1ANk,32,https://p.scdn.co/mp3-preview/29d03f943966904c2f4868745b3b9a6566ecfd37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Psycho,0GSCAqCsmp7OVUWwC6sSgT,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,Psycho,0kWahEXdUersaxWrukioH2,67,https://p.scdn.co/mp3-preview/6177b23f8a205ed3b4ef58deb46e68b17e69290c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
37,Official,38ybr0LS9XLUcqg8Yo62Wj,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,62,https://p.scdn.co/mp3-preview/75db0aeb57f107501d8c50dbc899ceed5c6402c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Elastic,2pTgfhkctFTK9wyvPeCIzK,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/b4b31e11213a4353ad497bebbc95affb94e14a24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Insecurity,6SN2BDBPcvKg5VdBltYJba,Metronomy,54QMjE4toDfiCryzYWCpXX,Metronomy Forever,7IzNAyOsxeWhKPyNNz1urS,58,https://p.scdn.co/mp3-preview/c05e59f76bfe7c314ce5feaf079297b29e158ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Oh Mama,13DbxCSqTGBlrrV3YRloJl,Twin Peaks,1xD85sp0kecIVuMwUHShxs,Lookout Low,37VSh8Ug3lCkXB7fuPfHKJ,37,not available
41,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lark,6IyPPX0nh83mzx4oZ9g7pB,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Lark,5SLUS8RN72mb0uak9ys6CU,60,https://p.scdn.co/mp3-preview/40a4ea769597868e69d64f725b3ad79d22967741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Your Light,6vYRwtuNmaQJg7SlcrMdPs,The Big Moon,0KU55rzxAihPhi27MAuz9O,Your Light,08Ry44RWNOnXiw7gZlBXkg,58,not available
44,In My Arms,0HB3y02c3bNEaT5b8a90IW,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,House of Sugar,2kCDZ3gCr5hXFgbFsPMcxP,56,https://p.scdn.co/mp3-preview/d710bd76a398f42459ed328862b3a35c6a6a6a48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Violence,1AL43xNYEG5KSoqf9Yd6Cr,Grimes,053q0ukIDRgzwTr4vNSwab,Violence,1BUgR3IIl0oNNhr7oWlN21,71,https://p.scdn.co/mp3-preview/8f969b28868a2714cd79298218b1703e5b856819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,67,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Dirty Laundry,0iAI4Nv50sU0LGRKmF555Z,Danny Brown,7aA592KWirLsnfb5ulGWvU,Dirty Laundry,44qTyEwDulRyxbQz3LtZvq,62,https://p.scdn.co/mp3-preview/d5b8e055fe6ed772c91e47f05e262123f6db7017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Take What You Want (feat. Ozzy Osbourne & Travis Scott),44pxxRrhiDGuHYP5HjadGF,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3hcYCR2lbgpayA1Tjz7Q0c,70,not available
49,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,93,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ain't Together,4jvtuOFXhwTJG1sQHkT1bs,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,1eMuzrmQ6CNhwcTA4eSsdN,63,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mesablanca,2v0iCYud9l8g2Iv07CrnwN,O'Flynn,7LTSTQkL7iK7zndjFQgHQo,Mesablanca,0b0TN4D4pVTWqInix2feks,31,https://p.scdn.co/mp3-preview/a5cd96179e9e79f807dcbafcab03e23ea85fad3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,What You Did (feat. Ella Mai),6aNdjlgzu6bJeRBFFXiVNu,Mahalia,16rCzZOMQX7P8Kmn5YKexI,What You Did (feat. Ella Mai),5r5yJUmRenfljPMdeQ6kFC,70,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,When I Get My Braces Off,2W5BqUeVE42TSFnIQ2naKY,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Driving Music,51zDBsYFzLwVSMVgRqyhkd,47,https://p.scdn.co/mp3-preview/e9ccb256064ead144e498edc9f6dbebb6186f7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
