NME's Tracks of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,The Isle Of Arran,1H6495e3O4TEK8zJF6VaHF,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,Yesterday's Gone,0tgsACxUMuBElueq2YRe1K,3,not available
25,For What It's Worth,5Ih40KFkj3cSzxgisQxBvX,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,As You Were (Deluxe Edition),2V3WS9tlPYmscBNWHHYu9X,63,https://p.scdn.co/mp3-preview/9891b6b04c25fcdc9b4941059f00ad8dda6ade4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Tasteless,7xp2Twth6TdcFDIm8z2hFQ,Shame,4IeWU3NYBI9mISFVhzXG8f,Tasteless,7erz5L0UswEu8RLAQm0mXt,19,https://p.scdn.co/mp3-preview/cfedaa9214d23a75e838e8b900a43c3cf86186c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Yuk Foo,6RExQcl7BFkVmUEo1zf6QW,Wolf Alice,3btzEQD6sugImIHPMRgkwV,Visions Of A Life,7Mn6FjNopuROYZLIN91hhe,39,https://p.scdn.co/mp3-preview/004135557653f80b3e9c47bd93c62765ff0f5fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The System Only Dreams in Total Darkness,5t8OscU60DLybml2sjwhri,The National,2cCUtGK9sDU2EoElnk0GNB,The System Only Dreams in Total Darkness,3pAiwtyDr7ovW1k9WVLqu9,9,not available
29,Supercut,6TgBrRvbC64WMetf2hXrUS,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,1EWpZzB4gOjw0vqsxU8fgl,1,not available
30,Something For Your M.I.N.D.,47wq2z7KMHDRnoSMdZODUA,Superorganism,0Wkm45quqfx3NepJpXDvwE,Something For Your M.I.N.D.,2FlD0ta44kkFbIvwa4uDeP,53,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Real Death,4RLr8yJXuhJ6ZrIQkZ4JlA,Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,A Crow Looked at Me,5p64XgvFREt1P6mC7Xl6XN,45,https://p.scdn.co/mp3-preview/3a4bd8d53a62083979a8142392fd86750d63bef0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Blacked Out,4tbXPqRtTqFdf6QEzNl3kT,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Secure The Bag!,34IybQxezu8ovm0AM1rz4F,52,https://p.scdn.co/mp3-preview/40d4d4d47226e9d39ea2d1d6c80d3ee2388907cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Did You See,6DXEZzM4wBa3EOl0NCNSvz,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Common Sense,6fUnZqjU3bwBOZIsQ4kN1Q,67,https://p.scdn.co/mp3-preview/3439d79fe4b19be6533159516487d5da975d21dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bless This Acid House,0R4qjchMMElUO8rY8NsAGk,Kasabian,11wRdbnoYqRddKBrpHt4Ue,For Crying Out Loud (Deluxe),0ymsF6XO1mZM1VKqI680jU,51,https://p.scdn.co/mp3-preview/d8842f523e5e150e0b36e600f9dd19f828822822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Ascension (feat. Vince Staples),2bBMODHVTXGwE2aZYfbgCt,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Humanz (Deluxe),0NvirtaDCaZU5PAW1O5FDE,61,https://p.scdn.co/mp3-preview/17b3d06801258cbe1ff8cf1a4ba574da66189a2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ti Amo,62V5xyu3AMDqaQu7Ck46Fm,Phoenix,1xU878Z1QtBldR7ru9owdU,Ti Amo,6kcDKcht2MzEizeqtioYtP,50,https://p.scdn.co/mp3-preview/5a0c56c9a8b0c4986555d0bc91de59276f3d2322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,DNA.,4cGeMgLcykDLAazHFpbZbU,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,11,not available
38,Mean Demeanor,5AEjCFBIyumRFHuMVvcmqP,Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,Mean Demeanor,05gw8uhHTvMyeBDcQX49GS,55,https://p.scdn.co/mp3-preview/117650c9f0c9c0682d3b14854f990917610f1eb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Real,59kPuehEgpJFO30Mh8LlAv,Code Orange,6qtECqesbU29iftyeWmldK,Forever,2V7axnEU5HQoN9Tu5JVl4S,36,https://p.scdn.co/mp3-preview/033e173774de7afb327af66b336fc2701e524e4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Truth,41AtPa0RB4WZxbMag1S5Ym,Kamasi Washington,6HQYnRM4OzToCYPpVBInuU,Harmony of Difference,1mFuFPBz9kBDdXylMNolu7,47,https://p.scdn.co/mp3-preview/b5d8013dfed3aec8d0a8c9d7b1e95eb6f467a819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Common Sense,6e1oZCtCQiGVESDtxgFLTP,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Common Sense,6fUnZqjU3bwBOZIsQ4kN1Q,53,https://p.scdn.co/mp3-preview/5266e69e1b56a187dbeb604eea7910f02937e5ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Luv Is Rage 2,733e1ZfktLSwj96X5rsMeE,85,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,WE KNOW WHERE YOU FUCKING LIVE,6GPCdSfdGHldgnWfUwpZD2,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,Heaven Upside Down,6dXZbXxoboeN9Xmkjzu2hS,2,not available
44,I Dare You,044qU7kwVZaDwzWnRsmVVL,The xx,3iOvXCl6edW5Um0fXEBRXy,I See You,2PXy9USZAoTSdtrxfkPBnl,64,https://p.scdn.co/mp3-preview/0448f1d3b5983b84b4ee09c230e98db3509effbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mask Off,0VgkVdmE4gld66l8iyGjgx,Future,1RyvyyTE3xzB2ZywiAwp0i,FUTURE,17FBoXK1NU2rvJBbzdzw0r,81,https://p.scdn.co/mp3-preview/0519fc7c44d418ca6c721d9aa83e9597065288e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Only God Knows,7vmLW0qZn0vBgH6WN7ZAnC,Young Fathers,5mZC7ndY6oGMxJentRwsuV,Only God Knows,1wiO5677V7Ar51vKSrjLxM,42,https://p.scdn.co/mp3-preview/3ed2361592a0357e7b3c7fe491f80aa29a3c25c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,call the police,5rhgZSkr7P8ZNx7OxBbdOw,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,american dream,0hdimlCTCms7otJCX9OvqM,39,https://p.scdn.co/mp3-preview/1db2e5403110bd5086a5d31b02f03d7262dc1e1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,My Old Man,4c7k0jGOFR1OraHvE3BszV,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,This Old Dog,6XzoFb3hP14jVQeCMRdVJR,57,https://p.scdn.co/mp3-preview/fba8946eccffa963542e0eb886fdb45cad259d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Something To Remember Me By,1cOWpqJ5Bx6YMAOcdXqH8i,The Horrors,7EFB09NxZrMi9pGlOnuBpd,V,0OUGozF84sfw4lrD0nHYnc,0,not available
50,Drew Barrymore,06u5LrUpbosQlQ1QJFhPpG,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,68,https://p.scdn.co/mp3-preview/cd7105ae2716ac39417944ac1b74a97bdb8c625f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
