Girls To The Front,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16,nme.com
1,Somebody,6nVEkpMdoxA1xjcur12B7V,Dream Wife,2DaP4uXwKOXAaD77XokW9a,Dream Wife,5ALipDbGrV5mJxJqt1MNN1,32,https://p.scdn.co/mp3-preview/c812d9a65e29b383ab7cf0c9eb79c869fc99f6f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Lilo,3RpwjGzgb8QAuOnZbdDZZs,The Japanese House,3IunaFjvNKj98JW89JYv9u,Good at Falling,7qcAgj6CoV0VeRLo6ILiF2,52,https://p.scdn.co/mp3-preview/6a5a91ede5a119b804e093b877fc46cee4144a5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Coffee,429NtPmr12aypzFH3FkN9l,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,Coffee,5wQU9QESgj4rLyLECGTJGn,64,https://p.scdn.co/mp3-preview/937fb276c2b7ae571d28f0f1f306970122ccd35a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Night Running,6OoRvnnief3Huz9mtUIVDk,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Night Running,1vWhe2kLWBIigc2e8VJleg,60,https://p.scdn.co/mp3-preview/1a183d6e531fa9285327e4484ab6e576e69dc334?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Body,1oTOzTm4u0AunZSlQpojhy,Glowie,303SwmjLibkh8OJH5xxZOM,Body,63eWaVMpfEjNhUGvwWxaZv,39,https://p.scdn.co/mp3-preview/46f4e3c8ed276f3fc207779f0f3dd44b69805506?cid=fa83a2fec7c440b7a2795d600d6b2c7e
