Vice Versa,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,25449,spotify_france
1,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,55,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Personne,0W291yIvyrCxSSeEDIDo82,47ter,0aXaZj4wB5jLF2E2d8WEVi,Personne,0653G4ahoIT3tHIlQ4PTj1,41,https://p.scdn.co/mp3-preview/2edfbcbd3d37ae3919e916c54348ed9c26cfd8f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dilemme,34UANp5qxDg6YcgrlDeILZ,Lous and The Yakuza,2HPiMwJktBXqakN0hnON2R,Dilemme,1VjhhQkZnPerLURQmPtSj6,53,https://p.scdn.co/mp3-preview/c0a5f6a19d9a61cae42ffae43544cd843bd6a361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dans l'univers,2PYXOG6GdxF9sUIH2NfOAD,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,74,not available
5,Nouvel artiste,26i2aEXQyuDA60Fe5IphH0,James Baker,0enzx5Bq2F7Rq5BN9kWXJl,Nouvel artiste,5tz8kxh3FPw03r42ySjgAD,32,https://p.scdn.co/mp3-preview/376218066bf24baa4462b8b987992a7535c278ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Côte Ouest,3Mh8i4PuCSWCcEixTs8keO,47ter,0aXaZj4wB5jLF2E2d8WEVi,Côte Ouest,4DC1BvbUTatxlTQ6jReaYe,53,https://p.scdn.co/mp3-preview/539eb5ef34f2c841ebc6c4e2431ca5ccdf7899e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,C'est pas grave,2A4sIzDJxZmHALe3iqqeFw,Columbine,5AAzeysphag0NxJxLbbVla,C’est pas grave,17TuaZsWcfot5a4Jm4prCL,59,not available
8,"Épisode III - ""Les mains libres""",24sYphpO6vuKaenfWuNORd,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,"Épisode III - ""Les mains libres""",05hxG8jfxproYRdZ6dCtPV,62,https://p.scdn.co/mp3-preview/29e52cf7101e17cf017cc8c4c3d65463fe627185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ne m'invite pas,7M9O8p72Aau8WXbs4oH6uY,Poupie,71x0OO2toFjXrMRcufL9tv,Ne m'invite pas,3squVQ27t6SR9zsVbsRZcE,50,not available
10,Sale journée (feat. Bigflo & Oli),5f37dB1I9qau8H0llB7ziG,Black M,7lMgpN1tEBQKpRoUMKB8iw,Il était une fois...,1BH6jMwEcgBBGQasjtJ2n9,48,https://p.scdn.co/mp3-preview/640351b7f7bcdff3e8005f930dffbb173ff80b65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Parfois faut,3bX3V8gVAUiri2TK99ZwmV,Aloïse Sauvage,5LYSuLVsB6OVxkDY107AyQ,Jimy,67JZ1vIJ1VIejH5cjREdM1,36,not available
12,Hypersensible,54UL3g4uSjgBZXg0PRXfJy,Toma,3OOojNFDlThXjpGkztq9gT,Hypersensible,5JrO0rSoWMByYjpkHdpQyl,32,https://p.scdn.co/mp3-preview/6976daa5a169cb33a2df7bf007ac3861f77f7a34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sur ma vie,71ag7f9Ghn8BQ8pE3tSsFi,Nemir,5f6nz3iqzrfiUfKOIKvLvd,Sur ma vie,0Q83IpC0mIov9DSRxnEw3a,57,not available
