La Face B,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Plan A,2tMRJD4lBWzuML6Jto25av,Mercy,0odAVjaMV3J3JtjYnNRYxO,Plan A,3lZzkKuRRELUA3oJMj9f7X,31,https://p.scdn.co/mp3-preview/7bddcb235cacac04d37da0d01f8340261f3754c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,CAF Money - Freestyle,7fshlKtSz9NYGOHsvKOeJ1,Mohand Baha,5Lz6hyIn2iDwHEesU4idwl,CAF Money (Freestyle),7eT9sYuMKmBIQg4l4SDGUs,43,https://p.scdn.co/mp3-preview/f933b8c90911724b3e1a1a7eb920dd42ed435295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Noir & Bleu,5lGaaRdiImolGH1nfX1i8s,Bekar,6wjkiUBMMYSIx5UBTp7eKC,Noir & Bleu,0LAdHR1iZsAlSejIjRneu7,44,https://p.scdn.co/mp3-preview/fb7c88a8bd6af935c055c078b3a52769354d0c24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,NON STOP,5vX0IkUGbaT0FxLeVb80e8,Sneazzy,1cA379ILgR07m7XQVXyP6Q,NON STOP,6W57sfO6ZdBSX895l3Q3cY,59,https://p.scdn.co/mp3-preview/70afb9b6718157041de10c0f4cac2813b4b2317f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Intéressant,67C7LNxnD5Uw7BmLcvyJ74,Rifa,7syrxKncMH592h3hwq0elv,PPB,1e3t50c8INaC552gSIJ4Q3,41,not available
37,FDT,27Dey8MHttqYsEUjc7LDFs,Smeels,6FyY3mlFrDdKUX35GrzeOZ,FDT,1OYRVy3mpYqgNRUOrnLIQi,45,https://p.scdn.co/mp3-preview/452d9e546092cefa2735e23c684c5f804f25a484?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Soleil,5SNfvgi4TUwx4Si0lFn3G2,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Chocolat,6hIAy4WsqxwWnGvZYdjnHO,75,not available
39,Brûle,6uuslA9uKlA6cFt9wWlcX2,A2h,2ktpq7bp4m1quizyEmp4r1,Brûle,0Zjl1newesMIsO3OLDvQ2X,46,https://p.scdn.co/mp3-preview/3d15630e65c3d3c30d2aa72b92e15fca58311bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,C'est pas grave,2A4sIzDJxZmHALe3iqqeFw,Columbine,5AAzeysphag0NxJxLbbVla,C’est pas grave,17TuaZsWcfot5a4Jm4prCL,59,not available
41,Pour du beurre,5a356sCDWyeP0QcyFbRLtd,Spider ZED,4kAzmAcboZ0F6bCCb4jj8I,Pour du beurre,5dOaWaNypWy1rz7sY6F76c,41,https://p.scdn.co/mp3-preview/3d137a8d0848b8b10a1d40ca46fec8cf9ced90b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Rebeu fragile,1KifuJ2vsrOpVtFFMt9Ngw,ICO,5VkemxUDiz46ZHPdvh0LX0,Rebeu fragile,2OjLeHPZU3499s3Dtm0Dc0,60,https://p.scdn.co/mp3-preview/377b5dcae9dbc67045b3cc277c01e826190f8c35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Purple - Double L #2,449z06SDXb4lMEPaX6FJRi,Seventiine,6e8flkZ70WOzklwhYol7qA,Purple - Double L #2,5n4n0I6TpQCciNarzb7FyG,39,https://p.scdn.co/mp3-preview/47702d4e85118b82b05751c088c178ddea4131fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Mômes,2FRnrkO72S9tbqu6eLjq6b,Lomepal,1Yfe3ONJlioHys7jwHdfVm,Jeannine,0n4P6BsuT61HgsKExU0i1R,67,https://p.scdn.co/mp3-preview/44117d8197c9c90b7407d1afee4bc63ae215ea99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Coeur des hommes,4RpNETpCJm2Nfr3aTpt4cJ,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Chocolat,6hIAy4WsqxwWnGvZYdjnHO,59,not available
46,"Ciel (with Lomepal, Shobee)",649ssrjwPejsMkoEHinYdG,Naar,2iHkY7NEHJSOF6O7rQaDww,Ciel,5pA1NNPxIcqaXcbX4tmdPO,55,not available
47,Damdamdeo,1vYIL16wtreegB3LmHpiav,Lorenzo,62zLrboqOTPyozwi721CVy,Damdamdeo,0UbVaLwdCVERrin4gQLgfD,66,not available
48,SCHÉMA,5MUtdhPXuNTiLjWgrdPuEC,Sneazzy,1cA379ILgR07m7XQVXyP6Q,SCHÉMA,5gN0290UpiM1wrT8J2wcd5,59,https://p.scdn.co/mp3-preview/240db3f85743aef7566941698c25ea809f75ed7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Tous les gens,5MSUnoGte5hmJVNUMujYwf,Spider ZED,4kAzmAcboZ0F6bCCb4jj8I,Bien ou quoi,7Dy9mSksnsGrSLqf8gom25,53,https://p.scdn.co/mp3-preview/7ba18a9afcf5a5a0787106a8620f8255bd253e25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Première vie (ft. Hyacinthe),5ptQFRJoKf1Rk8PezjDeno,Jumo,3JpL06DxPRePrKeYaRhKwH,Première vie (ft. Hyacinthe),6aGz4rKeBj4oFZjGXDdeSs,36,https://p.scdn.co/mp3-preview/65da7686a6f2069a8e1534f47e14e084960e7423?cid=fa83a2fec7c440b7a2795d600d6b2c7e
