Hot Hip Hop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,286037,spotify_france
1,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,85,not available
2,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,89,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
4,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,58,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Behind Barz - Bonus,4B7fTyj1FIPvP9tT5X3DnR,Drake,3TVXtAsR1Inumwj472S9r4,Behind Barz (Bonus),7dkkh6qYHqduXSWQFhmQ0i,79,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Got A Check (feat. ALLBLACK & Offset Jim),25YjdsVD38npBWGM7fOYI5,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,39cMCTDvlPDNsPSdKap9am,59,not available
7,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,89,not available
8,RENT FREE,6GefwzSnQkQoCnWJNs9IZR,Russ,1z7b1Pr1rSlvWRzsW3HOrS,RENT FREE,4rNgGxoqUkFBZOMEb7PKoD,74,https://p.scdn.co/mp3-preview/ac560b2155513c042e90c33574fc78132ca12112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Stuck In A Dream (feat. Gunna),5uSX6qtcBrqNOWBloxl6vr,83,not available
10,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),7DER9glBF0SYJU2R54Ipte,38,https://p.scdn.co/mp3-preview/a6f1289a51784c38125ea962755cfd927c1ebb9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),1Yu378yDTmy6EIDYNIEALh,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby),5iNklOSVkzDK96qBxbMmlR,72,https://p.scdn.co/mp3-preview/e6216adb6f375a0dff40cb65d73250c5fb1d53da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,By My Lonely,25AEevSO1lu4EKMIP5Sy5p,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,I'm Him,7JgDLtQ8g7RrfNdLf4Dk2I,73,https://p.scdn.co/mp3-preview/812b5f5a471965eddc5e340ba5c159848be58ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Old Town Road,53CJANUxooaqGOtdsBTh7O,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,63nQw5QNKBUAh4bvqSz3rJ,67,not available
16,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,Tyga,5LHRHt1k9lMyONurDHEdrp,Taste (feat. Offset),0yd01cU78rnlFXq6vRxPSR,84,https://p.scdn.co/mp3-preview/93d60b97736368a2dd3098c46b2a49c2bc762183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Think I Luv Her,6VYXuUz1nYMap8gtqeIrQB,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,I Think I Luv Her,6SLjG25W8rKuvSUExihz7g,68,https://p.scdn.co/mp3-preview/cb61f5787aff8777b62a25f6e26a1b79b03da173?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
19,Murda,3CeJBWfeUXs3G0NeZEJWgy,Casey Veggies,0uFc6StTmJBvdHPZFDkdJy,Murda,2JmJEMFfxiJqBnoNplWAdC,44,https://p.scdn.co/mp3-preview/62571756402d4d56e3514bbd4fa3d7c0a4cc4b44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,BUTTERFLY EFFECT,1yxgsra98r3qAtxqiGZPiX,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,BUTTERFLY EFFECT,4fOw7xSDwqb58Z2Qia5j81,17,not available
22,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,81,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,73,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bury Me Alive,5IaSQfIK26X2DpqK12j5vG,Kelvyn Colt,3VV2TXkXYDYSUvtRRER3Wo,Bury Me Alive,0YViuAG5dwJkC1KxaO0a4B,64,https://p.scdn.co/mp3-preview/7a8f4a35c68f818310fb7a23564f3a97644a5b75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,SWISH,55GiOwtxNajXVbpjjIzMnD,Tyga,5LHRHt1k9lMyONurDHEdrp,SWISH,4RH1KjpPQxqtOTyV6WikPh,76,https://p.scdn.co/mp3-preview/055c7ad005a9c4c878396abc11867ec15b6072b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,70,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Whatcha Gon Do (feat. Bhad Bhabie, Rich The Kid & 24hrs)",7wIg5t5GmEdYrzTu2dQhOj,Benzi,1dqyvasqrPO2j7VS8TOxDl,"Whatcha Gon Do (feat. Bhad Bhabie, Rich The Kid & 24hrs)",009y65ikYn0WepKbgPVdNM,52,https://p.scdn.co/mp3-preview/98b78638bbcf43b3969a55b8a8660658c5ffb895?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Walk It Talk It,1jr1BnpXymcf2i97mTR8tJ,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,5ZnasU3vhbAxJxUYNXeqOq,8,not available
29,Shots,5xjei7JnROsAzLY2a7RdZU,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,We Love You Tecca,65T18oWoikW2MAilg9j8lW,83,not available
30,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,83,https://p.scdn.co/mp3-preview/1791d957e2bad3063228db3750f1f71670764842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Suicide Doors (feat. Gunna),1rmpmDrnCR7fFZSmghtXmY,French Montana,6vXTefBL93Dj5IqAWq6OTv,Suicide Doors (feat. Gunna),5mgQnRLJIgrgduG2zWWiL3,71,https://p.scdn.co/mp3-preview/31544ca0ed90fac1b515fdbf2a761cacb244e68f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,Young Thug,50co4Is1HCEo8bhOyUWKpn,The London,6p9Y1K9yu3ojyS8fBJXUnp,89,https://p.scdn.co/mp3-preview/1172c366301561c0e3adc84ffdf95f8fd760ca54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Thotiana (feat. Cardi B, YG) [Remix]",1JkrD47SDpAbyvqKtolcea,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"Thotiana (feat. Cardi B, YG) [Remix]",5DjuLFcOMVFgqG972w6fgp,70,https://p.scdn.co/mp3-preview/e335fb1c0412562ee3c90867dc125c545f9f6704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,VIBEZ,0fySG6A6qLE8IvDpayb5bM,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,84,not available
36,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
37,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Without Warning,0MV1yCXcNNQBfwApqAVkH0,83,https://p.scdn.co/mp3-preview/65db0cfbd7235bcc2cafe698c656853f845a9133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
39,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,89,https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,3XzSOIE6zGLliuqsVGLmUc,87,not available
42,Light It Up,2yiEd5N2cj6BwxWFNIIHyY,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Light It Up,7euFpPxK3yU6qIocIQ9vEO,56,not available
43,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,87,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",6mCqxnyOhr4tHMbRbQL4Yn,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",1FZZY15WZ9afpD4xshFGXA,49,not available
45,BIG,2qSpOQdHmHpOcVXzV9WU5w,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,BIG,15Hb036I0nq54xg0ZRGZLr,76,https://p.scdn.co/mp3-preview/b48bc6b0ead1967e78fc348fc2192732fff9cabc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Bury Me Alive - A COLORS SHOW,2qGpzJTiZ7BqbMHhraE0lL,Kelvyn Colt,3VV2TXkXYDYSUvtRRER3Wo,Bury Me Alive - A COLORS SHOW,20fvYl9WuL056xHrxIfa3c,45,https://p.scdn.co/mp3-preview/c2229a03db39d0da9f4dae6548589123a434a36a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
