Fresh Variety,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,117211,spotify_france
1,Dommage,6DvgBnwlJ61ck4jiwTwhZl,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Dommage,4CxzSRAFtosbueBg5J70fX,45,https://p.scdn.co/mp3-preview/8a4eb3dcfe58f1507fe57588e7ae0c8284947022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Lassitude,3zfzJuuzux0orSeHOKtHGQ,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Lassitude,5FtGKny7qWpDx7NAydxXRW,44,not available
3,Avant toi,4iNPp0BZ4lBu7bipdWLcWk,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,VersuS,5DD7BStcOFBl3i9z1fyr7e,59,not available
4,On va rfr le monde,0xF03QGNIo8DOMEuRIdHP5,Silvàn Areg,4A4VF3t15bxwPrQTyCG3w8,Sur le fil,7m1aA93kFNqJo13NoscfSK,41,https://p.scdn.co/mp3-preview/3c8055854307789a859d087da32c62c47d69d0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Parle à ta tête,3lTGqzJbMYDHXbqeV8pt7d,Indila,0FEJqmeLRzsXj8hgcZaAyB,Parle à ta tête,1KEfoqJ2dbtfB6jSNFpByF,58,not available
6,Loin,1qx1lBNJXB4nOvJhYl1Vn0,Noroy,0FCAKInZeSi1on1FlSPoxt,Loin,2ikL5sntz3G6sqTqpukNBC,31,https://p.scdn.co/mp3-preview/1790f9816fafba326cca6e12de358dd09ebb2319?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Soldat,7JLz24ZQtl7tIb0ePwlBfI,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,4D27Q5VjZPoGzq0Ls7KbXS,72,https://p.scdn.co/mp3-preview/aabc389c6a7ec04c3d4d0444d5e246add031b7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fais de moi,5hQxZAxapyGvCiE4hcrUdP,Dilomé,2eZdvNDtGzefa9sFgBgX1v,Fais de moi,4ocJQBoHuVPpqyzhD0AjLT,50,not available
9,L'effet de masse,4fSA3mzz5XrP9HUh08troc,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,L'effet de masse,3F0yjkSkMdR2aGUJarGdoE,47,not available
10,Ouh na na,6qNf2CF6xwKr3ALoFyjIP2,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,4SGj2EwogAMqiN2imHvJSb,55,https://p.scdn.co/mp3-preview/b34068549bfbda44ac2680914249fb971de0b9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,A fleur de toi,5gD6QshjeBZdV5mhTe1ZeD,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,A fleur de toi,2p9QsQJwroRc7MzYjLyTYU,52,not available
