Rap Diggers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,A tout à l'heure,01g9lWUzCJssGSMUU2Tpmh,Chily,0mnNM5o7vtxo3ivC7Tmoah,A tout à l'heure,3OOIzFrf4Nn9pBprKCI9Jb,58,https://p.scdn.co/mp3-preview/bbe2e3a40170c92c24bc2f3a2882446e2fbfcce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sablier,13wIzzTaFFlixUZr1x5Ll2,Y Gang,3DGgLNjFRGDzqeynZua3A9,Hier,6JN7aKLFdGsebeSZgooShj,20,https://p.scdn.co/mp3-preview/5ed01e26f643f324fc8ef92c8d915d482730f8bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Le crime chante,1i4TkAve16lcpvvm1YFYXb,Captaine Roshi,4bDcCV0zjPsVs2GxtduYry,Le crime chante,5mBILVF8qZ5Q2GgKM4SF19,46,not available
24,Blocage #6,2Yp6xTAEsIVukFcXWO3LIj,Deeloc,4zL74Vyz5oIdgMtWyO4aUt,Blocage #6,34yg8mwZYhznCnzIVpocm3,41,not available
25,Courir,54YLSTLYRujlNJtKEW9pjV,SKG,4dZzpakTDlQy33Iwvf3reB,Courir,6OoUC2MUTUmQ7eYd3hvoUG,28,https://p.scdn.co/mp3-preview/d22f0e00d4ab877a42f4d824d517c6789c20f36b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,TLT #3,3nZBJDm5lNJdWx30iyA7Xe,Koer,2CSEdTkfSem2kT4OGP6y36,TLT #3,1cZzbx0KUk8yVPppPAEGnr,47,https://p.scdn.co/mp3-preview/bbd27ba8536cca11af5f12e28166ee3ae78d7705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Freestyle bienvenue III,3rnHJIXqbgSvdI9WJhET2M,Larse,44VYaq2KjuU7hFvtD4Darm,Freestyle bienvenue III,7z0JzQTCoEa8QhSFENCW4n,15,not available
28,Raikkonen,0t47Z5KILzX2puLAk3JXrB,LMB,3EwKGrg1Y5dAF8frDO6mLS,Raikkonen,4TInZkXMfxqYAhPKeFOgiz,52,not available
29,Wow (Freestyle),0V73uKKZcnvKp908pwbGzC,Shotas,626MEj1uIFt7eZMSroO01a,Wow (Freestyle),3bAqXTNe7VGghVO6Q3qGDm,38,not available
30,Que Faire,3YekFrhnb9g2hlSFQnvKpq,Cécé,7hMewGo1OdGo6PWWWf6SfC,Striker,1ysP9Mlmyua3zCFlgYav8l,42,https://p.scdn.co/mp3-preview/5394f297580fd42990034a38261a0dcb77b49b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Hola Amigo,3MttdsDWCzP0NK3wYiap7D,Kingzer,6YKVD2AShRfR5plfBXQ78p,Hola Amigo,3rAYRxmT9i1Jp5E6pnQ3VE,38,https://p.scdn.co/mp3-preview/abe2fac4a57052cc8460b7f1fd65e409da3c0ce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Gaz,1WGwJjUy1WabQaWxzRTqIK,Larry,0YqeL4iGLLNiwRXZvew1TM,Gaz,2jnJcsLhk8kUR0FQaX5UT2,51,https://p.scdn.co/mp3-preview/1ce5db9578d873c70625becd7479cdb5fc8366b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Blocage #4,5Hs4WzpKiuiUflNk79GHZm,Deeloc,4zL74Vyz5oIdgMtWyO4aUt,Blocage #4,7yJJJfgZo0zkk8us4dFBes,37,https://p.scdn.co/mp3-preview/fbcb75f2be19045f2123868759457a0ad0c9412c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Boss #2,6zMfM0GSsllbGz45imr8PE,Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,Boss #2 - Single,0sl2It191SiMxVF26sW6Hc,54,https://p.scdn.co/mp3-preview/07e9d7bebb49737383464195acb2dc24ec0a9e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,J'dégaine,7uEtnwNtuq9is8odiHV0MJ,Dinor rdt,3RJNCnIkqvVwEicgGo2nqJ,J'dégaine,2kvFJfpghAQ36yyu0PA2FG,49,https://p.scdn.co/mp3-preview/5a9525b3a142dc5e6e52bf6147e6f9a784c43fe1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Arigato,08qs42UxlMlWbLiMlRYAGC,Tetsuro,3IwBr3YlABBLg3ZGDSwMVA,Arigato,0n26OlBEDfbtvlV0N84qG3,29,https://p.scdn.co/mp3-preview/3c41866bd1e660ab171431190bbc519d09506ef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,ALFRED,20gLbMNCs202mytibc3PH8,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,53,https://p.scdn.co/mp3-preview/394d4d347747d49262e6f862f7671804a2763e23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
