Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Delirious (feat. Tara McDonald) - Radio Edit,0yl1LvI69CJrQlXJoYnU97,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Delirious (feat. Tara McDonald),2PQ0hJ46YJ02vvvca2ORp9,48,https://p.scdn.co/mp3-preview/4e39bb4475b6fe13a8d94e8d5908b44a4680a6d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tell Me Why - Radio Edit,09ouJVawz1vpR6xBzE1YoH,Supermode,7urnl0uH1w3NCoErxw7AUK,Tell Me Why (Remixes),4saYMVPzI4LhRr6iOJjWxL,47,https://p.scdn.co/mp3-preview/a956926e187fe00c525eedcf5c545d77b8e9f201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Outro lugar,3hl5B6GYsN4K5sjfQvx8JD,Salome de Bahia,6alPczkkZlUZwomoKjrtMc,Brasil,5KnTaowvR3YCd4RCs4EgtF,40,https://p.scdn.co/mp3-preview/442c8ac91d4d462fb3cf3f7f5dd731119954a36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Turn On The Music - Axwell Radio Edit,3qN7k8fKNGywNWQJW17I3G,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Turn On The Music,632c0Wm7gCUIiYUimXzQHX,34,https://p.scdn.co/mp3-preview/b5b03f686d7e4be012c8c53b6aec6ef423d88f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Get Get Down - Radio Edit,5o9DZHMGopB2DoSSMTNzQR,Paul Johnson,4BqZuFqHJ8CLn3ig0f1m0G,Get Get Down,4FID9Q7vasOmiTmSQu4p1I,57,https://p.scdn.co/mp3-preview/d9bd0b02e8f1f67ad7bc20a0fce21760c0b83639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,You Are My High,4uLfmvbkAby7yiwTdAw5Vj,Demon,4LiDDSfUo671okhAa6OSHY,You Are My High - EP,3sKO6OWLBzJkNyfeSIKcg0,38,https://p.scdn.co/mp3-preview/2a1f10e9673d7b91d1aac6468ed600cc7867e79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Four to the Floor - Thin White Duke Mix; Short Version,0Hx249i8UGY4cWLjmo1eIH,Starsailor,0G8zjE6SsFTlbglCkU8pm3,Four To The Floor,6UXbFDhwOmwxVBFJPC0L3x,54,https://p.scdn.co/mp3-preview/70374bc6d27a625bea844f4eb9f00efb7bf29678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Give It Up,51hFuz0vN2FWCaxwRMPqaA,The Good Men,6i3dwduFX5pMgkijTVRvmX,Give It Up,7iLCdMvKh70DgMELSxTMcF,38,https://p.scdn.co/mp3-preview/0a928d3fd3b9c944d691b14b0ca47939eba54bf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pasilda - Knee Deep Mix,5ZYq4PAOce0Uu8Bx84Ft0K,Afro Medusa,6D1DgoF2TYTbPQbRPEriaI,Pasilda,2rwMv1F2ad5I05A0CojRpZ,6,https://p.scdn.co/mp3-preview/dfb9569fdc878e2bb4ccea432d7da4488a564057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Pjanoo,7zlMxh1NR0Shklu48L4e7x,66,https://p.scdn.co/mp3-preview/a6cdf8dc3b5a2ce5d972ce4a95c645ae95deae81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
