Classiques du Rap Français,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,221739,spotify_france
1,Le Son qui tue,3ee6eXqZqJo3DJEiBr1SHs,Rohff,32UhRcgdXO6LdLhOpfIdxp,la fierte des notres,5Cp07JiZnqruQBNZb88OCf,54,https://p.scdn.co/mp3-preview/3dcd117753cc5fc0dfa3e40b93e11bcffc0f074b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pitbull,4xUo6mxLoEyg5VQgk057BD,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,34CsUCcaxu6Yorde5fRdTU,2,not available
3,Du ferme,6k8ynYPD7SjWpDShcImkz1,La Fouine,6QS84S3i4gwdEKqWoTtDLd,Mes Repères,1kpuJKxtlonnNGwTlB0ZYU,54,https://p.scdn.co/mp3-preview/f33f5b86e372ba2b974159a97f6d2b8fc48ce00a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Petit frère,3jqBLwtTiUYismDiZgAgPE,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,57,https://p.scdn.co/mp3-preview/6b1dfff91a659283a7abf031ed1603b7c845af9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Gravé dans la roche,0OLh0QqBA781GNO5CJTKxR,SNIPER,1nTVNdaDAzXB1AbP30cGk6,Best Of - 1997 / 2009,3eHDYrvPpkMJMcm7yjEoo9,46,https://p.scdn.co/mp3-preview/e221120b65307286d3803941f700280bc0a54074?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Le bilan,4hElE1DmCfpoFVjczvfB5U,Jacky & Ben-J des Neg'Marrons,50H5RJzA4B0SBzXEOtIU5B,Le Bilan,1ztic2wLAdhbmoJ53DTcqQ,51,https://p.scdn.co/mp3-preview/1c0628d8b4886284d65a03da30b880ee71eb4048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,J'pète les plombs,5onlhFwHJhp0ff2tPju2X6,Disiz La Peste,7rz6ZZErn5YFDteXKhyf3g,"Le collector, Vol. 1",7KXG0Bm2zU9B6WpfRpFmiM,47,https://p.scdn.co/mp3-preview/2efdebcb16b085de2b5d2665a6bcb6e53289da39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Belsunce Breakdown,1HMH8ctdYfDrRac24jkQv0,Bouga,2lAwZifHVNBbwwsiCRprUv,Comme un aimant (Version 2) [Bande originale du film],1rlfR3ahi8HAVNAE1YXfNe,48,https://p.scdn.co/mp3-preview/2a1ea1a7e9a755440c667b0ebc8bb8a0d1bdfafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Boulette (Génération nan nan),1Vf09Cxf2jqSkU6sfueYAq,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,61,https://p.scdn.co/mp3-preview/4a9d523b5cdc9e128f88b7aebf974cefd04f39c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ma Benz (feat. Lord Kossity),4G01edX97eZlCmEbYewboU,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,50,https://p.scdn.co/mp3-preview/f1effd558c0e7c46c8d9fd12257d40fc6fd45d19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Qui est l'exemple ?,77pB3BxEgaSZIbJ4uQflS8,Rohff,32UhRcgdXO6LdLhOpfIdxp,La vie avant la mort,1q3iVUJaoIi3LWeiD3FUrf,57,https://p.scdn.co/mp3-preview/c07af0e4cfec901f0c62b598c5ce1cdc325e55cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Destinée,0N6tU8P9qhNiEG30hZHSdH,Booba,58wXmynHaAWI5hwlPZP3qL,Temps Mort,3ZBCxSakSUOWf7gVWEEkDc,0,not available
13,"Demain, c'est loin",4C4tuRmDTMz875IFJiqIpy,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,1,not available
14,Bad Boys de Marseille (feat. Shurik'n) - Part 2,5q0tqXhUKqwBxissPvia6X,Akhenaton,4ddg7PH5OuSossiSBWgueu,Double Chill Burger (Best of),1zK7QIHZVnGQqhlxqe7rI4,46,https://p.scdn.co/mp3-preview/3f5ef320f640c866fb57a712c4c74f4a2b0831de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,That's My People,1RWXFHOJ6XjK8a9pitucrX,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,46,https://p.scdn.co/mp3-preview/fd47fa0acbce2cd469ca0e7534b4b5455377531a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pour ceux,3JjnCqQwWlgIz5ty1ByAbO,Mafia K'1 Fry,1cRhxmFvL3Ef4vx4jSCy04,La cerise sur le ghetto,3WD23sAzX8PH7PgZ9g4czo,49,https://p.scdn.co/mp3-preview/ede062fabb67c602d44e1b15de77f27c9cf87462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Au summum,2dfahYnct5aULxIVSQ6sv7,113,5nTMNNNwQMoCYgzUXdUaB6,113 Dans L'Urgence,7umiMRp4Ks5wUyO7xbRLnp,50,https://p.scdn.co/mp3-preview/51ad90de46297de3a70950bef4b0e6dd62de2f08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Je danse le Mia,3vTgQBHiLsJ40XpQlQxlhG,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,8,not available
19,Samuraï,16etD0jjMNdKsHByc48tOY,Shurik'n,1ZjPqYngrwDa5ZqwAPcj5o,Où je vis,18bO6rRcxQ7RrKl9hnJfuW,54,https://p.scdn.co/mp3-preview/91b51b1d5efd225a980767fe7a5fa726d2dcaf26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Laisse pas traîner ton fils,19wTIVLYwubMX8XZppB6lH,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,47,https://p.scdn.co/mp3-preview/828a5bacfbf2656c3580a4c133e3d079e8e80975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Boulbi,5NfigFlUBUEBgMFOq1rfkB,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,55,not available
22,La terre est ronde,3IM7zXywZ6sRTtkRjRLxJ8,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,Le chant des sirènes,5GfsaNstrK8rszTX5XYtXU,60,https://p.scdn.co/mp3-preview/07ff9ea25bc6f7d14e1e85b4ef3b459ab10dec00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Le son qui met la pression,76DF3UwkIRBJLNuZdNuK4I,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,6nZsCBcWr6n6ZtmBmdJz96,0,not available
24,L'enfant seul,3hR6FtDMsgTIO3a4VIucIK,Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,Opera Puccino,1j19ltx8inseOGYmKaLO5Q,1,not available
25,Respect (feat. Vinia Mojica),2uMb8n60MeFa6bjjjCzL49,Alliance Ethnik,2dZM3D9rBveK3dywr1WQkN,Simple Et Funky,73WyrLGzIT98p72VVYUY0Q,57,https://p.scdn.co/mp3-preview/95102ea9050702cdf9e96f0811c96c9dbf8aa5d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,N°10 - Single Version,3wBnEsxkTABwvl32tpZBsj,Booba,58wXmynHaAWI5hwlPZP3qL,Panthéon,2dCUtmJ3qBS5nP2maHsGAf,2,not available
27,Les princes de la ville,4zu2xquA7ZcrjPZylino4Z,113,5nTMNNNwQMoCYgzUXdUaB6,Classics du rap français,5l2SmT405p4eX3IFosyH01,1,not available
28,Jeune demoiselle,42apdJFDH65Ew9RVuldbrb,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,54,https://p.scdn.co/mp3-preview/3cee58ef94d01c04e7a116394ddc65415c31897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nés sous la même étoile,66ZtqKhYSA8XyPr0aAUFsm,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,52,https://p.scdn.co/mp3-preview/30928e55b5c88c50769af85b6a97a85792c5d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Boxe avec les mots,5QSGPhlzVUIqYjmjEANDdm,Arsenik,3Mo6O9iqKSw3Mn6v5zZfEy,Quelques gouttes suffisent,079hEIrYaDqnvcvkcX6il3,40,https://p.scdn.co/mp3-preview/876556fa6e96dbb7bedd425f66e5f4b47772c0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Banlieusards,461K9NwFNjnyZBtrn1EIlo,Kery James,5ydAcIK2KdpBIbL0yGFJle,Banlieusards,2DTuHdlwyaDJyNW2uUygGv,0,not available
32,On pense tous monnaie monnaie,1ZPo5rGRZr5z8sjvMjTTVc,Scred Connexion,5ZtIEcmzQosu8SDKWgwc86,Du mal à s'confier,0JtvUSVT3yaGeXCkz4R6dZ,44,https://p.scdn.co/mp3-preview/ea9e9f1c23e4cf0b36697d807b8ccbb35a495333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Dj,4D0dgZLZWkaWG25NBuxOfS,Diam's,6379rD5bSEwInazkKhZ9DM,Brut De Femme,36WsF1tlYfQtOSiU3Tozb7,54,https://p.scdn.co/mp3-preview/3076c01e9b03fec8293c61bc442e707baf38bc80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sans rémission,7njnsewQzFssYI6F1RGwhn,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,45,https://p.scdn.co/mp3-preview/83db6cc31e5446b7a2c158623791d6080947baa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Repose en paix,3SDWrm6cXovs8niVwovPfe,Booba,58wXmynHaAWI5hwlPZP3qL,Temps Mort,4ZzEzKOvjm8AZxPb1iQaZd,0,not available
36,Sacrifice de poulets - Remasterisé,7KcQYUU14y4UGOaHW0r2T5,Ministere Amer,01vun3lwrSoQ478gOotOe6,Les meilleurs dossiers (Best of),0STSquNUDMet7r9DQcDbeQ,35,https://p.scdn.co/mp3-preview/12f287aae687cab02a67ebc480768f87c3720885?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Regretté,6W1MYXhhqO5IuIovuXp7Na,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,45,https://p.scdn.co/mp3-preview/c6cd21d90b177d0a532359514ce95ff91dd8de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Viens voir le docteur - Dirty Moog Mix,7ynYHdmWtoSr2nH79LkXHm,Doc Gyneco,4GX9CqwqWtb76wuXwbXR6b,Première consultation (Edition 20ème anniversaire),0VB37oH6NUjdAlKlpU40yn,43,https://p.scdn.co/mp3-preview/6179ae01fef91b1e127a806fc7aabfc12fea6e24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Caroline,7BcBFcBUwuB15Y1km6RkHZ,Mc Solaar,3nU8TSIICYDbUqRpJISTRE,Le tour de la question,0jghnfosLxEgE9ANSKoftK,50,https://p.scdn.co/mp3-preview/c6a5b6328b05be2fa1481f9638caedf25a7f30d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Garde la pêche,4PY22DbHm8KvhG2BKxQybo,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,49,not available
41,Molotov 4,6IIFlVTXXhVbfp1N3xjBCZ,Sefyu,2OULCPo7k0vPKlEZimhaVc,Suis-Je Le Gardien De Mon Frere?,5qxgkjueBOPaDFS9LinqNB,1,not available
