Futurs Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,84,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Alive,5sYxtT5C8uAzGbplBcjLYB,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Alive,31x3K8q6G5M5Yu7sIN4rry,68,https://p.scdn.co/mp3-preview/970ddefb418e2bec25f0eb53875e0fa2436a5fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,7ehHSfldPNGr0rRbdxffcs,62,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Guajira Guantanamera,4BgFUr74D8bTkG1HsWBA1R,HUGEL,5PlfkPxwCpRRWQJBxCa0By,Guajira Guantanamera,2HRXHVzK04v5vis8kV1Jwf,62,https://p.scdn.co/mp3-preview/1fd0654cbcbcc379da4d926cf75b5c3d2d51a0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Me Quedaré Contigo,6xrov7bSdx0KxLdztHEstZ,Pitbull,0TnOYISbd1XYRBk9myaseg,Libertad 548,4FQ3bjsnGcyyFMnpw28iHk,68,https://p.scdn.co/mp3-preview/eb3c3f7638d389a242fa96f4666c5815f3dbc0a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Be Honest,5TTZ0fMZVLLseFk7NC6NRz,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest,6m1rhoUSfIPF1RMOigQdUL,66,https://p.scdn.co/mp3-preview/875a798405e990f5fd677bb54ac9de196d9a2d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,A.N.i.M.A.L,3YSkWJwhWeOGcaO5Sb1c3d,John Newman,34v5MVKeQnIo0CWYMbbrPf,A.N.i.M.A.L,6XCkgkOCWb4YOs2LGKl60z,60,not available
28,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,84,not available
29,Safety (feat. DJ Snake),1mzARUs2kMMxcKh1ome5aX,GASHI,0JOxt5QOwq0czoJxvSc5hS,Safety (feat. DJ Snake),1uezDIjS9R7NxGNy2wGlUS,73,https://p.scdn.co/mp3-preview/e75734ec1311cab858bbd07c378dd3c3bab7b2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,97,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Barrio,1MCSc1ZxlwV5muFXKocAnW,Mahmood,06nvjg4wBANK6DCHjqtPNd,Barrio,6alPvLZuVMID5NZJXKWwMK,78,not available
32,God Is A Dancer (with Mabel),6fenHIxXuuzKB55wY4WCHP,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,God Is A Dancer (with Mabel),2T0NPRcdhIt71ifDWm328R,80,not available
33,You're Not Alone - 10am Mix,7AHW6VnJc5B9B1EKw5x9b0,Spada,2hPCF7VDHhihvNdobslOHw,You're Not Alone (10am Mix),3FlIVfbMN19y4X4DacIWsE,49,https://p.scdn.co/mp3-preview/68710533e97b1531a8a7a7a16d4fa22defb2460e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wild,2ssDiLvEwzThX6MNstpdaf,The Avener,0e6qzpphJHtObTSwD75mi0,Wild,1ySxLRePAUFGXbOpu05GOg,58,not available
35,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,88,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Party (feat. A Boogie Wit da Hoodie),5PDoWY5Av2Ba3rWIdY9Ij0,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,Party (feat. A Boogie Wit da Hoodie),2ce9XFj7OA3f78oO5XFFhV,75,https://p.scdn.co/mp3-preview/e7d8a4a8c5200f284bf30197c90bca65d2ea0fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
